instances,pathinteraction,feature_startego,feature_goalego,feature_startother,feature_goalother,feature_cloudiness,feature_precipitation,feature_precipitationdeposits,feature_windintensity,feature_timeofday,feature_fogdensity,feature_fogdistance,feature_wetness,feature_roadfriction,collision,minttc,algo_safety
scenario237,c2,2,0,0,1,60,100,0,0,-60,80,20,20,0.8,False,2.836,0
scenario238,c2,0,1,2,0,60,0,20,20,0,100,40,40,1.0,False,1.679,0
scenario239,c2,0,1,2,0,60,100,100,0,-30,20,60,20,0.8,False,1828.475,0
scenario240,c4,2,0,1,0,0,100,80,20,-30,100,40,20,0.1,False,2.51,0
scenario241,c4,2,0,1,2,100,100,0,40,-30,80,40,40,0.2,True,0.0,1
scenario242,c2,0,1,2,0,80,100,40,40,0,80,40,40,0.1,False,1.808,0
scenario243,c2,2,1,0,1,80,100,40,20,0,60,20,60,0.2,True,0.0,1
scenario244,c4,1,2,2,0,100,100,0,60,-30,80,40,60,0.1,False,3.76,0
scenario245,c4,2,0,1,0,80,0,20,20,0,80,40,60,0.1,False,5785.766,0
scenario246,c4,1,2,2,0,0,100,100,20,-30,80,0,40,0.1,False,3.437,0
scenario247,c1,0,2,1,2,0,0,0,0,0,100,60,60,0.6,False,3.393,0
scenario248,c2,0,1,2,1,40,0,0,40,0,80,20,60,1.0,False,2.616,0
scenario249,c2,0,1,2,0,100,60,0,40,0,60,60,0,0.6,False,1.681,0
scenario250,c2,2,0,0,1,60,100,20,0,-60,80,80,20,0.8,False,3.598,0
scenario251,c2,2,1,0,1,80,100,0,20,-30,80,40,40,0.2,True,0.0,1
scenario252,c1,0,2,1,2,80,80,0,20,-30,80,60,20,1.0,False,1.586,0
scenario253,c4,2,0,1,2,100,100,0,40,-30,80,40,40,0.2,True,0.0,1
scenario254,c2,2,1,0,1,80,60,0,40,-60,80,60,40,0.1,False,3.22,0
scenario255,c2,2,0,0,1,100,100,0,0,-60,80,80,0,0.8,False,3.026,0
scenario256,c2,0,1,2,0,0,100,100,20,-30,80,0,20,1.0,False,1.913,0
scenario257,c4,2,0,1,0,60,0,80,20,0,100,0,40,0.1,False,3919.213,0
scenario258,c4,1,2,2,0,80,80,0,40,0,80,20,60,0.4,False,3.172,0
scenario259,c2,2,1,0,1,100,80,20,40,-90,20,100,80,0.2,False,5.803,0
scenario260,c2,0,1,2,0,60,0,0,40,0,100,40,80,1.0,False,1.845,0
scenario261,c2,2,1,0,1,100,80,0,20,-30,80,80,20,0.6,False,3.471,0
scenario262,c4,1,2,2,0,100,60,0,60,-30,80,40,60,0.1,False,4.034,0
scenario263,c1,1,2,0,2,80,80,20,40,90,80,0,60,1.0,False,21.545,0
scenario264,c1,0,2,1,2,20,100,100,20,30,100,0,40,0.1,False,3.741,0
scenario265,c4,2,0,1,2,100,100,0,40,-30,80,40,40,0.2,True,0.0,1
scenario266,c2,0,1,2,1,60,20,20,20,30,20,80,80,1.0,False,15.399,0
scenario267,c2,2,0,0,1,80,100,20,20,-60,40,80,100,0.2,True,0.0,1
scenario268,c2,0,1,2,1,100,80,20,20,-90,20,40,80,0.2,False,6.412,0
scenario269,c4,1,2,2,0,100,80,0,60,90,60,0,40,0.4,False,5.226,0
scenario270,c4,2,0,1,2,60,80,80,20,0,80,0,40,0.2,False,0.966,0
scenario271,c4,1,2,2,0,80,80,20,0,-60,60,100,40,0.4,False,4.196,0
scenario272,c1,0,1,1,2,80,100,20,100,90,80,20,60,1.0,False,2.886,0
scenario273,c1,1,2,0,2,60,80,100,40,90,80,0,60,1.0,False,7.592,0
scenario274,c4,1,2,2,0,100,40,0,60,-60,80,60,100,0.1,False,3.226,0
scenario275,c4,1,2,2,0,80,80,0,40,-30,100,60,20,0.4,False,4.065,0
scenario276,c2,2,0,0,1,100,100,100,0,-60,80,100,0,0.8,False,4.654,0
scenario277,c4,2,0,1,2,100,100,0,40,-30,80,40,40,0.2,False,4050.415,0
scenario278,c4,1,2,2,0,80,60,20,40,-90,80,40,100,0.1,False,4.223,0
scenario279,c2,0,1,2,1,0,100,40,40,-90,20,20,60,0.4,False,11.274,0
scenario280,c1,0,1,1,2,80,100,0,40,60,80,20,60,1.0,False,2.828,0
scenario281,c2,0,1,2,1,100,20,20,20,30,20,100,60,1.0,False,126.043,0
scenario282,c2,2,1,0,1,80,80,20,80,90,40,0,20,0.4,False,2.28,0
scenario283,c4,2,0,1,2,80,80,0,60,0,60,60,80,0.6,False,5607.657,0
scenario284,c2,2,1,0,1,100,100,80,20,-30,60,80,20,0.8,False,4.017,0
scenario285,c2,2,0,0,1,80,100,100,0,-90,80,80,0,1.0,False,2.843,0
scenario286,c2,2,1,0,1,40,80,80,20,0,80,0,40,0.4,False,3.165,0
scenario287,c4,2,0,1,2,60,100,0,40,0,100,60,40,0.4,True,0.0,1
scenario288,c1,1,2,0,1,100,0,0,80,-60,100,60,80,0.1,False,3.975,0
scenario289,c2,2,1,0,1,40,40,80,60,-60,80,100,80,0.8,False,4.09,0
scenario290,c2,0,1,2,0,0,20,0,80,0,80,0,60,0.2,True,0.0,1
scenario291,c2,0,1,2,0,20,80,0,60,0,80,0,100,0.8,False,1.515,0
scenario292,c4,2,0,1,0,100,100,0,0,-30,80,40,40,0.2,False,2.263,0
scenario293,c2,0,1,2,1,100,100,20,40,-30,80,60,40,0.2,False,3.853,0
scenario294,c2,0,1,2,0,100,100,0,40,-30,20,40,40,0.2,False,1859.0,0
scenario295,c1,0,1,1,2,40,80,0,100,0,100,20,20,1.0,False,2.019,0
scenario296,c2,0,1,2,0,40,80,20,80,-60,60,20,60,0.8,False,1.862,0
scenario297,c1,0,2,1,2,0,20,0,80,0,80,40,40,1.0,False,4.221,0
scenario298,c2,0,1,2,1,60,80,20,100,-30,60,40,60,1.0,False,2.759,0
