instances,pathinteraction,feature_goalego,feature_windintensity,feature_roadfriction,feature_fogdistance,feature_startother,feature_precipitationdeposits,feature_cloudiness,feature_fogdensity,feature_goalother,feature_precipitation,feature_wetness,feature_startego,collision,min_ttc,algo_safety
scenario22,c1,2,0,0.1,80,1,80,80,20,1,100,100,1,0,0.9737207520453324,0
scenario23,c2,0,20,1.0,0,1,40,40,80,1,40,40,2,0,4.23660382800444,0
scenario24,c1,2,0,0.1,100,0,0,0,100,2,80,0,1,0,5.477712121965023,0
scenario25,c1,1,80,0.4,20,2,40,100,40,2,40,40,0,0,2.7000171566023545,0
scenario26,c2,1,80,0.1,80,1,0,100,60,1,20,20,2,0,3.5390673496775875,0
scenario27,c4,0,20,0.8,0,3,100,80,60,0,40,80,1,0,2.868126387416488,0
scenario28,c4,0,80,0.4,60,3,20,0,20,0,20,60,1,1,0.0,1
scenario29,c4,0,60,1.0,60,3,0,40,80,0,60,60,1,0,2.668539780976572,0
scenario30,c4,0,0,0.2,0,3,60,100,100,0,80,40,1,1,0.0,1
scenario31,c4,0,100,0.8,40,3,80,20,20,0,80,20,1,0,3.2151819907008594,0
scenario32,c4,0,80,1.0,20,2,80,60,80,2,60,0,2,1,0.0,1
scenario33,c4,0,100,0.1,60,2,40,80,40,2,40,100,2,0,1.159665244657123,0
scenario34,c1,1,40,0.1,40,2,80,0,20,2,60,20,0,0,3.3387238769985004,0
scenario35,c2,1,40,0.6,60,3,60,80,20,1,20,60,0,0,4.2421887633340525,0
scenario36,c1,1,20,0.4,20,2,20,40,40,2,100,40,0,0,2.338517334435232,0
scenario37,c2,0,80,1.0,40,1,80,80,60,1,80,20,2,0,4.404535941065909,0
scenario38,c4,0,40,0.1,40,3,60,20,0,0,80,100,1,0,4.259219359830254,0
scenario39,c1,1,40,0.2,60,2,100,40,40,2,100,60,0,0,2.700811740918397,0
scenario40,c4,0,20,0.8,0,2,40,20,40,0,60,100,2,0,3.1103078729478293,0
scenario41,c1,2,0,1.0,0,2,60,100,60,2,60,40,0,0,2.6376104561100657,0
scenario42,c2,1,80,0.1,60,3,60,60,100,1,40,80,0,0,3.119446830983754,0
scenario43,c4,0,80,0.1,0,3,20,80,80,0,100,40,1,0,2.670158916517712,0
scenario44,c1,2,40,0.8,60,2,60,0,100,2,40,20,0,0,3.343482328810964,0
scenario45,c1,2,0,0.6,100,2,80,100,0,2,0,80,0,0,3.2364302151912328,0
scenario46,c2,1,80,0.4,60,1,0,20,60,1,40,100,2,0,3.026945274868785,0
scenario47,c4,0,60,0.2,60,3,80,40,100,0,40,0,1,0,2.4412049440549684,0
scenario48,c4,0,0,0.4,100,2,40,40,60,2,20,20,2,0,1.228228089199036,0
scenario49,c1,2,60,0.8,60,2,20,20,20,2,60,100,0,0,2.2907101233194105,0
scenario50,c4,0,60,0.1,80,3,40,20,20,0,80,40,1,1,0.0,1
scenario51,c1,2,100,0.4,0,2,100,100,80,2,0,80,0,0,2.622696026009383,0
scenario52,c4,0,100,0.2,80,3,100,80,40,0,20,40,1,0,3.2984101377247845,0
scenario53,c1,2,80,0.4,40,0,100,80,0,2,0,100,1,0,5.258126594446181,0
scenario54,c2,0,80,0.6,80,1,80,40,100,1,40,100,2,0,2.8244515733327487,0
scenario55,c1,1,60,0.2,60,2,40,80,40,2,100,60,0,0,3.3240000904347675,0
scenario56,c1,2,0,0.1,80,2,80,60,80,2,20,0,0,0,3.012537156079384,0
scenario57,c1,2,20,0.4,60,1,80,100,80,1,0,0,1,0,1.0151216170807464,0
scenario58,c2,1,60,0.2,0,1,100,20,80,1,60,40,2,0,5.010266922918802,0
scenario59,c4,2,60,1.0,20,3,0,80,40,0,0,0,1,0,3.601703794889428,0
scenario60,c2,0,40,0.2,80,1,80,40,100,1,20,20,2,0,4.668611835205432,0
scenario61,c4,0,0,0.4,80,3,60,80,20,0,40,20,1,1,0.0,1
scenario62,c4,0,100,0.8,60,3,40,40,80,0,80,60,1,0,3.788731583864605,0
scenario63,c4,0,80,0.1,80,2,60,60,20,0,0,100,2,0,12.12763088701173,0
scenario64,c2,1,80,1.0,20,3,40,100,40,0,40,40,0,0,2.02456559562043,0
scenario65,c1,2,60,0.4,0,0,40,0,100,2,40,80,1,0,4.875849539697959,0
scenario66,c2,0,20,0.1,20,1,60,60,40,1,0,60,2,0,2.714027321846064,0
scenario67,c4,2,100,0.6,20,3,0,0,80,0,60,20,1,0,3.35211506632207,0
scenario68,c4,0,100,0.8,0,2,80,80,80,2,100,0,2,1,0.0,1
