Row,timeofday,startego,goalego,startother,goalother,roadfriction,fogdensity,precipitation,precipitationdeposits,cloudiness,windintensity,wetness,fogdistance
scenario344,60,2,0,1,2,0.8,100,60,0,80,100,60,0
scenario345,30,0,1,1,2,0.2,80,40,100,0,100,0,60
scenario346,-60,2,0,1,0,0.6,100,60,100,20,80,0,20
scenario347,60,1,2,2,0,0.8,40,0,40,100,20,60,20
scenario348,90,2,0,1,2,0.4,100,100,20,60,60,100,80
scenario349,-60,1,0,2,0,1,100,100,60,80,100,80,20
scenario350,-30,2,0,1,0,0.2,100,60,60,40,20,0,60
scenario351,-60,0,1,1,2,0.4,80,100,60,20,80,20,80
scenario352,0,2,0,1,0,0.6,60,40,100,40,0,20,100
scenario353,60,1,2,0,1,0.6,60,100,40,20,80,40,100
scenario354,90,2,0,1,2,0.2,100,0,80,100,20,20,0
scenario355,-60,0,1,2,1,1,0,0,0,100,0,0,80
scenario356,0,0,1,2,1,1,20,60,20,100,0,40,20
scenario357,0,0,1,2,0,0.8,80,100,80,0,20,20,40
scenario358,60,1,2,2,0,0.4,60,80,40,0,0,20,40
scenario359,-60,2,0,1,0,0.4,100,80,20,40,0,60,0
scenario360,0,1,2,0,2,0.4,60,60,40,80,100,100,100
scenario361,30,2,0,1,0,0.4,40,40,80,80,20,60,60
scenario362,60,2,0,1,0,1,20,20,0,60,40,40,60
scenario363,60,1,2,0,2,0.4,20,20,80,0,0,100,0
scenario364,0,1,2,2,0,0.2,40,20,0,20,0,80,40
scenario365,-60,0,1,2,0,0.8,20,40,100,60,0,80,40
scenario366,30,0,1,1,2,0.1,40,0,80,100,80,40,80
scenario367,30,2,0,0,1,0.6,80,60,20,40,20,60,0
scenario368,0,1,2,2,0,0.8,80,0,20,60,0,100,80
scenario369,90,1,2,0,2,0.6,40,60,100,100,0,40,40
scenario370,-60,2,0,1,0,0.1,60,20,20,0,80,80,40
scenario371,-60,1,2,0,2,0.4,80,20,40,20,20,100,60
scenario372,-30,1,2,0,2,0.2,100,80,0,100,80,80,60
scenario373,-30,1,0,2,0,1,20,80,100,20,40,60,20
scenario374,60,1,2,0,2,0.2,20,80,60,80,60,0,60
scenario375,0,1,2,0,2,0.2,0,80,100,80,100,80,80
scenario376,-30,1,2,2,0,0.8,60,80,60,100,40,0,100
scenario377,90,1,2,2,0,0.2,80,80,20,0,80,40,100
scenario378,0,2,0,1,2,1,0,20,60,60,80,0,100
scenario379,-90,1,2,0,2,1,100,20,20,60,80,60,20
scenario380,30,1,2,0,2,0.1,40,60,0,60,0,40,20
scenario381,30,0,1,2,1,0.2,60,60,80,60,20,40,0
scenario382,-60,1,2,0,2,0.8,40,0,100,60,100,0,100
scenario383,0,1,0,2,0,0.6,80,60,60,0,40,100,0
scenario384,-90,1,2,0,2,0.6,20,40,80,0,60,100,100
scenario385,-30,2,0,1,0,0.4,40,40,100,40,80,20,0
scenario386,30,0,1,2,0,0.2,0,0,20,80,60,0,0
scenario387,30,0,2,1,2,1,80,100,40,20,20,40,40
scenario388,30,1,2,0,2,0.2,100,100,0,40,40,0,20
scenario389,-30,0,1,2,1,0.6,80,80,20,40,40,100,40
scenario390,-30,0,2,1,2,0.4,40,80,20,0,40,20,60
scenario391,-30,1,2,0,2,0.6,20,60,20,60,20,20,40
scenario392,0,1,2,2,0,0.8,80,20,100,40,100,60,100
scenario393,60,2,0,1,2,0.1,40,40,40,60,0,100,80
scenario394,-60,2,0,1,0,0.8,0,40,100,0,100,20,80
scenario395,-60,1,2,0,2,0.4,40,0,60,0,100,60,40
scenario396,30,1,2,0,2,0.1,60,40,0,0,20,20,80
scenario397,90,0,2,1,2,1,60,100,100,60,80,80,60
scenario398,0,1,2,0,1,0.1,80,80,0,20,40,60,60
scenario399,60,0,1,2,1,0.1,100,60,40,0,40,40,0
scenario400,30,1,0,2,0,0.4,20,20,40,80,100,20,80
scenario401,90,2,0,1,0,0.2,60,40,60,80,60,60,0
scenario402,-60,0,1,2,1,0.6,0,20,80,0,20,40,0
scenario403,-30,0,1,2,1,0.1,80,20,60,60,60,40,20
scenario404,0,2,1,0,1,0.8,0,0,100,20,60,80,0
scenario405,-90,0,1,2,1,1,100,80,100,20,0,60,100
scenario406,30,1,2,0,2,0.1,80,100,0,80,100,100,20
scenario407,60,2,0,1,0,0.8,100,60,100,40,80,40,80
scenario408,30,2,0,1,0,0.8,100,0,40,40,20,100,0
scenario409,-90,1,2,0,2,0.4,60,60,40,100,80,100,20
scenario410,60,1,2,2,0,0.8,20,80,0,60,60,20,100
scenario411,-90,0,1,2,1,0.6,40,100,100,40,100,40,60
scenario412,60,0,1,1,2,0.8,80,20,80,80,100,40,20
