instances,feature_cloudiness,feature_windintensity,feature_precipitation,feature_precipitationdeposits,feature_wetness,feature_roadfriction,feature_fogdensity,feature_fogdistance,visibility,roadsurface,vehiclestability,pathinteraction,probability,feature_startego,feature_goalego,feature_startother,feature_goalother,collision,min_ttc,algo_safety
scenario212,20,40,0,0,0,0.8,0,100,20,100,80,c2,0.0604,0,1,2,1,0,3.6853818916412897,0
scenario213,40,20,0,60,40,0.6,0,100,20,100,80,c4,0.00128,1,2,2,0,0,9999.0,0
scenario214,20,40,0,0,0,0.8,0,100,20,100,100,c1,0.05899,0,1,1,2,0,9999.0,0
scenario215,20,40,0,0,0,0.8,0,100,20,100,100,c2,0.06118,2,1,0,1,0,3.2170840497665703,0
scenario216,20,40,0,0,0,0.8,0,100,20,100,100,c4,0.05902,2,0,1,0,0,1.6194124287665763,0
scenario217,20,40,0,0,0,0.8,0,100,40,0,0,c1,0.06001,1,2,0,1,0,4573.426569169334,0
scenario218,20,40,0,0,0,0.8,0,100,40,0,0,c2,0.06046,0,1,2,0,0,3.42093102930811,0
scenario219,20,40,0,0,0,0.8,0,100,40,0,0,c4,0.06069,2,0,1,2,1,0.0,1
scenario220,20,40,0,0,0,0.8,0,100,40,0,20,c1,0.0612,1,2,0,2,0,9999.0,0
scenario221,20,40,0,0,0,0.8,0,100,40,0,20,c2,0.06017,2,0,0,1,0,2.559735781419412,0
scenario222,20,40,0,0,0,0.8,0,100,40,0,20,c4,0.0595,1,0,2,0,0,9999.0,0
scenario223,20,40,0,0,0,0.8,0,100,40,0,40,c1,0.06002,0,2,1,2,0,9999.0,0
scenario224,20,40,0,0,0,0.8,0,100,40,0,40,c2,0.06065,0,1,2,1,0,3.025585599725439,0
scenario225,20,40,0,0,0,0.8,0,100,40,0,40,c4,0.06064,1,2,2,0,0,7386.688493780184,0
scenario226,20,40,0,0,0,0.8,0,100,40,0,60,c1,0.05927,0,1,1,2,0,9999.0,0
scenario227,20,40,0,0,0,0.8,0,100,40,0,60,c2,0.05894,2,1,0,1,0,3.706355918590394,0
scenario228,20,40,0,0,0,0.8,0,100,40,0,60,c4,0.05986,2,0,1,0,0,2.907257682772836,0
scenario229,40,40,0,40,40,0.8,0,100,40,0,80,c1,0.00127,1,2,0,1,0,2399.9663646355853,0
scenario230,20,40,0,0,0,0.8,0,100,40,0,80,c2,0.05851,0,1,2,0,0,2.0058850790856866,0
scenario231,20,40,0,0,0,0.8,0,100,40,0,80,c4,0.05982,2,0,1,2,0,0.9327514299842332,0
scenario232,20,40,0,0,0,0.8,0,100,40,0,100,c1,0.0591,1,2,0,2,0,703.1939886430595,0
scenario233,20,40,0,0,0,0.8,0,100,40,0,100,c2,0.05883,2,0,0,1,0,3.397895147656524,0
scenario234,20,40,0,0,0,0.8,0,100,40,0,100,c4,0.05936,1,0,2,0,0,9999.0,0
scenario235,20,40,0,0,0,0.8,0,100,40,20,0,c1,0.0594,0,2,1,2,0,4.59724435321198,0
scenario236,20,40,0,0,0,0.8,0,100,40,20,0,c2,0.05964,0,1,2,1,0,3.026256681365852,0
scenario237,20,40,0,0,0,0.8,0,100,40,20,0,c4,0.05903,1,2,2,0,0,9999.0,0
scenario238,20,40,0,0,0,0.8,0,100,40,20,20,c1,0.05924,0,1,1,2,0,9999.0,0
