PathInteraction,GoalEgo,WindIntensity,RoadFriction,FogDistance,StartOther,PrecipitationDeposits,Cloudiness,FogDensity,GoalOther,Precipitation,Wetness,TimeOfDay,StartEgo,Min_TTC,Collision_Occurred
c2,left,0,0.6,100,right,20,0,80,base,80,60,-60,base,1.6702024871098486,False
c2,left,20,1.0,40,right,0,40,40,base,20,0,90,base,1.8797710102755807,False
c2,base,80,0.1,20,base_left_lane,60,80,20,left,0,80,0,right,2.9206471252070987,False
c2,left,80,0.4,80,right,60,40,100,base,80,60,-60,base,1.8755866996509634,False
c2,left,80,0.1,20,base_left_lane,60,60,100,left,60,0,0,right,2.5422412413922406,False
c4,base,20,0.4,80,right,100,60,40,base,60,20,90,left,5.043325809238444,False
c4,base,40,0.6,40,left,0,0,100,right,100,100,90,right,1.1365064159019882,False
c4,right,20,0.4,40,right,20,20,0,base,0,20,60,left,3.840890410338873,False
c1,right,40,0.2,20,left,60,100,20,right,40,0,30,base,3.3037569439780325,False
c1,left,100,0.6,100,left,0,40,40,right,20,40,-30,base,2.94672622418745,False
c4,base,60,0.8,60,right,80,40,40,base,80,40,-90,left,2.7281955768091204,False
c1,left,100,0.6,80,left,0,20,20,right,0,0,-30,base,2.4877371608370993,False
c1,right,60,0.6,100,base_left_lane,20,80,40,left,0,100,-60,left,1.0854996217804722,False
c1,right,80,0.1,80,left,60,60,40,right,100,0,-90,base,2.934949163517274,False
c4,base,60,0.4,20,left,40,0,60,right,80,0,-60,right,1.0984379450063455,False
c2,left,100,0.2,60,right,80,100,80,base,60,0,30,base,1.656963444672279,False
c1,right,80,0.8,0,base,100,0,40,right,0,40,0,left,3.3085198977111143,False
c4,base,0,0.2,40,left,20,80,80,base,80,100,60,right,2.2041310429261705,False
c1,right,20,0.1,0,base,100,20,20,right,100,20,90,left,4.085056713250031,False
c2,left,100,0.6,40,right,0,80,80,left,40,80,-60,base,3.048821437306654,False
c4,base,40,0.1,0,left,20,40,40,base,100,100,60,right,2.5767933012699467,False
c1,right,20,0.2,100,left,100,80,60,right,60,80,-30,base,4.040172586494331,False
c4,right,100,0.2,100,right,0,60,100,base,20,60,90,left,4.956294840531707,False
c1,right,40,1.0,100,base,0,20,100,right,60,40,-30,left,3.8664509162389655,False
c1,right,100,0.8,60,base_left_lane,60,80,60,left,20,20,90,left,0.9900840517607427,False
c2,base,40,1.0,60,base_left_lane,40,0,20,left,0,80,30,right,3.2539151116540252,False
c4,base,20,1.0,0,right,80,20,80,base,0,40,-90,left,2.1009029924012985,False
c2,left,60,1.0,60,right,20,60,100,base,20,20,0,base,1.8503387307866,False
c1,right,0,1.0,60,base_left_lane,40,40,100,left,60,100,30,left,1.0461031651634607,False
c2,base,0,0.1,0,base_left_lane,0,100,80,left,60,40,60,right,3.074378721112173,False
c2,left,40,0.6,80,right,60,60,80,left,40,0,30,base,4.037161990430483,False
c4,base,60,0.1,20,left,0,20,20,right,0,0,-60,right,1.258270075937642,False
c4,base,60,0.8,40,left,80,20,80,right,20,60,30,right,0.7642031279856007,False
c2,left,40,0.2,20,right,80,80,60,left,60,20,60,base,3.350595197288913,False
c4,right,60,0.8,100,right,80,20,80,base,80,80,90,left,3.226119480118466,False
c2,base,80,0.6,20,base_left_lane,20,40,40,left,20,80,30,right,3.842356486455362,False
c2,left,80,1.0,0,base_left_lane,40,20,40,left,0,40,-30,right,2.884313562789431,False
c4,base,60,0.8,40,right,0,100,0,base,100,0,-90,left,3.2814779458925813,False
c1,right,60,0.6,40,left,80,0,60,right,0,100,-90,base,0.0,True
c4,base,80,0.2,0,left,20,100,40,base,40,20,-90,right,2.7013462160223596,False
c2,left,40,0.8,0,right,20,60,0,left,40,80,60,base,3.701805705174975,False
c2,left,100,0.2,40,right,80,80,100,left,80,80,30,base,3.4698851678412264,False
c4,base,60,1.0,40,left,40,0,40,right,80,0,60,right,0.0,True
c4,base,40,0.2,80,left,40,20,60,right,80,60,-30,right,1.007032359544791,False
c1,right,80,0.8,20,left,20,40,80,right,0,60,90,base,2.330006474152397,False
c4,base,100,0.6,60,left,60,40,60,right,20,60,60,right,1.0945369650684673,False
c2,left,20,1.0,60,right,100,60,20,base,40,100,90,base,1.6639644272458085,False
c1,left,100,0.8,40,left,0,60,100,right,0,0,90,base,1.7742833858547993,False
c2,base,100,0.4,100,base_left_lane,100,80,0,left,0,80,-60,right,3.852701954961298,False
c1,right,100,1.0,0,left,80,60,20,right,40,100,-30,base,0.8021525742102572,False
c2,base,100,0.2,20,base_left_lane,0,80,80,left,20,20,-30,right,2.656699522130106,False
c1,left,0,1.0,60,left,40,20,80,right,0,60,30,base,3.2336981551660986,False
c2,base,20,0.4,60,base_left_lane,80,0,100,left,20,0,60,right,3.4271112550360683,False
c4,right,20,0.4,0,right,20,40,40,base,60,40,30,left,6.429957634574023,False
c1,right,40,0.2,60,base,80,100,20,right,100,60,90,left,3.359410659480426,False
