instances,feature_timeofday,feature_cloudiness,feature_windintensity,feature_precipitation,feature_precipitationdeposits,feature_wetness,feature_roadfriction,feature_fogdensity,feature_fogdistance,feature_direction,visibility,roadsurface,vehiclestability,probability,collision,min_ttc,run_duration,algo_safety
scenario145,90,20,80,0,0,80,0.2,40,60,0,80,0,0,1e-05,0,1.177062869219918,22.02880048751831,0
scenario146,60,40,20,0,0,40,0.8,40,60,1,80,0,20,1e-05,0,0.7452811394978862,26.2722065448761,0
scenario147,-90,60,20,0,0,0,0.8,20,80,0,80,0,40,1e-05,0,1.120290609137597,22.51788640022278,0
scenario148,60,80,60,0,80,40,0.6,0,100,0,80,0,60,1e-05,0,1.080925524599679,21.99335765838623,0
scenario149,90,20,60,20,100,40,0.6,40,60,1,80,0,80,1e-05,0,0.7661313905050608,26.351303577423096,0
scenario150,90,20,100,40,20,40,0.8,100,0,1,80,0,100,1e-05,0,0.8063708649352302,26.445018768310547,0
scenario151,0,40,100,100,0,80,0.4,100,0,1,80,20,0,1e-05,0,1.0291814422194094,27.501224517822266,0
scenario152,-90,0,60,0,0,80,0.4,0,100,1,80,20,20,1e-05,0,0.9188105061093972,26.777729272842407,0
scenario153,-90,40,100,40,60,100,0.6,40,60,1,80,20,40,1e-05,0,5.109250942627699,70.1215169429779,0
scenario154,-30,60,100,0,0,20,0.8,80,20,0,80,20,60,1e-05,0,1.0187321311232944,22.26850438117981,0
scenario155,90,60,40,0,0,80,0.4,0,0,0,80,20,80,1e-05,0,1.175981985722948,22.028221130371094,0
scenario156,-30,60,40,40,100,40,0.6,40,60,0,80,20,100,1e-05,0,1.10704921652022,22.47956371307373,0
scenario157,30,0,100,0,60,40,0.6,80,20,1,80,40,0,1e-05,0,0.7696256865011728,26.23354363441468,0
scenario158,60,60,100,80,100,40,0.6,40,60,1,80,40,20,1e-05,0,0.8048286179574631,26.25295567512512,0
scenario159,-60,80,100,40,60,0,0.6,40,60,1,80,40,40,1e-05,0,0.861883692420637,26.974023818969727,0
scenario160,60,20,80,40,0,0,0.4,0,100,0,80,40,60,1e-05,0,1.2040953783730397,22.13800573348999,0
scenario161,-90,20,100,40,80,40,0.6,60,40,1,80,40,80,1e-05,0,0.9244443377677783,27.27551436424256,0
scenario162,-90,20,60,20,60,40,0.6,20,20,0,80,40,100,1e-05,0,1.086828702127144,22.372837781906128,0
scenario163,90,80,80,0,40,40,0.8,0,100,1,80,60,0,1e-05,0,0.8098564126146794,25.99820899963379,0
scenario164,-90,20,100,40,0,80,0.4,100,0,0,80,60,20,1e-05,0,1.119873753398366,22.39113163948059,0
scenario165,-30,60,20,100,0,80,0.4,60,40,1,80,60,40,1e-05,0,0.8381194288468944,27.00369906425476,0
scenario166,-90,40,80,20,100,40,0.2,0,100,0,80,60,60,1e-05,0,1.0486461268732576,22.578089952468872,0
scenario167,90,20,20,20,0,60,0.6,100,0,1,80,60,80,1e-05,0,0.944926095973138,26.36519956588745,0
scenario168,-60,20,40,60,80,40,0.6,0,100,1,80,60,100,1e-05,0,0.9110016486680468,26.45499014854431,0
scenario169,0,60,80,0,60,0,0.6,40,60,0,80,80,0,1e-05,0,1.0935262605701108,22.54129672050476,0
scenario170,0,60,80,80,0,0,0.8,100,0,0,80,80,20,1e-05,0,1.1046583239392374,22.462635040283203,0
scenario171,90,80,100,0,0,80,0.4,40,60,1,80,80,40,1e-05,0,0.8639193681187678,26.21278715133667,0
scenario172,0,60,60,40,0,0,0.8,40,60,1,80,80,60,1e-05,0,0.9715688766712934,27.162458181381226,0
scenario173,-90,20,20,20,0,100,0.4,40,60,1,80,80,80,1e-05,0,0.9199699507289886,29.607791423797607,0
scenario174,-30,0,20,0,0,80,0.4,40,60,0,80,80,100,1e-05,0,1.293157501989289,69.54225039482117,0
scenario175,-60,80,60,0,20,40,0.8,0,100,1,80,100,0,1e-05,0,0.8213949805445605,26.86638879776001,0
scenario176,-90,60,60,40,100,40,0.6,100,0,0,80,100,20,1e-05,0,1.073992789230197,22.47024631500244,0
scenario177,30,60,40,0,40,40,0.6,80,20,0,80,100,40,1e-05,0,1.1744606852149355,21.91146755218506,0
