Instances,PathInteraction,feature_GoalEgo,feature_WindIntensity,feature_RoadFriction,feature_FogDistance,feature_StartOther,feature_PrecipitationDeposits,feature_Cloudiness,feature_FogDensity,feature_GoalOther,feature_Precipitation,feature_Wetness,feature_TimeOfDay,feature_StartEgo,collision,min_ttc,algo_safety
scenario219,c2,left,60,0.4,0,base_left_lane,60,0,0,left,40,20,-60,right,0,9999.0,0
scenario220,c4,base,60,0.8,100,right,20,0,100,base,40,100,-30,left,0,1.7950401715834383,0
scenario221,c2,left,100,0.1,0,right,40,0,0,base,60,80,-30,base,0,4.258988148960468,0
scenario222,c2,left,60,1.0,100,base_left_lane,0,20,40,left,0,0,30,right,0,3.73623650143009,0
scenario223,c4,right,100,0.8,60,right,0,40,0,base,40,0,0,left,0,9999.0,0
scenario224,c4,base,0,0.6,100,left,80,80,0,base,0,0,-90,right,0,1.7797669100782605,0
scenario225,c1,left,0,0.1,0,left,80,60,80,right,60,40,30,base,0,0.8748982615765585,0
scenario226,c4,base,80,0.4,40,right,60,100,60,base,0,0,60,left,0,1.7419434846450506,0
scenario227,c2,left,100,1.0,20,right,40,80,60,left,20,40,0,base,0,3.633303214742332,0
scenario228,c4,base,80,0.4,20,right,20,20,20,base,60,20,-30,left,0,2.41820056563906,0
scenario229,c4,base,60,1.0,20,left,0,40,40,base,20,60,0,right,0,2.827229307542817,0
scenario230,c4,base,40,0.4,0,left,0,40,80,right,0,100,90,right,0,1.869907844853764,0
scenario231,c2,left,60,0.1,40,base_left_lane,60,100,0,left,20,20,-60,right,0,3.8021029191575737,0
scenario232,c4,right,80,0.2,40,right,100,60,100,base,0,0,60,left,1,1.542441783824258,1
scenario233,c2,left,60,0.4,0,right,0,20,100,left,100,20,30,base,0,4.6472470192203055,0
scenario234,c1,right,60,0.1,60,left,100,0,60,right,60,20,-60,base,0,2.5504654300046643,0
scenario235,c4,base,100,0.2,100,right,100,40,20,base,40,20,90,left,0,9999.0,0
scenario236,c2,left,20,1.0,0,base_left_lane,80,20,40,left,0,60,60,right,0,2.911265621955605,0
scenario237,c2,left,40,0.4,100,right,0,40,60,base,20,60,90,base,0,4.667207682346772,0
scenario238,c1,right,100,1.0,0,left,60,100,100,right,40,40,-30,base,0,2.248513784100249,0
scenario239,c1,left,20,0.2,100,left,100,80,100,right,80,60,0,base,1,0.3844513297657991,1
scenario240,c2,base,40,0.2,80,base_left_lane,40,80,40,left,40,40,0,right,0,1.613654032447259,0
scenario241,c1,right,100,1.0,0,left,20,80,20,right,20,60,-30,base,0,3.11548390866387,0
scenario242,c2,left,0,1.0,60,right,60,0,20,base,100,100,-60,base,0,3.996803558871996,0
scenario243,c2,left,100,1.0,100,base_left_lane,100,40,80,left,20,100,-30,right,0,2.919679578937614,0
scenario244,c2,base,80,0.4,100,base_left_lane,20,100,80,left,60,80,-90,right,0,2.849043806812084,0
scenario245,c2,left,100,0.6,20,base_left_lane,20,40,0,left,20,20,30,right,0,3.123584082174875,0
