Instances,feature_TimeOfDay,feature_Cloudiness,feature_WindIntensity,feature_Precipitation,feature_PrecipitationDeposits,feature_Wetness,feature_RoadFriction,feature_FogDensity,feature_FogDistance,Visibility,RoadSurface,VehicleStability,PathInteraction,probability,feature_StartEgo,feature_GoalEgo,feature_StartOther,feature_GoalOther,collision,min_ttc,algo_safety
scenario174,30,60,20,20,0,80,0.6,100,0,20,60,60,c4,1e-05,left,right,right,base,0,1.8512258279704432,0
scenario175,-90,20,20,0,100,40,0.2,80,20,20,60,80,c1,1e-05,left,right,base,right,0,1.2643226991037495,0
scenario176,-30,60,100,80,0,0,0.8,100,0,20,60,80,c2,1e-05,right,base,base,left,1,9999.0,1
scenario177,-90,60,40,80,0,0,0.8,80,20,20,60,80,c4,1e-05,right,base,left,right,0,1.643885359382352,0
scenario178,30,20,80,0,0,100,0.6,40,60,20,60,100,c1,1e-05,left,right,base,left,0,2.60330303971214,0
scenario179,-60,0,20,0,20,0,0.8,80,20,20,60,100,c2,1e-05,base,left,right,left,0,4.160017477563253,0
scenario180,30,80,80,0,100,40,0.6,80,20,20,60,100,c4,1e-05,left,base,right,base,0,2.121346002100581,0
scenario181,90,20,100,40,0,80,0.8,0,100,20,80,0,c1,1e-05,base,left,left,right,0,3.3907476601715127,0
scenario182,-90,40,80,60,100,60,0.6,60,40,20,80,0,c2,1e-05,base,left,right,base,0,3.392498762644108,0
scenario183,0,40,40,0,40,80,0.6,0,100,20,80,0,c4,1e-05,right,base,left,base,0,9999.0,0
scenario184,-30,80,60,20,80,40,0.6,100,0,20,80,20,c1,1e-05,base,right,left,right,0,2.607187830433789,0
scenario185,-90,20,80,20,60,100,0.6,20,80,20,80,20,c2,1e-05,right,left,base,left,0,1.0312039581035493,0
scenario186,-90,40,100,80,0,80,0.4,40,60,20,80,20,c4,1e-05,left,right,right,base,0,3.915875591838164,0
scenario187,-60,60,60,40,60,40,0.6,60,40,20,80,40,c1,1e-05,left,right,base,right,0,1.879418123396603,0
scenario188,60,20,60,40,0,80,0.4,60,100,20,80,40,c2,1e-05,right,base,base,left,1,9999.0,1
scenario189,60,20,80,20,60,40,0.6,40,0,20,80,40,c4,1e-05,right,base,left,right,0,1.143530494460249,0
scenario190,-90,60,20,20,100,0,0.6,20,80,20,80,60,c1,1e-05,left,right,base,left,0,7042.819180667989,0
scenario191,30,60,80,20,60,0,0.6,20,80,20,80,60,c2,1e-05,base,left,right,left,0,4.992778521356464,0
scenario192,60,20,100,20,60,0,0.6,0,100,20,80,60,c4,1e-05,left,base,right,base,0,9999.0,0
scenario193,90,20,60,0,40,0,0.8,0,100,20,80,80,c1,1e-05,base,left,left,right,1,9999.0,1
scenario194,0,80,80,20,40,40,0.8,40,60,20,80,80,c2,1e-05,base,left,right,base,0,4.116820913776153,0
scenario195,60,40,20,20,40,0,0.8,100,0,20,80,80,c4,1e-05,right,base,left,base,0,2.8460655004661386,0
scenario196,-90,20,20,60,0,80,0.8,0,100,20,80,100,c1,1e-05,base,right,left,right,0,2.832841207174767,0
scenario197,-60,40,20,20,40,80,0.8,0,100,20,80,100,c2,1e-05,right,left,base,left,0,9999.0,0
scenario198,90,60,100,0,0,0,0.6,0,100,20,80,100,c4,1e-05,left,right,right,base,0,9999.0,0
scenario199,-60,80,40,60,0,80,0.6,40,60,20,100,0,c1,1e-05,left,right,base,right,0,1.391626303072638,0
scenario200,60,20,40,40,40,0,0.8,40,60,20,100,0,c2,1e-05,right,base,base,left,0,0.5642132387184715,0
scenario201,-30,60,80,20,0,60,0.4,100,0,20,100,0,c4,1e-05,right,base,left,right,0,1.180227542817101,0
scenario202,0,60,60,60,0,80,0.4,100,80,20,100,20,c1,1e-05,left,right,base,left,0,3.4592547482863303,0
scenario203,90,20,60,100,100,40,0.6,40,60,20,100,20,c2,1e-05,base,left,right,left,0,4.745869409149197,0
scenario204,30,20,100,40,80,40,0.6,0,100,20,100,20,c4,1e-05,left,base,right,base,0,9999.0,0
scenario205,-60,60,20,60,100,60,0.6,0,100,20,100,40,c1,1e-05,base,left,left,right,0,2.208098617082574,0
scenario206,90,80,80,20,60,100,0.6,40,60,20,100,40,c2,1e-05,base,left,right,base,0,4.034260616723715,0
scenario207,-90,40,80,0,40,40,0.6,40,60,20,100,40,c4,1e-05,right,base,left,base,0,2.514374204334064,0
scenario208,30,0,60,0,40,40,0.6,0,100,20,100,60,c1,1e-05,base,right,left,right,0,2.124451808988893,0
scenario209,90,80,100,20,100,40,0.6,40,60,20,100,60,c2,1e-05,right,left,base,left,0,0.9505011312120124,0
scenario210,0,20,100,20,0,0,0.8,40,60,20,100,60,c4,1e-05,left,right,right,base,0,1.464930993389788,0
scenario211,-90,80,20,0,0,0,0.8,80,20,20,100,80,c1,1e-05,left,right,base,right,0,1.0010066283134054,0
scenario212,30,60,60,40,100,40,0.6,0,100,20,100,80,c2,1e-05,right,base,base,left,0,0.5458205826178073,0
scenario213,60,20,100,0,0,60,0.4,80,20,20,100,80,c4,1e-05,right,base,left,right,0,1.4071877208295107,0
scenario214,90,0,20,0,80,40,0.6,0,100,20,100,100,c1,1e-05,left,right,base,left,0,1428.827417961723,0
scenario215,30,60,100,20,0,0,0.8,20,80,20,100,100,c2,1e-05,base,left,right,left,0,4.353852087790144,0
scenario216,-60,20,100,20,60,0,0.6,20,80,20,100,100,c4,1e-05,left,base,right,base,0,9999.0,0
scenario217,-90,40,40,40,100,0,0.6,100,0,40,0,0,c1,1e-05,base,left,left,right,1,9999.0,1
scenario218,60,20,100,40,40,0,0.8,100,0,40,0,0,c2,1e-05,base,left,right,base,0,3.8544967483619055,0
scenario219,60,20,60,0,0,60,0.1,20,80,40,0,0,c4,1e-05,right,base,left,base,0,2.9307041255509434,0
scenario220,-90,20,60,40,100,100,0.1,100,0,40,0,20,c1,1e-05,base,right,left,right,0,2.524397696234141,0
