Instances,feature_TimeOfDay,PathInteraction,feature_StartEgo,feature_GoalEgo,feature_StartOther,feature_GoalOther,feature_RoadFriction,feature_FogDensity,feature_Precipitation,feature_PrecipitationDeposits,feature_Cloudiness,feature_WindIntensity,feature_Wetness,feature_FogDistance,collision,min_ttc,algo_safety
scenario155,60,c4,right,base,left,base,1.0,0,100,60,80,20,100,40,1,2.1631723614496496,1
scenario156,-30,c4,right,base,left,base,0.8,0,60,40,100,0,100,0,0,2.69487106970658,0
scenario157,30,c2,right,left,base,left,0.1,100,40,0,100,40,80,40,1,0.7166937440339992,1
scenario158,-90,c2,right,base,base,left,0.2,20,60,60,80,100,40,40,1,0.8304553120457997,1
scenario159,60,c4,right,base,left,right,0.2,40,40,20,20,0,20,20,0,1.7471952761495466,0
scenario160,-30,c1,left,right,base,left,1.0,100,40,20,60,80,0,0,0,2.048546721977862,0
scenario161,-30,c4,left,right,right,base,1.0,80,60,100,20,100,20,80,0,3.870808865070193,0
scenario162,-30,c4,right,base,left,right,1.0,100,0,40,20,40,100,80,0,2.705270301921612,0
scenario163,90,c4,right,base,left,base,0.6,40,100,100,0,0,60,100,0,2.717042070993985,0
scenario164,-60,c2,right,left,base,left,0.8,100,100,40,40,60,60,20,0,1.8462544077213656,0
scenario165,30,c1,left,right,base,left,0.8,20,0,0,0,80,60,80,0,9999.0,0
scenario166,30,c1,left,right,base,right,1.0,20,0,80,0,40,0,60,0,1.7844811014318758,0
scenario167,-90,c2,base,left,right,base,0.8,40,80,80,60,40,60,40,0,4.331435777732202,0
scenario168,90,c1,left,right,base,right,0.4,0,60,80,20,80,40,0,0,9999.0,0
scenario169,60,c4,right,base,left,right,0.1,80,0,80,80,0,100,100,0,2.611936501825295,0
scenario170,60,c2,base,left,right,left,1.0,80,100,20,40,40,20,60,0,4.258350699770976,0
scenario171,-90,c4,right,base,left,right,0.8,60,100,60,0,100,20,60,0,2.550682310116875,0
scenario172,30,c2,base,left,right,base,0.6,0,20,0,0,40,100,20,0,4.463847909515174,0
scenario173,0,c4,left,base,right,base,0.4,20,80,80,60,80,20,100,0,9999.0,0
scenario174,-90,c4,right,base,left,base,0.8,0,40,40,20,20,40,100,1,3.2166192847012653,1
scenario175,60,c1,left,right,base,right,0.6,40,100,80,0,100,40,20,0,1.5794218225039325,0
scenario176,60,c2,base,left,right,base,0.1,40,20,20,80,60,20,80,0,3.6710189219869447,0
scenario177,-60,c2,base,left,right,base,0.8,100,80,60,0,60,100,100,0,3.1471080388327093,0
scenario178,-30,c2,right,left,base,left,0.4,60,0,60,60,80,60,20,0,0.8097385068469897,0
scenario179,-90,c4,right,base,left,right,0.6,80,60,40,80,20,20,80,0,1.955079505828959,0
scenario180,-30,c1,base,right,left,right,0.8,40,20,20,0,60,60,0,0,3.2115459822168377,0
scenario181,-90,c1,base,right,left,right,1.0,60,0,60,60,60,60,100,0,2.1162850398423987,0
scenario182,-60,c2,base,left,right,left,0.2,0,60,20,100,80,80,80,0,3.883904959574704,0
scenario183,90,c1,base,right,left,right,0.4,20,0,100,80,100,80,20,0,1.7289711550270246,0
scenario184,60,c2,right,base,base,left,0.2,80,60,0,60,80,40,40,0,0.6393375669137864,0
scenario185,-90,c4,left,right,right,base,0.2,60,100,100,0,20,0,0,0,1.2070529439404505,0
scenario186,30,c1,base,left,left,right,0.8,100,60,100,60,60,40,60,0,2.3196475306752142,0
scenario187,-90,c2,right,base,base,left,0.6,0,100,60,20,40,80,60,0,9999.0,0
scenario188,90,c4,left,base,right,base,1.0,60,20,80,100,80,20,80,0,2.365531337682869,0
scenario189,-30,c1,base,right,left,right,1.0,40,40,0,80,60,100,80,0,1.9893731754245707,0
scenario190,0,c4,right,base,left,base,1.0,40,60,100,60,40,80,40,0,2.3174226315373927,0
scenario191,30,c2,base,left,right,left,0.1,20,100,60,40,0,20,0,0,3.945036283625711,0
scenario192,90,c2,right,left,base,left,0.2,20,40,80,60,0,40,60,0,3.5067874218535287,0
scenario193,30,c4,left,right,right,base,0.2,60,80,20,20,0,100,0,0,3.330388053440034,0
scenario194,0,c4,left,base,right,base,0.8,40,0,80,40,60,40,0,0,2.8699291168313583,0
scenario195,0,c1,base,left,left,right,0.1,20,20,20,20,20,80,100,0,1.6509836691161666,0
scenario196,-30,c1,base,right,left,right,0.2,0,40,80,0,20,80,20,0,2.7995994830332163,0
scenario197,-90,c2,right,left,base,left,1.0,60,80,40,0,40,40,20,0,1.726633477387978,0
scenario198,-90,c1,left,right,base,left,1.0,0,40,80,40,100,0,40,0,1461.126621132466,0
scenario199,-30,c2,base,left,right,base,0.4,100,0,20,100,20,40,40,0,3.823893217838099,0
scenario200,60,c4,right,base,left,base,0.4,80,0,0,20,40,0,0,0,3.225207377756868,0
scenario201,-90,c4,right,base,left,base,0.2,80,20,60,40,80,0,100,0,1.1693856980070068,0
scenario202,0,c4,left,right,right,base,0.2,60,60,40,60,0,60,0,1,1.480648230727753,1
scenario203,90,c4,left,base,right,base,0.2,100,40,40,100,80,100,60,0,2.454666608153818,0
scenario204,30,c4,right,base,left,base,0.6,100,20,60,20,60,0,40,0,3.16467555077016,0
scenario205,0,c1,base,right,left,right,0.1,0,80,100,0,0,40,40,0,2.5492446596661598,0
scenario206,90,c4,right,base,left,right,0.1,80,60,20,0,100,0,80,0,1.8510550937884067,0
scenario207,-90,c4,left,base,right,base,0.1,100,20,40,80,0,100,40,0,2.919812813841628,0
scenario208,60,c1,left,right,base,right,0.8,80,60,60,100,20,80,80,0,1.25677204111434,0
scenario209,30,c2,base,left,right,left,1.0,20,80,40,100,100,60,60,0,4.385953212742891,0
scenario210,0,c4,left,base,right,base,0.4,60,100,20,80,0,80,60,0,2.126086069914149,0
scenario211,-30,c4,right,base,left,base,0.8,60,40,40,60,20,20,60,0,2.558622058731579,0
scenario212,0,c1,left,right,base,left,0.4,100,100,20,100,40,60,100,0,0.7681363490531607,0
scenario213,-30,c2,right,left,base,left,1.0,80,40,40,80,80,80,100,0,1.3474509512351112,0
scenario214,-90,c4,left,base,right,base,1.0,80,100,100,100,60,80,20,0,2.177774159758304,0
scenario215,90,c4,left,right,right,base,0.2,0,60,0,40,60,60,80,0,9999.0,0
