Rootdir,Boundary_area,prunedBoundaryArea,Footprint_area,COV_boundary,COV_prunnedBoundary,Footprint_density,Good_footprint_area
C:/Users/BH280005/Desktop/BayScen/results/rq3/tisa_runs/Modular_2_ctbc_run3/,65.1900926296363,65.1900926296363,22.6233622749343,34.7036817441941,34.7036817441941,6.89552676141518,21.738
C:/Users/BH280005/Desktop/BayScen/results/rq3/tisa_runs/Modular_2_pict_2way_run1/,50.2645993176929,50.2645993176929,5.9449784282938,11.8273665939702,11.8273665939702,8.57866863860714,5.285
C:/Users/BH280005/Desktop/BayScen/results/rq3/tisa_runs/Modular_2_pict_2way_run2/,50.8598806130941,50.8598806130941,4.97475794361967,9.7813008675032,9.7813008675032,11.2568291029762,4.351
C:/Users/BH280005/Desktop/BayScen/results/rq3/tisa_runs/Modular_2_pict_2way_run3/,51.6763770983227,51.6763770983227,4.91630131154944,9.5136338644549,9.5136338644549,11.1872719987266,6.009
C:/Users/BH280005/Desktop/BayScen/results/rq3/tisa_runs/Modular_2_pict_3way_run1/,58.0923713733124,58.0923713733124,11.5618794873918,19.90257793591,19.90257793591,43.3320551858666,9.917
C:/Users/BH280005/Desktop/BayScen/results/rq3/tisa_runs/Modular_2_pict_3way_run2/,51.3993562833772,51.3993562833772,9.52890941612551,18.5389664485102,18.5389664485102,53.206508516286,9.236
C:/Users/BH280005/Desktop/BayScen/results/rq3/tisa_runs/Modular_2_pict_3way_run3/,56.5597732914359,56.5597732914359,9.88211980645916,17.4719933114645,17.4719933114645,50.6976245797522,9.268
C:/Users/BH280005/Desktop/BayScen/results/rq3/tisa_runs/Modular_2_random_run1/,49.4222597377361,49.4222597377361,10.1646773735541,20.5670024549543,20.5670024549543,59.4214629547864,10.076
C:/Users/BH280005/Desktop/BayScen/results/rq3/tisa_runs/Modular_2_random_run2/,52.0760480980823,52.0760480980823,12.9026291161124,24.7765135553508,24.7765135553508,48.9047615274029,12.407
C:/Users/BH280005/Desktop/BayScen/results/rq3/tisa_runs/Modular_2_random_run3/,65.3453070304154,65.3453070304154,14.8989665759965,22.8003620352747,22.8003620352747,40.8081994746897,14.745
C:/Users/BH280005/Desktop/BayScen/results/rq3/tisa_runs/Modular_2_sitcov_run1/,42.6481677897021,42.6481677897021,9.65072066750259,22.6286876263718,22.6286876263718,64.9692413242601,9.551
C:/Users/BH280005/Desktop/BayScen/results/rq3/tisa_runs/Modular_2_sitcov_run2/,42.293664843482,42.293664843482,9.35078409409315,22.109183795488,22.109183795488,66.4115430054986,9.314
