instances,pathinteraction,feature_startego,feature_goalego,feature_startother,feature_goalother,feature_cloudiness,feature_precipitation,feature_precipitationdeposits,feature_windintensity,feature_fogdensity,feature_fogdistance,feature_wetness,feature_roadfriction,collision,minttc,algo_safety
scenario193,c4,2,0,1,2,0,60,100,100,40,100,60,1.0,False,0.876,0
scenario194,c2,2,1,0,1,20,80,20,100,80,60,60,0.4,False,3.578,0
scenario195,c1,1,2,0,2,0,100,100,100,20,100,60,0.8,False,7421.676,0
scenario196,c4,1,0,2,0,80,100,20,80,80,80,60,1.0,False,1.634,0
scenario197,c2,2,0,0,1,0,80,100,80,40,100,80,1.0,False,3.716,0
scenario198,c4,1,2,2,0,0,20,100,60,40,100,60,0.8,False,9999.0,0
scenario199,c4,2,0,1,0,0,60,100,100,40,80,80,0.8,False,2.879,0
scenario200,c2,0,1,2,0,20,20,100,80,60,100,80,1.0,False,4.049,0
scenario201,c4,1,2,2,0,20,80,80,60,80,100,60,0.8,False,2.712,0
scenario202,c4,2,0,1,0,0,20,40,80,20,80,0,0.6,False,2.505,0
scenario203,c4,2,0,1,0,40,20,100,0,60,40,40,1.0,False,3.058,0
scenario204,c4,1,0,2,0,0,0,100,100,40,20,20,0.4,True,0.0,1
scenario205,c4,1,0,2,0,0,0,100,100,40,20,20,0.4,True,0.0,1
scenario206,c2,2,1,0,1,20,80,40,100,40,0,40,1.0,False,4.072,0
scenario207,c1,1,2,0,2,80,80,20,80,100,80,80,0.2,False,3.305,0
scenario208,c1,1,2,0,2,0,80,80,0,80,100,40,0.8,False,2.723,0
scenario209,c1,1,2,0,1,0,20,20,0,80,60,40,0.2,False,4.032,0
scenario210,c4,2,0,1,0,20,0,100,0,60,40,40,0.2,False,3.226,0
scenario211,c4,2,0,1,2,0,60,40,100,40,100,40,1.0,True,0.0,1
scenario212,c4,2,0,1,2,20,80,0,60,80,100,80,0.6,False,0.965,0
scenario213,c4,2,0,1,2,20,100,100,80,20,100,60,0.8,True,0.0,1
scenario214,c4,1,2,2,0,40,80,60,60,80,100,60,0.8,True,0.0,1
scenario215,c2,2,0,0,1,0,100,80,80,40,80,80,0.8,False,9999.0,0
scenario216,c1,1,2,0,2,0,20,100,100,40,20,40,1.0,False,2.881,0
scenario217,c4,2,0,1,2,0,60,100,80,60,100,80,1.0,True,0.0,1
scenario218,c4,2,0,1,2,0,60,100,100,40,60,60,1.0,True,0.0,1
scenario219,c4,2,0,1,2,0,60,100,60,100,80,80,1.0,True,0.0,1
scenario220,c1,0,2,1,2,0,60,100,60,80,100,60,1.0,False,9999.0,0
scenario221,c4,2,0,1,2,0,60,100,80,60,100,80,1.0,False,0.832,0
scenario222,c4,2,0,1,2,0,60,100,60,40,100,80,1.0,True,0.0,1
scenario223,c1,0,1,1,2,0,60,100,100,40,100,60,1.0,False,9999.0,0
scenario224,c4,2,0,1,0,0,80,0,80,80,40,60,1.0,False,2.395,0
scenario225,c4,1,0,2,0,0,60,100,100,40,100,80,1.0,False,9999.0,0
scenario226,c4,2,0,1,2,100,80,100,80,60,20,20,1.0,True,0.0,1
scenario227,c1,0,1,1,2,0,40,100,60,80,80,80,1.0,False,4.95,0
scenario228,c1,0,1,1,2,20,60,100,80,80,100,80,1.0,False,9999.0,0
scenario229,c4,2,0,1,2,0,60,100,80,60,100,80,1.0,True,0.0,1
scenario230,c4,2,0,1,0,20,60,100,80,80,100,100,0.4,False,3.646,0
scenario231,c4,2,0,1,2,0,60,0,80,60,100,80,1.0,True,0.0,1
scenario232,c4,2,0,1,2,20,60,100,40,80,100,100,1.0,True,0.0,1
scenario233,c4,1,2,2,0,0,60,100,80,60,40,20,1.0,True,0.0,1
scenario234,c4,2,0,1,2,0,60,0,80,40,100,0,1.0,False,0.968,0
scenario235,c2,2,1,0,1,20,40,100,60,60,80,60,1.0,False,9999.0,0
scenario236,c4,2,0,1,2,0,60,100,60,80,20,80,1.0,True,0.0,1
scenario237,c4,1,0,2,0,0,80,100,60,60,100,80,1.0,False,1.912,0
scenario238,c1,0,1,1,2,0,80,80,80,60,20,80,1.0,False,4.46,0
scenario239,c2,0,1,2,1,60,40,80,80,80,60,100,1.0,False,4.731,0
scenario240,c1,0,2,1,2,0,40,100,20,80,100,100,1.0,False,8.072,0
scenario241,c4,2,0,1,2,0,60,100,80,60,100,80,1.0,False,0.823,0
scenario242,c4,2,0,1,2,0,60,60,60,80,20,60,0.8,True,0.0,1
scenario243,c1,1,2,0,1,0,60,80,80,40,60,20,1.0,False,4.86,0
scenario244,c1,1,2,0,1,20,40,0,60,80,100,80,0.4,False,5.874,0
scenario245,c4,2,0,1,2,0,60,40,60,60,100,100,0.4,True,0.0,1
scenario246,c4,1,0,2,0,0,80,100,60,60,100,100,1.0,True,0.0,1
scenario247,c4,2,0,1,2,0,60,0,60,40,100,80,1.0,False,0.9,0
scenario248,c1,0,1,1,2,0,60,40,80,40,40,40,1.0,False,5.216,0
scenario249,c2,2,0,0,1,80,60,100,80,80,80,100,1.0,False,3.312,0
scenario250,c1,0,1,1,2,0,40,0,80,60,100,80,0.8,False,0.778,0
scenario251,c4,1,0,2,0,0,80,100,20,60,100,80,1.0,True,0.0,1
scenario252,c2,0,1,2,1,80,20,80,100,80,60,100,1.0,False,5.091,0
scenario253,c4,2,0,1,2,0,60,60,60,80,20,60,0.8,True,0.0,1
scenario254,c4,2,0,1,2,0,80,60,80,80,40,60,1.0,True,0.0,1
scenario255,c2,0,1,2,1,20,40,40,20,40,80,0,0.8,False,5.039,0
scenario256,c4,2,0,1,2,0,60,100,60,80,20,100,1.0,True,0.0,1
scenario257,c1,1,2,0,1,0,100,80,20,60,100,80,0.8,False,5.26,0
scenario258,c2,0,1,2,0,60,60,100,100,20,80,100,1.0,False,4.007,0
scenario259,c2,2,1,0,1,20,60,40,60,40,80,100,0.4,False,3.328,0
