PathInteraction,GoalEgo,WindIntensity,RoadFriction,FogDistance,StartOther,PrecipitationDeposits,Cloudiness,FogDensity,GoalOther,Precipitation,Wetness,TimeOfDay,StartEgo,Min_TTC,Collision_Occurred
c2,base,0,1.0,60,base_left_lane,40,80,100,left,100,20,-30,right,2.505104639071888,False
c1,right,60,0.2,60,left,40,0,60,right,0,40,0,base,2.189352546984819,False
c2,left,80,0.4,40,right,0,0,40,base,80,20,-30,base,1.871672719423694,False
c4,base,80,0.6,20,right,60,40,60,base,20,60,30,left,2.2909850391731195,False
c2,left,80,0.2,0,right,60,80,20,left,0,0,-60,base,2.244173080828476,False
c1,right,100,1.0,0,base,100,20,60,right,100,80,60,left,3.575588228938518,False
c2,left,40,0.2,0,right,60,100,60,base,80,80,-60,base,1.824262986693232,False
c4,base,0,1.0,60,right,80,100,100,base,20,20,30,left,2.4145468903649316,False
c2,base,40,0.2,100,base_left_lane,60,40,20,left,20,40,90,right,4.711998549107457,False
c2,left,20,0.8,80,base_left_lane,20,40,20,left,100,0,60,right,4.657907734660365,False
c2,left,100,0.4,40,base_left_lane,100,0,20,left,80,100,30,right,4.689996883177994,False
c1,right,60,0.2,60,left,40,100,60,right,60,0,60,base,1.7758826686246851,False
c1,left,100,1.0,20,left,100,40,20,right,40,80,30,base,1.8845019223526212,False
c1,right,80,0.6,0,left,0,100,0,right,0,40,-30,base,3.0841751683990553,False
c4,base,100,0.4,80,right,100,80,80,base,0,100,-90,left,0.0,True
c1,right,100,0.6,60,left,80,100,40,right,60,80,-60,base,2.2910352885941045,False
c4,base,40,0.6,0,right,0,0,0,base,0,20,-30,left,2.599769021336778,False
c1,right,20,0.6,60,left,100,60,60,right,60,40,30,base,2.6524586626558677,False
c2,left,60,0.1,60,base_left_lane,40,80,20,left,0,80,0,right,4.307764829450951,False
c1,right,80,0.1,100,left,40,60,0,right,100,60,0,base,3.085681916346013,False
c2,left,40,0.6,0,right,40,60,20,left,40,100,30,base,3.212140234351476,False
c1,left,0,0.4,80,left,40,0,80,right,20,40,-90,base,2.4033770466153737,False
c4,base,20,0.2,40,left,0,20,80,base,20,20,-30,right,2.8373114863847992,False
c1,right,100,0.4,80,left,80,0,20,right,80,100,90,base,2.5418273826501387,False
c4,base,80,0.2,60,left,80,20,40,base,60,80,90,right,2.345220422866207,False
c1,right,20,0.4,100,left,0,0,0,right,40,20,-60,base,2.9064405403612,False
c1,right,0,0.8,40,left,60,20,0,right,80,100,90,base,3.866055440995771,False
c1,right,0,1.0,20,base_left_lane,20,20,100,left,60,20,-60,left,1.1214087863132423,False
c2,left,40,1.0,0,base_left_lane,60,60,40,left,40,100,-90,right,2.019582928470499,False
c1,left,0,1.0,20,left,0,0,100,right,60,0,90,base,3.0112982098460894,False
c2,left,0,0.1,60,right,20,60,60,left,80,100,0,base,2.8565512690511157,False
c1,left,100,0.1,80,left,80,40,0,right,100,20,30,base,2.3368057911677345,False
c1,right,40,0.2,40,left,60,60,100,right,60,0,-30,base,2.9210935605806947,False
c1,right,60,0.8,0,left,80,20,100,right,80,60,-90,base,0.0,True
c1,left,20,0.2,60,left,60,40,0,right,100,100,90,base,2.9877582802133267,False
c4,base,0,0.1,60,right,40,20,0,base,20,100,-60,left,2.0889636107703793,False
c2,left,100,0.1,60,base_left_lane,80,100,60,left,100,20,-30,right,3.420941390710398,False
c4,base,100,0.1,100,left,20,100,60,right,100,20,-30,right,0.9173971939865716,False
c2,left,60,1.0,0,right,40,100,40,base,40,20,30,base,1.9164530913644662,False
c1,right,20,0.6,0,left,0,40,80,right,80,100,-90,base,2.123363768904229,False
c2,left,20,0.2,20,base_left_lane,100,40,0,left,100,80,-60,right,4.052334768237454,False
c4,base,60,0.2,40,left,80,40,80,base,60,20,90,right,2.7827997665559536,False
c2,left,20,0.2,60,base_left_lane,60,20,60,left,20,0,0,right,2.354548278304216,False
c4,base,80,0.2,60,right,80,20,60,base,100,80,-30,left,2.124404878520885,False
c1,right,80,0.8,40,left,100,20,100,right,40,40,60,base,3.3336035999496336,False
c1,right,40,0.8,20,left,100,40,20,right,40,60,30,base,2.295445045951717,False
c4,base,40,0.8,80,left,60,0,100,base,0,40,-60,right,2.7690436718787463,False
c1,left,60,0.2,20,left,0,80,80,right,60,80,-30,base,2.8304974030984162,False
c1,left,20,1.0,20,left,0,40,20,right,20,20,60,base,1.8935877558190317,False
c4,base,80,0.4,80,right,80,40,60,base,100,60,-90,left,2.042026513199331,False
c1,right,0,0.2,80,left,80,100,0,right,100,100,-90,base,2.9594560550109326,False
c1,left,100,0.4,100,left,0,100,80,right,0,40,30,base,2.3015188978793675,False
c2,left,40,0.4,20,right,0,40,80,left,100,40,-90,base,2.853138962979544,False
c1,right,40,0.4,40,left,100,20,20,right,0,80,0,base,2.0629869696864636,False
