PathInteraction,GoalEgo,WindIntensity,RoadFriction,FogDistance,StartOther,PrecipitationDeposits,Cloudiness,FogDensity,GoalOther,Precipitation,Wetness,StartEgo,Min_TTC,Collision_Occurred
c1,right,80,0.4,0,left,0,20,80,right,60,100,base,2.299688461759907,False
c1,right,20,0.8,20,left,20,60,20,right,100,60,base,3.5838622398177082,False
c4,base,0,0.2,60,right,40,80,80,base,60,0,left,2.576486419035634,False
c4,base,100,0.1,20,right,100,80,20,base,100,0,left,0.0,True
c2,left,20,0.2,100,base_left_lane,80,60,80,left,40,0,right,5.347451993123468,False
c2,left,40,1.0,0,base_left_lane,80,20,100,left,60,0,right,3.102644961797167,False
c2,base,0,0.1,0,base_left_lane,20,40,80,left,40,0,right,4.3988459578546415,False
c1,left,60,0.2,40,left,20,0,100,right,40,0,base,2.198740359696211,False
c1,right,20,0.1,80,left,0,80,80,right,0,60,base,2.8728907033273443,False
c4,base,100,0.6,100,right,100,0,0,base,20,100,left,1.5695675331694772,False
c1,right,0,0.8,40,left,80,40,80,right,80,0,base,3.3641187481529924,False
c1,right,100,0.4,60,left,80,80,100,right,40,40,base,2.827802044563316,False
c2,left,80,0.4,40,base_left_lane,100,40,60,left,20,0,right,3.9853188516909968,False
c1,left,80,0.2,40,left,80,60,60,right,100,80,base,2.0231741081196866,False
c2,left,40,0.2,0,base_left_lane,40,80,40,left,40,20,right,2.905772082519061,False
c2,base,40,0.8,80,base_left_lane,20,0,100,left,40,60,right,2.6186174126708575,False
c1,left,80,0.2,100,left,20,80,60,right,80,40,base,3.005651397156845,False
c4,base,100,0.6,20,right,20,40,80,base,80,100,left,3.416239682149054,False
c1,left,0,1.0,0,left,60,60,60,right,100,100,base,1.9912836397524942,False
c4,base,80,0.6,100,left,100,100,60,base,20,80,right,62.12690859250255,False
c1,left,20,1.0,0,left,40,40,20,right,80,40,base,3.2359135550905616,False
c2,left,0,0.4,80,right,100,80,100,left,60,0,base,2.9274720137859154,False
c1,left,20,0.4,0,left,60,20,60,right,0,20,base,2.9337816307113656,False
c4,base,0,0.8,80,right,100,100,100,base,80,40,left,2.5074131100442587,False
c2,left,40,0.4,100,base_left_lane,20,100,100,left,80,100,right,3.4256517508587683,False
c1,right,60,0.1,80,base,20,0,0,right,40,40,left,5.762306904586719,False
c4,base,40,0.2,60,left,60,20,0,right,0,80,right,0.8407717238026031,False
c1,right,0,0.4,40,base_left_lane,60,20,100,left,80,60,left,1.0641184517577718,False
c2,left,80,0.2,40,base_left_lane,80,100,80,left,80,60,right,3.534971581448471,False
c4,right,20,1.0,40,right,60,40,40,base,80,100,left,0.0,True
c2,base,40,0.6,100,base_left_lane,0,0,20,left,80,80,right,4.2726797784634725,False
c4,base,60,0.8,0,right,60,60,20,base,60,0,left,1.8898194796178203,False
c1,left,80,0.2,60,left,80,0,40,right,40,60,base,2.625238623889689,False
c1,left,20,0.6,20,left,40,60,0,right,20,80,base,3.6133473721361367,False
c4,base,0,0.2,40,right,80,0,0,base,40,60,left,0.0,True
c2,left,60,0.8,60,right,60,80,0,left,60,80,base,6.217740382740876,False
c1,left,40,1.0,0,left,100,40,60,right,80,20,base,3.0189311880582714,False
c4,base,60,0.2,40,right,80,60,20,base,60,0,left,3.335501331052071,False
c2,left,60,0.4,80,base_left_lane,100,20,60,left,80,100,right,3.7466061005280227,False
c2,left,80,0.8,60,base_left_lane,0,60,40,left,80,100,right,3.4326384007632056,False
c1,right,100,0.6,20,base_left_lane,0,0,20,left,100,20,left,0.7803754715026184,False
c2,left,0,0.4,40,right,40,20,100,left,0,60,base,2.971539144084405,False
c4,base,100,0.6,40,right,20,100,20,base,80,20,left,2.7575219439184235,False
c2,left,20,0.2,100,base_left_lane,80,40,20,left,60,100,right,5.9840247183837105,False
c4,base,20,1.0,60,left,40,40,0,base,60,20,right,22.83316053354439,False
c1,left,0,0.1,80,left,40,20,0,right,60,0,base,2.938762220861412,False
c4,base,0,1.0,100,right,60,100,100,base,20,60,left,0.0,True
c2,left,0,1.0,20,base_left_lane,20,0,80,left,40,60,right,2.8756888636310407,False
c4,base,0,0.6,20,right,20,40,0,base,60,80,left,2.8281323116724186,False
c1,right,20,0.8,80,base,20,60,60,right,40,40,left,6.601704485512752,False
c4,base,20,0.2,80,left,0,40,0,right,60,100,right,1.2093944405123658,False
c2,left,100,1.0,20,base_left_lane,40,20,60,left,60,0,right,3.3868057877569524,False
c4,right,80,0.1,40,right,20,60,40,base,0,0,left,0.0,True
c1,left,80,0.1,100,left,0,20,20,right,20,0,base,3.5237886925749415,False
c1,right,0,0.8,40,left,60,100,100,right,0,60,base,3.13293008387059,False
c2,left,100,0.1,0,base_left_lane,20,80,20,left,100,100,right,2.5396810575619706,False
c1,left,80,0.1,80,left,80,60,40,right,20,40,base,2.805333014231057,False
c2,base,20,1.0,60,base_left_lane,60,0,80,left,80,40,right,2.4908755914371565,False
c1,right,100,0.8,0,left,0,0,60,right,20,0,base,3.318419062237964,False
c2,left,60,0.4,0,right,60,80,100,left,40,80,base,2.9583226746275018,False
c1,right,80,0.2,40,left,60,60,20,right,100,40,base,2.635398277969381,False
c2,base,100,0.6,80,base_left_lane,40,20,100,left,0,0,right,3.6562977300184,False
c1,right,40,0.8,60,left,40,0,60,right,100,80,base,2.7106200585646785,False
c4,base,80,0.1,40,right,80,0,20,base,40,40,left,2.4010218569455946,False
c4,base,20,0.2,20,right,0,80,20,base,60,100,left,0.0,True
c4,base,40,0.1,100,right,0,40,60,base,60,40,left,4.541240848190059,False
c1,right,40,1.0,40,base,0,60,80,right,80,20,left,5.639156204739415,False
c1,left,0,1.0,0,left,40,20,60,right,40,60,base,2.461048732722438,False
c1,right,40,0.2,100,left,100,80,0,right,80,40,base,3.207601842559033,False
c1,left,80,0.8,20,left,0,60,0,right,40,80,base,2.5734652269718916,False
c4,base,60,0.6,20,right,20,20,20,base,20,40,left,0.0,True
c1,right,60,1.0,40,left,80,60,80,right,20,100,base,2.755451217926371,False
c4,base,60,0.6,40,left,20,100,60,right,20,20,right,1.145499405383599,False
c2,left,60,0.2,80,base_left_lane,40,100,100,left,80,100,right,3.9142857395466413,False
c1,left,100,0.1,0,left,80,80,20,right,60,20,base,2.5577346604288858,False
c1,right,20,0.1,80,left,80,0,100,right,80,0,base,0.0,True
c4,base,20,1.0,100,right,100,20,40,base,100,60,left,3.4416357297077496,False
c4,base,40,0.2,100,left,100,20,0,right,20,40,right,1.1788626019787427,False
c4,right,100,0.1,60,right,20,20,60,base,0,40,left,4.857617879908923,False
c1,left,100,1.0,20,left,80,0,40,right,40,40,base,2.659827621390237,False
c1,right,100,0.4,0,base_left_lane,0,20,40,left,80,100,left,0.7590285402683989,False
c1,left,60,0.8,40,left,60,80,20,right,20,0,base,2.740542906524034,False
c4,base,40,0.8,100,right,60,100,80,base,20,80,left,1.8459745703422021,False
c1,right,60,0.4,60,left,100,0,60,right,60,100,base,2.974048997043209,False
c4,right,0,0.2,60,right,0,20,80,base,0,60,left,0.0,True
c1,right,80,1.0,20,left,80,20,100,right,60,80,base,2.662720036871712,False
c4,base,100,0.1,60,left,100,20,100,right,0,100,right,0.0,True
c2,left,100,0.2,40,base_left_lane,80,40,20,left,40,60,right,5.368844234901104,False
c1,right,40,0.6,60,base,80,80,100,right,20,60,left,5.099659304663036,False
c1,right,0,0.8,20,left,60,60,80,right,100,40,base,2.3143272733771565,False
c4,right,20,0.2,40,right,80,80,80,base,20,100,left,4.860620426528956,False
c1,right,80,0.4,0,left,60,80,100,right,40,100,base,2.253010302979052,False
c4,right,60,0.1,80,right,20,0,20,base,80,60,left,4.587014160635918,False
c1,right,20,1.0,0,base_left_lane,20,20,80,left,100,80,left,1.0039685607661737,False
c2,left,40,0.2,0,base_left_lane,80,60,100,left,20,20,right,3.3134067531381435,False
c1,left,0,1.0,20,left,20,80,80,right,40,20,base,3.3794071046656193,False
c2,base,40,0.6,0,base_left_lane,100,20,20,left,40,60,right,4.794003845909943,False
c1,right,0,0.1,40,left,20,20,60,right,80,60,base,2.6112555680026537,False
c4,base,0,0.2,40,right,20,20,20,base,20,80,left,0.0,True
c2,left,60,0.4,0,base_left_lane,40,0,100,left,20,40,right,4.3873226082668095,False
c2,left,0,0.6,40,base_left_lane,0,40,20,left,60,40,right,4.789171655076267,False
c1,left,100,0.8,100,left,20,80,20,right,80,20,base,3.7643494680653964,False
c4,base,100,0.4,20,left,100,100,100,right,80,100,right,0.0,True
c4,base,0,1.0,20,right,60,0,60,base,40,40,left,2.092468365573119,False
c4,right,20,0.6,80,right,80,60,60,base,40,40,left,4.695662420315138,False
c4,base,0,0.1,20,right,0,0,0,base,20,0,left,0.0,True
c2,left,40,0.6,40,right,60,60,100,left,20,40,base,3.9452627774221316,False
c4,right,20,0.4,0,right,60,20,0,base,60,60,left,0.0,True
c4,base,80,0.1,20,right,0,80,40,base,40,100,left,0.0,True
c1,right,20,1.0,100,left,60,20,60,right,80,40,base,3.67122864768046,False
c4,right,0,0.2,20,right,80,100,20,base,100,20,left,3.09668460328756,False
