Instances,PathInteraction,feature_StartEgo,feature_GoalEgo,feature_StartOther,feature_GoalOther,feature_Cloudiness,feature_Precipitation,feature_PrecipitationDeposits,feature_WindIntensity,feature_TimeOfDay,feature_FogDensity,feature_FogDistance,feature_Wetness,feature_RoadFriction,Collision,MinTTC,algo_safety
scenario221,c1,base,left,left,right,80,80,0,0,-60,0,40,0,0.2,False,4.795,0
scenario222,c4,left,base,right,base,60,60,0,0,-90,100,0,20,0.2,False,1.233,0
scenario223,c4,right,base,left,base,60,40,0,80,-90,80,20,0,0.6,False,2.479,0
scenario224,c2,base,left,right,left,80,100,0,0,90,40,40,0,0.4,False,3.106,0
scenario225,c2,right,left,base,left,0,60,0,0,-90,80,80,0,0.4,False,3.421,0
scenario226,c1,base,right,left,right,40,80,20,0,-90,80,80,20,0.4,False,3.781,0
scenario227,c1,base,right,left,right,60,60,0,0,-90,40,0,20,0.6,False,3.735,0
scenario228,c1,base,right,left,right,40,60,0,0,-60,60,20,0,0.4,False,2.363,0
scenario229,c1,left,right,base,right,60,80,40,0,-90,60,60,0,0.4,False,33.29,0
scenario230,c4,left,base,right,base,60,60,0,0,-90,100,0,20,0.2,False,2.178,0
scenario231,c2,right,base,base,left,60,60,0,20,-90,100,0,60,0.2,False,1.19,0
scenario232,c1,left,right,base,right,100,80,20,0,-60,0,0,0,0.2,False,18.904,0
scenario233,c2,base,left,right,left,0,40,0,0,-60,60,80,0,0.4,False,2.413,0
scenario234,c2,base,left,right,base,60,40,0,0,-90,40,40,40,0.4,False,1.678,0
scenario235,c1,left,right,base,left,40,60,0,0,-30,100,40,20,0.2,False,4.262,0
scenario236,c1,base,right,left,right,60,60,20,20,-90,40,0,40,0.4,False,3.498,0
scenario237,c2,base,left,right,base,40,80,20,0,-90,80,40,20,0.4,False,1.761,0
scenario238,c4,left,right,right,base,0,40,0,20,-90,60,60,20,0.1,False,5.838,0
scenario239,c4,right,base,left,right,60,60,0,0,-60,40,0,0,0.6,False,0.767,0
scenario240,c1,base,right,left,right,40,40,0,0,-60,80,20,20,0.2,False,2.874,0
scenario241,c2,base,left,right,base,40,60,0,0,-60,60,40,80,0.2,False,1.654,0
scenario242,c4,right,base,left,right,60,60,0,0,-60,40,0,0,0.6,False,1.258,0
scenario243,c4,left,right,right,base,40,40,20,80,-60,20,0,0,0.4,False,4.371,0
scenario244,c1,base,right,left,right,80,40,0,0,-60,20,40,40,0.4,False,2.234,0
scenario245,c1,left,right,base,right,80,60,0,0,-60,20,100,0,1.0,False,23.391,0
scenario246,c2,right,base,base,left,60,20,0,20,30,20,40,60,0.4,False,4.996,0
scenario247,c2,base,left,right,left,60,60,20,0,-90,100,0,60,0.2,False,5.126,0
scenario248,c2,base,left,right,base,60,80,0,0,-90,100,60,40,0.4,False,1.704,0
scenario249,c2,right,base,base,left,40,40,20,100,-90,100,20,40,0.2,True,0.0,1
scenario250,c4,left,right,right,base,60,60,0,80,-90,60,60,0,0.1,False,3.783,0
scenario251,c1,left,right,base,left,20,80,20,0,-30,100,40,80,0.1,False,2.532,0
scenario252,c2,base,left,right,base,0,60,20,0,-30,40,100,0,0.4,False,22.634,0
scenario253,c2,right,left,base,left,80,20,0,20,-30,20,40,0,0.2,False,7.362,0
scenario254,c2,right,base,base,left,40,40,20,100,-90,100,20,40,0.2,False,2.85,0
scenario255,c2,right,base,base,left,60,40,0,0,-90,80,20,60,0.2,False,3.02,0
scenario256,c4,left,right,right,base,100,40,0,0,-30,40,60,60,0.1,False,4.45,0
scenario257,c1,left,right,base,left,60,80,0,80,30,60,40,0,0.6,False,3.246,0
scenario258,c2,right,base,base,left,60,0,0,20,0,40,40,0,0.1,False,3.227,0
scenario259,c1,base,left,left,right,80,80,0,0,-30,20,60,0,1.0,False,4.059,0
scenario260,c4,right,base,left,base,80,40,40,0,60,100,0,100,0.8,False,4055.774,0
scenario261,c2,base,left,right,left,80,80,0,20,-90,100,80,20,0.4,False,3.579,0
scenario262,c1,base,right,left,right,20,40,20,20,-90,20,100,0,1.0,False,2.51,0
scenario263,c1,left,right,base,left,20,80,0,0,-60,100,80,60,0.6,False,3.738,0
scenario264,c4,right,base,left,right,60,80,0,0,-90,40,20,0,0.4,True,0.0,1
scenario265,c4,left,right,right,base,80,100,60,20,-30,20,20,60,0.4,False,4.052,0
scenario266,c4,right,base,left,right,60,80,0,0,-90,40,20,0,0.4,True,0.0,1
scenario267,c2,base,left,right,base,20,40,20,100,-60,100,60,60,0.2,False,1.906,0
scenario268,c4,right,base,left,right,100,40,20,20,-30,20,60,40,0.1,False,5889.387,0
