Instances,PathInteraction,feature_GoalEgo,feature_WindIntensity,feature_RoadFriction,feature_FogDistance,feature_StartOther,feature_PrecipitationDeposits,feature_Cloudiness,feature_FogDensity,feature_GoalOther,feature_Precipitation,feature_Wetness,feature_TimeOfDay,feature_StartEgo,collision,min_ttc,algo_safety
scenario240,c4,base,60,0.8,40,left,80,20,80,right,20,60,30,right,1,0.0,1
scenario241,c2,left,40,0.2,20,right,80,80,60,left,60,20,60,base,0,2.007891157745106,0
scenario242,c4,right,60,0.8,100,right,80,20,80,base,80,80,90,left,0,3.923212236841846,0
scenario243,c2,base,80,0.6,20,base_left_lane,20,40,40,left,20,80,30,right,0,2.685064647630667,0
scenario244,c2,left,80,1.0,0,base_left_lane,40,20,40,left,0,40,-30,right,0,1.8309230309487543,0
scenario245,c4,base,60,0.8,40,right,0,100,0,base,100,0,-90,left,0,2.214248239976471,0
scenario246,c1,right,60,0.6,40,left,80,0,60,right,0,100,-90,base,0,2.214534103322621,0
scenario247,c4,base,80,0.2,0,left,20,100,40,base,40,20,-90,right,0,2.7601032518964668,0
scenario248,c2,left,40,0.8,0,right,20,60,0,left,40,80,60,base,0,3.743642441682853,0
scenario249,c2,left,100,0.2,40,right,80,80,100,left,80,80,30,base,0,3.124946908720165,0
scenario250,c4,base,60,1.0,40,left,40,0,40,right,80,0,60,right,1,0.0,1
scenario251,c4,base,40,0.2,80,left,40,20,60,right,80,60,-30,right,1,0.0,1
scenario252,c1,right,80,0.8,20,left,20,40,80,right,0,60,90,base,0,2.043081297715082,0
scenario253,c4,base,100,0.6,60,left,60,40,60,right,20,60,60,right,0,1.0279690643035124,0
scenario254,c2,left,20,1.0,60,right,100,60,20,base,40,100,90,base,1,0.0,1
scenario255,c1,left,100,0.8,40,left,0,60,100,right,0,0,90,base,0,2.8003599872215315,0
scenario256,c2,base,100,0.4,100,base_left_lane,100,80,0,left,0,80,-60,right,0,3.1241790099236537,0
scenario257,c1,right,100,1.0,0,left,80,60,20,right,40,100,-30,base,0,2.8619298880654687,0
scenario258,c2,base,100,0.2,20,base_left_lane,0,80,80,left,20,20,-30,right,0,2.271170570049118,0
scenario259,c1,left,0,1.0,60,left,40,20,80,right,0,60,30,base,0,3.207936952769441,0
scenario260,c2,base,20,0.4,60,base_left_lane,80,0,100,left,20,0,60,right,0,3.469110426359163,0
scenario261,c4,right,20,0.4,0,right,20,40,40,base,60,40,30,left,0,4.362328250854857,0
scenario262,c1,right,40,0.2,60,base,80,100,20,right,100,60,90,left,0,3.093676903412069,0
scenario263,c4,base,40,0.2,60,left,100,40,80,base,40,80,-90,right,0,2.8085509507533803,0
scenario264,c4,right,40,0.4,80,right,20,100,0,base,20,60,30,left,0,4.411164633002046,0
scenario265,c2,left,80,0.6,20,base_left_lane,60,0,20,left,20,0,60,right,0,5.552299404221516,0
scenario266,c1,right,0,0.8,80,base,60,0,0,right,80,20,-90,left,0,3.871336062315564,0
