instances,pathinteraction,feature_goalego,feature_windintensity,feature_roadfriction,feature_fogdistance,feature_startother,feature_precipitationdeposits,feature_cloudiness,feature_fogdensity,feature_goalother,feature_precipitation,feature_wetness,feature_startego,collision,min_ttc,algo_safety
scenario248,c2,1,40,0.4,100,1,20,100,100,1,80,100,2,0,2.672283442890971,0
scenario249,c1,2,60,0.1,80,0,20,0,0,2,40,40,1,0,2411.380119805809,0
scenario250,c4,0,40,0.2,60,2,60,20,0,2,0,80,2,0,0.981817796109124,0
scenario251,c1,2,0,0.4,40,1,60,20,100,1,80,60,1,1,0.0,1
scenario252,c2,1,80,0.2,40,1,80,100,80,1,80,60,2,0,3.301865765189856,0
scenario253,c4,2,20,1.0,40,3,60,40,40,0,80,100,1,1,0.0,1
scenario254,c2,0,40,0.6,100,1,0,0,20,1,80,80,2,0,2.8399846549655066,0
scenario255,c4,0,60,0.8,0,3,60,60,20,0,60,0,1,1,0.0,1
scenario256,c1,1,80,0.2,60,2,80,0,40,2,40,60,0,0,5.3418208634939885,0
scenario257,c1,1,20,0.6,20,2,40,60,0,2,20,80,0,0,9999.0,0
scenario258,c4,0,0,0.2,40,3,80,0,0,0,40,60,1,0,9999.0,0
scenario259,c2,1,60,0.8,60,3,60,80,0,1,60,80,0,0,4.64255870801507,0
scenario260,c1,1,40,1.0,0,2,100,40,60,2,80,20,0,0,4.433069546487663,0
scenario261,c4,0,60,0.2,40,3,80,60,20,0,60,0,1,1,0.0,1
scenario262,c2,1,60,0.4,80,1,100,20,60,1,80,100,2,0,3.0581237558728382,0
scenario263,c2,1,80,0.8,60,1,0,60,40,1,80,100,2,0,3.157335637368937,0
scenario264,c1,2,100,0.6,20,1,0,0,20,1,100,20,1,1,0.0,1
scenario265,c2,1,0,0.4,40,3,40,20,100,1,0,60,0,0,3.730730407846685,0
scenario266,c4,0,100,0.6,40,3,20,100,20,0,80,20,1,1,0.0,1
scenario267,c2,1,20,0.2,100,1,80,40,20,1,60,100,2,0,3.2690109052666507,0
scenario268,c4,0,20,1.0,60,2,40,40,0,0,60,20,2,0,2.729042370979119,0
scenario269,c1,1,0,0.1,80,2,40,20,0,2,60,0,0,0,9999.0,0
scenario270,c4,0,0,1.0,100,3,60,100,100,0,20,60,1,1,0.0,1
scenario271,c2,1,0,1.0,20,1,20,0,80,1,40,60,2,0,2.8568829671699976,0
scenario272,c4,0,0,0.6,20,3,20,40,0,0,60,80,1,0,9999.0,0
