Instances,PathInteraction,feature_GoalEgo,feature_WindIntensity,feature_RoadFriction,feature_FogDistance,feature_StartOther,feature_PrecipitationDeposits,feature_Cloudiness,feature_FogDensity,feature_GoalOther,feature_Precipitation,feature_Wetness,feature_StartEgo,collision,min_ttc,algo_safety
scenario249,c4,base,80,0.6,40,right,60,0,20,base,40,40,left,1,0.0,1
scenario250,c4,base,60,1.0,60,left,80,100,0,right,0,40,right,1,0.0,1
scenario251,c1,left,80,0.8,20,left,0,80,100,right,60,40,base,0,2.634745365267288,0
scenario252,c4,right,100,0.6,20,right,80,20,100,base,0,60,left,1,0.0,1
scenario253,c1,right,100,0.8,20,base,20,60,40,right,0,20,left,0,3.9766572287480817,0
scenario254,c4,base,40,0.4,60,left,100,0,0,base,20,60,right,0,2.169763133737548,0
scenario255,c4,base,40,0.2,80,left,0,20,40,base,60,20,right,0,2.80157243166221,0
scenario256,c1,right,100,0.6,60,base_left_lane,80,40,80,left,40,60,left,0,2.414702340388173,0
scenario257,c2,left,60,0.2,20,right,60,60,60,base,80,20,base,0,2.413691105797095,0
scenario258,c1,left,40,0.4,80,left,20,40,40,right,100,60,base,0,4.41590145286393,0
scenario259,c1,right,0,0.1,20,left,80,40,0,right,0,20,base,0,9999.0,0
scenario260,c2,left,100,0.2,60,right,0,0,60,left,80,40,base,0,3.573306263916608,0
scenario261,c1,right,0,1.0,0,left,100,0,20,right,80,40,base,0,4.527269879155245,0
scenario262,c1,left,20,0.1,100,left,40,40,40,right,40,0,base,0,9999.0,0
scenario263,c4,base,20,1.0,40,left,80,60,100,base,40,80,right,0,2.531924082682707,0
scenario264,c4,base,100,1.0,60,left,60,100,60,right,40,100,right,1,0.0,1
scenario265,c2,left,40,0.8,40,right,40,60,0,base,20,20,base,0,4.083344094391104,0
scenario266,c4,right,60,1.0,40,right,40,20,100,base,20,40,left,1,0.0,1
scenario267,c4,base,60,0.6,60,left,0,20,20,right,0,0,right,1,0.0,1
scenario268,c4,right,80,0.1,0,right,40,40,40,base,80,60,left,0,2.4994631993312413,0
scenario269,c2,base,80,0.2,100,base_left_lane,40,20,80,left,100,100,right,0,3.315312778627552,0
scenario270,c2,base,100,0.6,100,base_left_lane,80,60,60,left,60,100,right,0,3.4118978377491604,0
scenario271,c2,left,0,0.4,80,right,100,100,20,base,20,100,base,0,4.439982881774236,0
scenario272,c4,base,0,0.1,80,left,60,80,60,base,100,60,right,0,3.1052964527765563,0
scenario273,c1,right,20,0.6,100,base,80,80,80,right,40,60,left,0,2.442186080138483,0
scenario274,c4,base,80,0.4,80,left,40,80,80,right,100,100,right,1,0.0,1
scenario275,c2,left,80,1.0,0,right,0,0,80,base,100,20,base,0,3.009396710996068,0
scenario276,c4,base,20,0.1,40,right,40,100,20,base,20,40,left,1,0.0,1
scenario277,c1,right,40,0.8,0,left,0,80,0,right,80,80,base,0,4.578466675784213,0
scenario278,c1,right,60,0.2,60,base_left_lane,100,0,80,left,60,60,left,0,2.3653546154765293,0
scenario279,c4,base,80,0.1,0,right,0,40,80,base,80,20,left,1,0.0,1
scenario280,c1,right,40,0.1,0,base,40,20,40,right,20,100,left,0,2.9738129325423936,0
scenario281,c1,left,20,1.0,60,left,100,40,100,right,60,100,base,0,4.955917348652335,0
scenario282,c4,base,100,0.8,60,left,80,100,100,base,100,80,right,0,2.890557188071501,0
scenario283,c4,base,40,0.6,20,left,100,80,80,right,20,60,right,0,0.855341816237532,0
scenario284,c1,right,0,0.8,20,left,100,60,40,right,40,20,base,0,4.427301547921267,0
scenario285,c2,left,0,0.4,20,right,20,0,0,base,0,0,base,0,4.072590383221009,0
scenario286,c2,base,40,0.4,80,base_left_lane,40,0,40,left,20,100,right,0,3.1164341067968824,0
scenario287,c1,right,0,0.6,40,base_left_lane,40,100,80,left,60,20,left,1,0.0,1
scenario288,c2,left,20,1.0,80,right,0,20,100,left,40,0,base,0,3.656032910520615,0
scenario289,c4,base,100,0.2,20,right,0,100,60,base,40,100,left,1,0.0,1
