Instances,feature_Cloudiness,feature_WindIntensity,feature_Precipitation,feature_PrecipitationDeposits,feature_Wetness,feature_RoadFriction,feature_FogDensity,feature_FogDistance,Visibility,RoadSurface,VehicleStability,PathInteraction,probability,feature_StartEgo,feature_GoalEgo,feature_StartOther,feature_GoalOther,collision,min_ttc,algo_safety
scenario183,0,60,0,60,0,0.6,20,80,20,80,0,c4,1e-05,right,base,left,right,0,9999.0,0
scenario184,60,20,0,0,60,0.1,0,100,20,80,20,c1,1e-05,left,right,base,left,0,5888.849109671675,0
scenario185,80,60,20,40,40,0.8,20,80,20,80,20,c2,1e-05,right,left,base,left,1,0.0,1
scenario186,0,100,0,0,0,0.8,40,60,20,80,20,c4,1e-05,right,base,left,base,0,1.8448494207831112,0
scenario187,60,80,100,0,80,0.4,100,0,20,80,40,c1,1e-05,base,right,left,right,0,2.611672757143917,0
scenario188,20,60,40,100,40,0.4,100,0,20,80,40,c2,1e-05,right,base,base,left,0,3.684161486581612,0
scenario189,60,100,20,100,100,0.4,20,80,20,80,40,c4,1e-05,left,base,right,base,0,1.2722343494615334,0
scenario190,60,100,40,20,40,0.8,20,80,20,80,60,c1,1e-05,left,right,base,right,0,3.4704986112335443,0
scenario191,40,20,40,60,100,0.6,40,60,20,80,60,c2,1e-05,base,left,right,base,0,4.330500007782286,0
scenario192,20,20,0,0,60,0.6,40,60,20,80,60,c4,1e-05,left,right,right,base,1,0.0,1
scenario193,0,20,0,0,100,0.6,0,100,20,80,80,c1,1e-05,base,left,left,right,1,0.0,1
scenario194,80,60,60,0,20,0.8,40,60,20,80,80,c2,1e-05,base,left,right,left,0,2.793314572878625,0
scenario195,80,20,0,0,100,0.4,0,100,20,80,80,c4,1e-05,right,base,left,right,1,0.0,1
scenario196,20,40,0,60,100,0.6,40,60,20,80,100,c1,1e-05,left,right,base,left,0,4.134222318660036,0
scenario197,20,60,0,0,60,0.2,0,100,20,80,100,c2,1e-05,right,left,base,left,0,3.507388349305581,0
scenario198,40,100,0,100,40,0.4,0,100,20,80,100,c4,1e-05,right,base,left,base,0,4.634110525716634,0
scenario199,40,80,0,80,0,0.6,80,20,20,100,0,c1,1e-05,base,right,left,right,0,4.7411388025403305,0
scenario200,80,80,40,100,40,0.6,20,80,20,100,0,c2,1e-05,right,base,base,left,0,9999.0,0
scenario201,60,60,20,0,100,0.2,60,40,20,100,0,c4,1e-05,left,base,right,base,1,0.0,1
scenario202,60,40,20,80,20,0.6,60,40,20,100,20,c1,1e-05,left,right,base,right,0,2.9604826066382506,0
scenario203,20,40,80,0,0,0.8,40,60,20,100,20,c2,1e-05,base,left,right,base,0,2.355881873686646,0
scenario204,20,20,40,100,80,0.6,100,0,20,100,20,c4,1e-05,left,right,right,base,1,0.0,1
scenario205,80,60,60,0,80,0.4,100,0,20,100,40,c1,1e-05,base,left,left,right,0,2.6832715279236887,0
scenario206,40,40,0,40,40,0.1,0,100,20,100,40,c2,1e-05,base,left,right,left,0,5.349360342073412,0
scenario207,40,60,40,0,0,0.8,40,60,20,100,40,c4,1e-05,right,base,left,right,1,0.0,1
scenario208,20,80,0,0,60,0.1,80,20,20,100,60,c1,1e-05,left,right,base,left,1,0.0,1
scenario209,60,60,100,100,40,0.6,40,60,20,100,60,c2,1e-05,right,left,base,left,0,9999.0,0
scenario210,40,40,0,20,60,0.4,80,20,20,100,60,c4,1e-05,right,base,left,base,0,3.161962184077865,0
scenario211,60,60,20,60,60,0.6,0,100,20,100,80,c1,1e-05,base,right,left,right,0,9999.0,0
scenario212,20,100,20,0,0,0.2,0,100,20,100,80,c2,1e-05,right,base,base,left,0,9999.0,0
scenario213,60,100,80,20,40,0.8,40,60,20,100,80,c4,1e-05,left,base,right,base,1,0.0,1
scenario214,40,80,0,40,60,0.8,80,20,20,100,100,c1,1e-05,left,right,base,right,0,2.673308452592868,0
scenario215,20,60,0,40,0,0.2,0,100,20,100,100,c2,1e-05,base,left,right,base,0,4.388301677899364,0
scenario216,40,20,40,0,100,0.1,40,60,20,100,100,c4,1e-05,left,right,right,base,1,0.0,1
scenario217,20,20,0,0,80,0.4,0,60,40,0,0,c1,1e-05,base,left,left,right,0,9999.0,0
scenario218,20,60,40,100,0,0.6,20,80,40,0,0,c2,1e-05,base,left,right,left,0,9.593430868841056,0
scenario219,0,60,0,100,0,0.6,0,100,40,0,0,c4,1e-05,right,base,left,right,1,0.0,1
scenario220,60,100,0,100,100,0.6,80,20,40,0,20,c1,1e-05,left,right,base,left,0,2.690384010113698,0
scenario221,40,20,20,60,40,0.6,20,20,40,0,20,c2,1e-05,right,left,base,left,0,3713.967225045926,0
scenario222,20,60,40,20,60,0.4,100,60,40,0,20,c4,1e-05,right,base,left,base,0,2.385834507318988,0
scenario223,20,40,20,60,40,0.6,60,40,40,0,40,c1,1e-05,base,right,left,right,0,2.65345131763069,0
scenario224,20,100,20,0,80,0.4,60,40,40,0,40,c2,1e-05,right,base,base,left,0,2.403033682430828,0
scenario225,40,20,0,0,0,0.1,40,60,40,0,40,c4,1e-05,left,base,right,base,1,0.0,1
scenario226,60,100,0,40,100,0.4,0,100,40,0,60,c1,1e-05,left,right,base,right,0,917.0354400948612,0
scenario227,60,80,20,40,40,0.8,60,40,40,0,60,c2,1e-05,base,left,right,base,0,2.1526044886453684,0
scenario228,20,20,40,80,60,0.6,100,40,40,0,60,c4,1e-05,left,right,right,base,1,0.0,1
scenario229,20,40,0,100,60,0.2,20,80,40,0,80,c1,1e-05,base,left,left,right,1,0.0,1
scenario230,20,100,20,60,40,0.6,20,0,40,0,80,c2,1e-05,base,left,right,left,1,0.0,1
scenario231,60,100,20,60,60,0.6,20,80,40,0,80,c4,1e-05,right,base,left,right,0,0.7726786982513442,0
scenario232,60,100,20,20,80,0.2,100,0,40,0,100,c1,1e-05,left,right,base,left,0,2.277618257898673,0
scenario233,60,100,20,40,0,0.6,0,100,40,0,100,c2,1e-05,right,left,base,left,0,9999.0,0
scenario234,40,40,40,60,0,0.6,20,80,40,0,100,c4,1e-05,right,base,left,base,1,0.0,1
scenario235,0,20,0,0,0,0.8,40,60,40,20,0,c1,1e-05,base,right,left,right,1,0.0,1
scenario236,20,60,60,100,40,0.4,0,100,40,20,0,c2,1e-05,right,base,base,left,1,0.0,1
