Instances,feature_Direction,feature_Cloudiness,feature_Precipitation,feature_PrecipitationDeposits,feature_WindIntensity,feature_TimeofDay,feature_FogDensity,feature_FogDistance,feature_Wetness,feature_RoadFriction,collision,min_ttc,algo_safety
scenario205,left,60,100,20,80,30,40,40,20,0.4,0,1.3959928800504626,0
scenario206,left,0,60,20,80,30,40,0,20,1.0,0,1.0698324157924142,0
scenario207,left,0,100,20,80,30,40,40,20,0.6,0,1.0617666536925898,0
scenario208,left,100,100,20,80,0,40,0,20,0.4,0,1.2986676611559504,0
scenario209,left,0,100,60,80,30,40,0,20,0.2,0,1.0294878458281609,0
scenario210,left,0,80,20,60,30,40,0,20,0.4,0,1.320411523252579,0
scenario211,left,0,100,20,80,30,20,0,20,0.2,0,1.3375962799015275,0
scenario212,left,0,100,20,100,30,40,40,20,0.4,0,1.003417193512953,0
scenario213,left,0,0,20,80,30,40,0,20,0.1,0,1.4304216688444975,0
scenario214,left,0,100,20,0,30,40,0,20,0.1,0,1.3653514296738838,0
scenario215,left,0,100,40,80,30,40,0,20,0.1,0,0.6204113888757534,0
scenario216,left,0,100,20,80,60,40,0,20,0.1,0,1.3839116908711364,0
scenario217,left,0,100,20,80,90,40,0,20,0.1,0,1.3467087971309826,0
scenario218,left,100,100,20,80,-30,40,0,20,0.4,0,1.0977212687076596,0
scenario219,left,60,100,20,80,30,60,0,20,0.4,0,1.339222466137159,0
scenario220,left,0,100,20,80,30,20,0,60,0.4,0,1.4708351208891566,0
scenario221,left,0,40,20,80,30,40,0,20,0.2,0,1.3587544588379556,0
scenario222,left,0,100,20,80,30,60,0,20,0.6,0,1.3152881121030406,0
scenario223,left,0,60,100,80,30,40,0,20,0.4,0,1.0697442900861147,0
scenario224,left,0,100,20,100,30,60,0,20,0.4,0,1.3301388433216408,0
scenario225,left,0,100,60,80,30,40,80,20,0.4,0,0.96940280421853,0
scenario226,left,0,20,20,80,30,40,0,20,0.2,0,1.4138540529138837,0
scenario227,left,0,100,20,80,30,20,80,20,0.4,0,1.4442807626653065,0
scenario228,left,0,80,20,80,30,40,0,40,0.4,0,1.3290263242228006,0
scenario229,left,0,100,80,80,30,80,0,20,0.4,0,1.0829456459234688,0
scenario230,right,0,40,20,80,30,40,0,20,0.4,0,1.6389143279771217,0
scenario231,left,0,40,20,80,30,40,0,60,0.4,0,1.3855758388631372,0
scenario232,left,0,100,80,80,30,40,0,80,0.4,0,1.0267670577676933,0
scenario233,right,0,100,20,80,30,40,0,20,1.0,0,0.7927531884695477,0
scenario234,left,0,100,20,80,30,40,0,60,1.0,0,1.3594167402438144,0
scenario235,right,0,20,20,80,30,40,0,20,0.4,0,1.8533062678124776,0
scenario236,left,0,20,20,80,30,40,0,60,0.4,0,1.4895831268686377,0
scenario237,left,0,40,20,80,30,40,80,20,0.4,0,1.545370516199825,0
scenario238,left,0,100,60,80,30,20,0,20,0.4,0,1.538681291373086,0
scenario239,left,80,100,80,80,30,40,0,20,0.4,0,0.8852527217437793,0
scenario240,left,0,100,100,80,30,40,0,20,0.2,0,1.5687934510263384,0
scenario241,left,0,100,20,80,30,40,80,20,1.0,0,1.23551371219327,0
scenario242,left,100,100,20,80,30,80,0,20,0.4,0,1.3237808549593508,0
scenario243,left,60,60,20,80,30,40,0,20,0.4,0,1.316866634160155,0
scenario244,left,0,20,20,80,30,40,80,20,0.4,0,1.4272334392585844,0
scenario245,left,100,100,20,80,30,40,0,80,0.4,0,1.3361739245741593,0
scenario246,left,0,100,20,80,0,40,60,20,0.4,0,1.1156815041824413,0
scenario247,left,0,100,80,60,30,40,0,20,0.4,0,1.0664191558950966,0
scenario248,left,0,40,60,80,30,40,0,20,0.4,0,1.128226474884374,0
scenario249,left,0,40,20,80,30,20,0,20,0.4,0,1.4180240304604517,0
scenario250,left,0,0,20,80,30,40,20,20,0.4,0,1.3730134405696546,0
scenario251,left,0,100,20,0,30,40,20,20,0.4,0,1.3642756884355445,0
scenario252,left,0,100,20,80,30,40,20,20,0.0,0,1.3588405491841198,0
scenario253,left,0,100,40,80,30,40,20,20,0.4,0,0.922247007409312,0
scenario254,left,0,100,20,80,60,40,20,20,0.4,0,1.4860837014567865,0
scenario255,left,0,100,20,80,90,40,20,20,0.4,0,1.383222309103926,0
scenario256,left,0,60,20,80,30,40,0,20,0.6,0,1.3784780163154329,0
scenario257,right,0,100,100,80,30,40,0,20,0.4,0,1.54469254694777,0
scenario258,left,0,100,100,80,30,40,0,60,0.4,0,1.8305923606901788,0
scenario259,left,0,100,20,80,-30,40,60,20,0.4,0,1.4349704924915607,0
scenario260,left,0,100,60,80,30,40,0,20,1.0,0,0.996910532521024,0
scenario261,left,0,100,20,80,30,20,0,20,1.0,0,1.6653416515895354,0
scenario262,left,0,60,20,100,30,40,0,20,0.4,0,1.5122752137591002,0
scenario263,left,0,20,60,80,30,40,0,20,0.4,0,1.0318880083987756,0
scenario264,left,0,20,20,80,30,20,0,20,0.4,0,1.4333724317239127,0
scenario265,left,0,100,100,80,30,40,80,20,0.4,0,1.0540447765288992,0
scenario266,left,100,100,20,60,30,40,0,20,0.4,0,1.4129980392506507,0
scenario267,left,60,100,20,80,30,40,0,20,0.2,0,1.3446358888865195,0
scenario268,left,0,40,20,80,30,40,0,20,1.0,0,1.4576492878508505,0
scenario269,left,0,100,80,80,30,40,0,40,0.4,0,0.6293786788380954,0
scenario270,left,0,0,20,80,30,40,0,0,0.4,0,1.358527048222109,0
