Instances,feature_TimeofDay,feature_Direction,feature_RoadFriction,feature_FogDensity,feature_Precipitation,feature_PrecipitationDeposits,feature_Cloudiness,feature_WindIntensity,feature_Wetness,feature_FogDistance,collision,min_ttc,run_duration,algo_safety
scenario243,30,left,0.1,80,100,40,100,20,60,100,0,1.6963965909496144,74.22929978370667,0
scenario244,-90,right,0.8,0,40,80,20,100,20,20,0,0.7491846880004129,151.92726683616638,0
scenario245,-60,right,1.0,40,80,80,60,40,20,20,0,2.3669580367054364,160.8626902103424,0
scenario246,-60,right,0.6,100,0,100,40,0,20,80,0,0.733300124229509,152.42009902000427,0
scenario247,90,left,0.8,40,0,40,20,40,20,80,0,1.3575367597363184,75.8258888721466,0
scenario248,-30,left,0.4,100,40,100,80,40,80,0,0,1.2749690321133615,76.52343201637268,0
scenario249,30,left,0.2,0,100,80,100,60,0,20,0,1.0905010540577744,80.13284659385681,0
scenario250,-90,left,0.8,20,80,0,80,0,20,0,0,1.3648928038866472,77.02152109146118,0
scenario251,-60,right,0.2,100,20,80,80,40,0,20,0,0.9520023717387152,106.64572334289552,0
scenario252,-30,right,0.4,40,20,40,60,80,100,60,0,0.7858248273068991,92.47799253463744,0
scenario253,90,left,1.0,60,20,100,0,0,60,60,0,1.3654857257651902,75.126291513443,0
scenario254,90,right,0.8,20,0,0,100,100,80,40,0,1.457704777635225,146.4844524860382,0
scenario255,0,right,0.8,80,20,60,40,100,60,80,0,1.7286517452932888,99.9741153717041,0
scenario256,-90,right,0.1,60,0,80,40,100,0,100,0,1.8185015136234588,160.85270476341248,0
scenario257,30,right,1.0,20,60,100,0,80,80,100,0,0.675338630933041,82.39728665351868,0
scenario258,-60,right,0.6,100,100,60,60,100,40,20,0,0.8103206705646477,90.7389018535614,0
scenario259,90,right,1.0,20,40,40,40,100,100,80,0,1.602971163078332,149.88459610939026,0
scenario260,90,right,1.0,0,60,0,20,60,40,100,0,1.7312375929035069,160.14746069908142,0
scenario261,60,left,0.2,0,40,60,20,0,60,60,0,1.4019001825093746,75.76625776290894,0
scenario262,60,right,0.2,20,100,20,60,80,40,100,0,0.9049339366597918,106.19857430458067,0
scenario263,-60,left,0.8,60,20,60,80,100,100,40,0,1.426267829048903,76.88510274887085,0
scenario264,-30,left,0.6,100,40,60,100,100,0,60,0,1.517898471188066,76.0667941570282,0
scenario265,60,right,0.2,60,0,80,40,40,80,100,0,0.7526374130117933,148.47085738182068,0
scenario266,90,right,0.1,0,20,20,40,40,80,80,0,0.6773818103640049,85.46686267852783,0
scenario267,60,right,0.2,60,80,80,100,20,60,60,0,1.8574651486961844,155.90706181526184,0
scenario268,0,right,0.1,0,0,0,20,20,100,80,0,1.8002829581614928,160.30464100837708,0
scenario269,30,left,0.6,60,60,100,0,60,20,20,0,1.3009776631599452,76.123117685318,0
scenario270,90,right,0.8,40,0,20,40,80,100,60,0,1.804562469338412,148.54197669029236,0
scenario271,-90,left,0.1,20,20,80,60,80,60,80,0,0.9023692196069646,100.55820608139038,0
scenario272,30,right,0.2,60,80,0,0,0,20,40,0,2.1069052554010845,110.93557834625244,0
scenario273,-60,right,1.0,40,60,0,80,60,100,80,0,0.8542179110761107,94.14547300338744,0
scenario274,0,left,1.0,60,20,60,40,0,80,20,0,1.3373754935749884,77.00328969955444,0
scenario275,-90,left,0.2,80,0,60,20,40,40,40,0,1.4008128468100272,76.78156065940857,0
scenario276,-90,right,0.1,40,60,0,60,40,40,40,0,0.960740448041815,102.52225637435912,0
scenario277,-30,left,0.2,20,100,80,80,100,60,0,0,1.4336488173284183,77.11940455436707,0
scenario278,-60,left,0.6,80,60,80,40,40,40,20,0,1.4067783543797745,77.09317708015442,0
