Row,timeofday,cloudiness,windintensity,precipitation,precipitationdeposits,wetness,roadfriction,fogdensity,fogdistance,startego,goalego,startother,goalother
scenario32,0,0,0.407343419563202,0,0,0,0,0,0,-1.26632415443124,0.0900207170586095,1.17630343737262,-1.26632415443123
scenario33,0,0,-2.62773813689864,0,0,0,0,0,0,0.09002071705861,-1.26632415443124,1.17630343737262,-1.26632415443123
scenario34,0,0,-0.666322026619869,0,0,0,0,0,0,-1.26632415443124,0.0900207170586095,0.09002071705861,1.17630343737262
scenario35,0,0,-0.666322026619869,0,0,0,0,0,0,1.17630343737262,-1.26632415443124,-1.26632415443124,0.090020717058609
scenario36,0,0,1.25907502046698,0,0,0,0,0,0,1.17630343737262,-1.26632415443124,0.09002071705861,1.17630343737262
scenario37,0,0,1.25907502046698,0,0,0,0,0,0,-1.26632415443124,1.17630343737262,0.09002071705861,1.17630343737262
scenario38,0,0,-0.666322026619869,0,0,0,0,0,0,1.17630343737262,0.0900207170586095,-1.26632415443124,0.090020717058609
scenario39,0,0,-0.666322026619869,0,0,0,0,0,0,1.17630343737262,-1.26632415443124,0.09002071705861,-1.26632415443123
scenario40,0,0,-0.666322026619869,0,0,0,0,0,0,0.09002071705861,1.17630343737262,-1.26632415443124,1.17630343737262
scenario41,0,0,1.99146909868465,0,0,0,0,0,0,-1.26632415443124,0.0900207170586095,1.17630343737262,0.090020717058609
scenario42,0,0,0.407343419563202,0,0,0,0,0,0,0.09002071705861,1.17630343737262,1.17630343737262,-1.26632415443123
scenario43,0,0,1.25907502046698,0,0,0,0,0,0,0.09002071705861,1.17630343737262,-1.26632415443124,0.090020717058609
scenario44,0,0,-0.666322026619869,0,0,0,0,0,0,-1.26632415443124,0.0900207170586095,1.17630343737262,-1.26632415443123
scenario45,0,0,1.99146909868465,0,0,0,0,0,0,0.09002071705861,-1.26632415443124,1.17630343737262,-1.26632415443123
scenario46,0,0,0.407343419563202,0,0,0,0,0,0,-1.26632415443124,0.0900207170586095,0.09002071705861,1.17630343737262
scenario47,0,0,1.25907502046698,0,0,0,0,0,0,1.17630343737262,-1.26632415443124,-1.26632415443124,0.090020717058609
scenario48,0,0,1.25907502046698,0,0,0,0,0,0,1.17630343737262,-1.26632415443124,0.09002071705861,1.17630343737262
scenario49,0,0,1.25907502046698,0,0,0,0,0,0,-1.26632415443124,1.17630343737262,0.09002071705861,1.17630343737262
scenario50,0,0,0.407343419563202,0,0,0,0,0,0,1.17630343737262,0.0900207170586095,-1.26632415443124,0.090020717058609
scenario51,0,0,-2.62773813689864,0,0,0,0,0,0,1.17630343737262,-1.26632415443124,0.09002071705861,-1.26632415443123
scenario52,0,0,-0.666322026619869,0,0,0,0,0,0,0.09002071705861,1.17630343737262,-1.26632415443124,1.17630343737262
scenario53,0,0,-2.62773813689864,0,0,0,0,0,0,-1.26632415443124,0.0900207170586095,1.17630343737262,0.090020717058609
scenario54,0,0,-2.62773813689864,0,0,0,0,0,0,0.09002071705861,1.17630343737262,1.17630343737262,-1.26632415443123
scenario55,0,0,-0.666322026619869,0,0,0,0,0,0,0.09002071705861,1.17630343737262,-1.26632415443124,0.090020717058609
scenario56,0,0,1.25907502046698,0,0,0,0,0,0,-1.26632415443124,0.0900207170586095,1.17630343737262,-1.26632415443123
scenario57,0,0,-2.62773813689864,0,0,0,0,0,0,0.09002071705861,-1.26632415443124,1.17630343737262,-1.26632415443123
scenario58,0,0,-0.666322026619869,0,0,0,0,0,0,-1.26632415443124,0.0900207170586095,0.09002071705861,1.17630343737262
scenario59,0,0,-2.62773813689864,0,0,0,0,0,0,1.17630343737262,-1.26632415443124,-1.26632415443124,0.090020717058609
scenario60,0,0,0.407343419563202,0,0,0,0,0,0,1.17630343737262,-1.26632415443124,0.09002071705861,1.17630343737262
scenario61,0,0,1.99146909868465,0,0,0,0,0,0,-1.26632415443124,1.17630343737262,0.09002071705861,1.17630343737262
scenario62,0,0,-0.666322026619869,0,0,0,0,0,0,1.17630343737262,0.0900207170586095,-1.26632415443124,0.090020717058609
scenario63,0,0,0.407343419563202,0,0,0,0,0,0,1.17630343737262,-1.26632415443124,0.09002071705861,-1.26632415443123
scenario64,0,0,1.25907502046698,0,0,0,0,0,0,0.09002071705861,1.17630343737262,-1.26632415443124,1.17630343737262
scenario65,0,0,-0.666322026619869,0,0,0,0,0,0,-1.26632415443124,0.0900207170586095,1.17630343737262,0.090020717058609
scenario66,0,0,1.99146909868465,0,0,0,0,0,0,0.09002071705861,1.17630343737262,1.17630343737262,-1.26632415443123
scenario67,0,0,0.407343419563202,0,0,0,0,0,0,0.09002071705861,1.17630343737262,-1.26632415443124,0.090020717058609
scenario68,0,0,0.407343419563202,0,0,0,0,0,0,-1.26632415443124,0.0900207170586095,1.17630343737262,-1.26632415443123
scenario69,0,0,1.99146909868465,0,0,0,0,0,0,0.09002071705861,-1.26632415443124,1.17630343737262,-1.26632415443123
