instances,feature_timeofday,feature_cloudiness,feature_windintensity,feature_precipitation,feature_precipitationdeposits,feature_wetness,feature_roadfriction,feature_fogdensity,feature_fogdistance,feature_direction,visibility,roadsurface,vehiclestability,probability,collision,min_ttc,run_duration,algo_safety
scenario131,60,60,40,0,0,0,0.8,0,100,0,60,60,80,0.00152,0,0.9203235385573428,20.5663161277771,0
scenario132,-60,40,20,0,0,0,0.8,0,100,0,60,60,100,0.00151,0,1.0234956833391664,22.49592876434326,0
scenario133,-90,20,40,0,0,0,0.8,0,100,1,60,80,0,0.00805,0,0.8520770785196091,26.712045192718502,0
scenario134,0,40,60,0,0,0,0.8,0,100,1,60,80,20,0.00148,0,0.8641565741614871,26.98654341697693,0
scenario135,90,40,20,0,0,0,0.8,0,100,0,60,80,40,0.00158,0,1.1909505335995765,22.136393785476685,0
scenario136,90,40,20,0,0,0,0.8,0,100,1,60,80,60,0.00167,0,0.8043811349714848,26.10136342048645,0
scenario137,-60,60,40,0,0,0,0.8,0,100,1,60,80,80,0.00161,0,0.7801537204000139,26.842931509017944,0
scenario138,60,40,40,0,0,0,0.8,0,100,1,60,80,100,0.00161,0,0.9014819958581284,26.48636102676392,0
scenario139,-90,20,40,0,0,0,0.8,0,100,1,60,100,0,0.00806,0,0.923297232456124,27.19097399711609,0
scenario140,-90,20,40,0,0,0,0.8,0,100,0,60,100,20,0.00793,0,0.8899416009153547,25.40668487548828,0
scenario141,-90,20,40,0,0,0,0.8,0,100,1,60,100,40,0.00778,0,0.7251040239804835,26.75994348526001,0
scenario142,-90,20,40,0,0,0,0.8,0,100,0,60,100,60,0.00779,0,1.0252791678540285,22.1458432674408,0
scenario143,-90,20,80,0,0,0,0.8,0,100,0,60,100,80,0.00791,0,1.0370824154039264,22.317089557647705,0
scenario144,-90,20,80,0,0,0,0.8,0,100,0,60,100,100,0.00813,0,1.0068635286846488,22.38850688934326,0
scenario145,-90,20,80,0,0,0,0.8,0,100,1,80,0,0,0.008,0,0.9519542862741882,26.686830520629883,0
scenario146,-90,20,40,0,0,0,0.8,0,100,0,80,0,20,0.00789,0,1.0448368740475833,22.39048862457276,0
scenario147,-90,20,40,0,0,0,0.8,0,100,1,80,0,40,0.00811,0,0.9336753610555708,26.877042531967163,0
scenario148,-90,20,40,0,0,0,0.8,0,100,1,80,0,60,0.00783,0,0.822568378974518,26.466941356658936,0
scenario149,-90,20,40,0,0,0,0.8,0,100,1,80,0,80,0.0079,0,0.828131155673364,26.43726134300232,0
scenario150,-90,20,80,0,0,0,0.8,0,100,0,80,0,100,0.00813,0,1.0140015638196245,22.013511657714844,0
scenario151,-90,20,40,0,0,0,0.8,0,100,1,80,20,0,0.00833,0,0.8682752588680278,26.90516304969788,0
scenario152,-90,20,40,0,0,0,0.8,0,100,0,80,20,20,0.00775,0,1.0416234844008312,22.44470596313477,0
scenario153,-90,20,40,0,0,0,0.8,0,100,0,80,20,40,0.00782,0,1.00843202018662,22.41960096359253,0
scenario154,-90,20,80,0,0,0,0.8,0,100,1,80,20,60,0.00791,0,0.7719055658244117,26.572009325027462,0
scenario155,-90,20,60,0,0,0,0.8,0,100,0,80,20,80,0.00792,0,1.0519212026093294,22.126193284988403,0
scenario156,-30,40,60,0,0,0,0.8,0,100,1,80,20,100,0.00147,0,0.8982416863113052,26.823936462402344,0
scenario157,30,40,80,0,0,0,0.8,0,100,0,80,40,0,0.00148,0,1.178930674364027,21.85226082801819,0
