instances,feature_cloudiness,feature_windintensity,feature_precipitation,feature_precipitationdeposits,feature_wetness,feature_roadfriction,feature_fogdensity,feature_fogdistance,visibility,roadsurface,vehiclestability,pathinteraction,probability,feature_startego,feature_goalego,feature_startother,feature_goalother,collision,min_ttc,algo_safety
scenario202,60,40,20,80,20,0.6,60,40,20,100,20,c1,1e-05,1,2,0,2,0,5.591220670721331,0
scenario203,20,40,80,0,0,0.8,40,60,20,100,20,c2,1e-05,0,1,2,0,0,2.0559402298405924,0
scenario204,20,20,40,100,80,0.6,100,0,20,100,20,c4,1e-05,1,2,2,0,0,3.443393175067051,0
scenario205,80,60,60,0,80,0.4,100,0,20,100,40,c1,1e-05,0,1,1,2,0,2.3185316723781564,0
scenario206,40,40,0,40,40,0.1,0,100,20,100,40,c2,1e-05,0,1,2,1,0,3.320221776112613,0
scenario207,40,60,40,0,0,0.8,40,60,20,100,40,c4,1e-05,2,0,1,2,1,0.0,1
scenario208,20,80,0,0,60,0.1,80,20,20,100,60,c1,1e-05,1,2,0,1,0,4.862421038046695,0
scenario209,60,60,100,100,40,0.6,40,60,20,100,60,c2,1e-05,2,1,0,1,0,2.599379389084004,0
scenario210,40,40,0,20,60,0.4,80,20,20,100,60,c4,1e-05,2,0,1,0,0,3.66101348680489,0
scenario211,60,60,20,60,60,0.6,0,100,20,100,80,c1,1e-05,0,2,1,2,0,5.310946081913864,0
scenario212,20,100,20,0,0,0.2,0,100,20,100,80,c2,1e-05,2,0,0,1,0,2.5221843750216704,0
scenario213,60,100,80,20,40,0.8,40,60,20,100,80,c4,1e-05,1,0,2,0,1,0.0,1
scenario214,40,80,0,40,60,0.8,80,20,20,100,100,c1,1e-05,1,2,0,2,0,4.499866830345616,0
scenario215,20,60,0,40,0,0.2,0,100,20,100,100,c2,1e-05,0,1,2,0,0,1.7205683272912626,0
scenario216,40,20,40,0,100,0.1,40,60,20,100,100,c4,1e-05,1,2,2,0,0,1.9544436425488323,0
scenario217,20,20,0,0,80,0.4,0,60,40,0,0,c1,1e-05,0,1,1,2,0,2.8805087861600227,0
scenario218,20,60,40,100,0,0.6,20,80,40,0,0,c2,1e-05,0,1,2,1,0,4.108279862264309,0
scenario219,0,60,0,100,0,0.6,0,100,40,0,0,c4,1e-05,2,0,1,2,0,1.173609843504032,0
scenario220,60,100,0,100,100,0.6,80,20,40,0,20,c1,1e-05,1,2,0,1,0,4.92257475449426,0
scenario221,40,20,20,60,40,0.6,20,20,40,0,20,c2,1e-05,2,1,0,1,0,3.655607352810772,0
scenario222,20,60,40,20,60,0.4,100,60,40,0,20,c4,1e-05,2,0,1,0,0,3.127460412310455,0
scenario223,20,40,20,60,40,0.6,60,40,40,0,40,c1,1e-05,0,2,1,2,1,0.0,1
scenario224,20,100,20,0,80,0.4,60,40,40,0,40,c2,1e-05,2,0,0,1,0,2.4993121984742754,0
scenario225,40,20,0,0,0,0.1,40,60,40,0,40,c4,1e-05,1,0,2,0,0,2.945236463412817,0
scenario226,60,100,0,40,100,0.4,0,100,40,0,60,c1,1e-05,1,2,0,2,0,5.795236930550789,0
scenario227,60,80,20,40,40,0.8,60,40,40,0,60,c2,1e-05,0,1,2,0,0,2.051771427254782,0
scenario228,20,20,40,80,60,0.6,100,40,40,0,60,c4,1e-05,1,2,2,0,0,4.7934782469444,0
scenario229,20,40,0,100,60,0.2,20,80,40,0,80,c1,1e-05,0,1,1,2,0,3.0084966876976207,0
scenario230,20,100,20,60,40,0.6,20,0,40,0,80,c2,1e-05,0,1,2,1,0,3.6057359784256566,0
scenario231,60,100,20,60,60,0.6,20,80,40,0,80,c4,1e-05,2,0,1,2,0,1.3038522752686983,0
scenario232,60,100,20,20,80,0.2,100,0,40,0,100,c1,1e-05,1,2,0,1,0,5.425204340747088,0
