instances,pathinteraction,feature_startego,feature_goalego,feature_startother,feature_goalother,feature_cloudiness,feature_precipitation,feature_precipitationdeposits,feature_windintensity,feature_timeofday,feature_fogdensity,feature_fogdistance,feature_wetness,feature_roadfriction,collision,minttc,algo_safety
scenario248,c4,1,0,2,0,80,20,40,100,0,40,0,0,0.2,False,2.531,0
scenario249,c1,0,2,1,2,60,100,20,0,60,40,20,40,0.8,False,2.583,0
scenario250,c1,0,2,1,2,100,100,60,20,0,0,20,100,0.1,False,2.685,0
scenario251,c2,0,1,2,1,100,20,40,0,60,0,20,40,0.4,False,4.559,0
scenario252,c4,2,0,1,0,80,40,60,40,90,0,20,80,0.4,True,0.0,1
scenario253,c4,1,2,2,0,80,20,60,80,-30,40,0,40,0.4,False,3.529,0
scenario254,c4,2,0,1,0,100,0,60,100,90,60,40,60,0.2,False,2.485,0
scenario255,c1,1,2,0,2,20,80,80,80,90,60,20,60,1.0,False,1.958,0
scenario256,c4,2,0,1,2,100,40,80,0,0,0,20,0,0.4,False,1.358,0
scenario257,c2,2,1,0,1,40,40,80,60,-60,80,100,80,0.8,False,0.812,0
scenario258,c1,1,2,0,1,80,80,20,60,-60,80,60,80,0.6,True,0.0,1
scenario259,c4,1,0,2,0,100,0,100,0,-30,40,0,80,0.2,False,1.957,0
scenario260,c2,2,1,0,1,80,60,20,0,-30,60,20,0,0.1,False,0.996,0
scenario261,c4,2,0,1,0,80,80,20,20,-60,60,0,60,0.2,False,2.447,0
scenario262,c4,1,0,2,0,0,60,100,60,-60,80,40,80,0.1,False,1.682,0
scenario263,c1,1,2,0,2,20,20,0,60,90,60,0,60,0.4,False,1.926,0
scenario264,c2,0,1,2,0,80,20,20,80,-30,40,0,80,0.2,False,4.265,0
scenario265,c4,1,2,2,0,100,80,20,60,30,100,0,60,1.0,True,0.0,1
scenario266,c4,1,0,2,0,0,60,100,60,-60,80,80,80,0.8,False,2.505,0
scenario267,c4,1,2,2,0,80,80,0,60,60,40,0,80,0.4,True,0.0,1
scenario268,c2,2,1,0,1,20,0,60,40,-60,80,40,80,0.4,False,1.865,0
scenario269,c2,2,1,0,1,40,40,80,60,-60,80,100,80,0.8,False,0.726,0
scenario270,c2,2,0,0,1,60,20,80,40,-30,80,100,60,1.0,True,0.0,1
scenario271,c2,0,1,2,1,60,40,80,80,-90,80,100,60,1.0,False,4.029,0
scenario272,c2,0,1,2,1,60,60,80,40,-30,0,100,60,0.6,False,4.705,0
scenario273,c4,1,0,2,0,40,40,0,60,-90,100,80,20,0.6,False,2.994,0
scenario274,c4,1,2,2,0,40,20,80,80,-90,100,100,80,1.0,False,1.817,0
scenario275,c2,2,1,0,1,40,40,80,60,-60,80,100,80,0.8,False,2.723,0
scenario276,c1,1,2,0,1,80,80,20,60,-60,80,60,80,0.6,False,2.187,0
scenario277,c4,1,0,2,0,100,0,100,0,-30,40,0,80,0.2,False,3.286,0
scenario278,c2,2,1,0,1,80,60,20,0,-30,60,20,0,0.1,False,1.086,0
scenario279,c4,2,0,1,0,80,80,20,20,-60,60,0,60,0.2,False,2.173,0
scenario280,c4,1,0,2,0,0,60,100,60,-60,80,40,80,0.1,False,2.792,0
scenario281,c1,1,2,0,2,20,20,0,60,90,60,0,60,0.4,False,1.926,0
scenario282,c2,0,1,2,0,80,20,20,80,-30,40,0,80,0.2,False,3.611,0
scenario283,c4,1,2,2,0,100,80,20,60,30,100,0,60,1.0,False,2.516,0
scenario284,c4,1,0,2,0,0,60,100,60,-60,80,80,80,0.8,False,3.012,0
scenario285,c4,1,2,2,0,80,80,0,60,60,40,0,80,0.4,True,0.0,1
scenario286,c2,2,1,0,1,20,0,60,40,-60,80,40,80,0.4,False,2.014,0
scenario287,c2,2,1,0,1,80,60,20,0,-30,60,20,0,0.1,False,0.759,0
scenario288,c1,1,2,0,1,0,80,20,20,-30,0,20,20,0.1,False,9999.0,0
scenario289,c1,0,2,1,2,60,60,20,0,-30,0,80,20,0.1,False,1.848,0
scenario290,c2,2,1,0,1,80,80,40,0,-30,0,40,0,0.1,False,0.674,0
scenario291,c2,2,1,0,1,80,60,0,20,-30,40,100,20,0.2,False,0.941,0
scenario292,c2,2,1,0,1,80,80,40,20,-60,60,100,0,0.1,False,2.254,0
scenario293,c2,2,1,0,1,100,60,40,20,0,60,100,0,0.1,False,0.767,0
scenario294,c2,2,1,0,1,60,80,0,0,-30,40,20,0,0.1,False,0.96,0
scenario295,c2,2,0,0,1,80,60,60,0,30,60,80,0,0.1,False,0.895,0
scenario296,c4,1,2,2,0,60,60,40,20,90,60,60,0,0.1,True,0.0,1
scenario297,c1,1,2,0,1,100,80,40,20,0,40,0,0,0.1,True,0.0,1
scenario298,c2,2,1,0,1,60,80,20,0,-60,60,40,20,0.1,False,1.035,0
scenario299,c4,1,2,2,0,60,60,40,20,90,60,60,0,0.1,False,2.703,0
