feature_Direction,feature_Cloudiness,feature_Precipitation,feature_PrecipitationDeposits,feature_WindIntensity,feature_TimeOfDay,feature_FogDensity,feature_FogDistance,feature_Wetness,feature_RoadFriction,Collision,MinTTC,algo_safety
left,20,80,40,80,0,20,60,60,1.0,False,1.593,0
right,80,20,60,40,60,0,40,40,0.4,False,0.925,0
right,20,80,0,40,90,20,80,20,0.4,False,1.821,0
right,40,80,0,80,30,60,60,20,1.0,False,1.888,0
left,40,80,0,100,0,60,100,20,0.4,False,1.403,0
left,60,60,80,0,30,40,0,20,0.6,False,1.341,0
right,80,40,60,80,30,20,20,20,0.2,False,1.33,0
left,20,100,40,40,30,80,40,60,0.8,False,1.367,0
left,20,0,60,40,90,0,40,100,0.6,False,1.357,0
left,20,40,80,0,-30,40,80,80,0.1,False,1.452,0
left,0,20,80,60,30,80,20,40,0.4,False,1.315,0
right,0,60,80,80,-60,40,0,40,0.2,False,0.954,0
left,60,0,0,0,-90,80,40,100,0.6,False,0.701,0
right,0,80,100,60,-90,100,0,40,0.4,False,1.175,0
left,100,0,100,80,0,20,60,20,0.4,False,1.347,0
left,100,20,20,0,-30,40,0,80,0.1,False,0.906,0
left,40,80,100,100,60,60,0,0,0.2,False,1.057,0
right,0,20,100,100,-30,80,80,60,1.0,False,0.883,0
left,60,40,40,40,0,0,40,60,0.6,False,1.352,0
left,60,20,20,100,-90,60,100,20,0.1,False,1.374,0
left,20,0,80,40,60,20,60,0,0.6,False,1.355,0
left,100,0,60,40,-30,20,60,0,1.0,False,1.407,0
right,20,40,20,100,-90,20,100,60,0.8,False,0.844,0
left,60,20,40,60,0,20,20,0,0.4,False,1.408,0
right,40,20,40,60,-90,40,60,60,0.1,False,1.216,0
left,80,0,100,100,-60,80,60,40,0.1,False,1.378,0
right,20,40,60,40,-60,20,0,60,0.4,False,0.876,0
right,20,0,100,40,-60,100,0,60,0.8,False,0.97,0
right,80,20,60,0,90,80,40,20,0.4,False,0.856,0
right,0,60,20,40,30,20,20,20,0.8,False,0.821,0
left,100,20,20,80,-90,0,80,100,0.6,False,1.016,0
right,20,20,20,80,60,100,100,20,0.8,False,1.513,0
right,20,0,0,100,60,80,60,100,0.1,False,0.777,0
right,40,40,100,60,-90,0,60,60,0.2,False,1.123,0
right,20,20,80,40,-90,20,100,40,0.8,False,0.821,0
left,40,80,60,80,-90,0,40,100,0.2,False,1.365,0
right,100,60,80,0,-30,0,100,60,0.6,False,1.57,0
left,80,80,20,0,-60,0,20,80,0.2,False,1.55,0
left,0,40,40,80,90,0,0,0,1.0,False,1.32,0
left,40,0,80,100,30,60,80,20,1.0,False,1.4,0
right,0,40,0,100,-60,0,40,0,0.6,False,1.786,0
right,80,80,40,0,-90,0,60,20,0.8,False,1.89,0
left,20,20,100,80,0,100,60,20,0.1,False,1.424,0
right,100,60,80,80,30,0,60,0,0.4,False,1.662,0
right,60,20,40,100,0,80,40,60,0.8,False,1.308,0
left,40,80,20,100,-30,20,60,100,1.0,False,0.985,0
left,40,0,80,20,-90,40,60,20,0.8,False,1.407,0
left,20,20,60,60,90,60,100,0,0.1,False,1.444,0
left,100,80,40,100,30,40,100,80,0.1,False,1.958,0
left,40,0,80,0,0,20,0,40,0.1,False,1.544,0
right,40,100,20,0,-90,80,80,40,0.1,False,1.9,0
right,80,80,20,60,-90,80,20,40,0.6,False,0.966,0
right,40,20,100,0,60,80,40,60,0.8,False,0.917,0
left,100,60,20,80,60,40,60,80,0.4,False,1.416,0
right,60,40,0,20,-30,20,20,80,0.8,False,0.726,0
right,80,60,0,40,-60,20,40,80,0.4,False,1.718,0
right,40,40,20,40,-90,0,20,80,0.1,False,1.573,0
right,60,100,0,80,0,60,40,100,0.1,False,0.925,0
left,100,100,20,60,-30,100,40,20,1.0,False,0.898,0
left,80,80,40,80,-90,100,100,60,0.4,False,1.504,0
left,60,0,0,60,90,80,80,0,0.6,False,1.37,0
right,80,20,60,40,90,80,80,0,0.6,False,2.325,0
right,100,60,40,100,-30,40,40,60,0.8,False,2.325,0
right,100,40,0,100,90,60,60,60,0.4,False,0.962,0
left,80,40,20,60,30,60,80,20,0.1,False,1.37,0
right,40,80,20,40,-60,60,0,0,0.1,False,0.899,0
right,80,60,40,80,90,40,80,80,0.6,False,1.494,0
right,60,60,40,0,30,100,40,60,0.1,False,2.255,0
left,80,20,0,60,-30,80,60,100,0.8,False,0.777,0
left,20,60,60,60,0,80,80,40,1.0,False,1.592,0
left,20,40,40,40,-90,40,80,20,0.1,False,1.028,0
right,100,40,80,60,60,20,80,40,0.8,False,0.836,0
left,80,20,60,20,-90,100,80,80,0.1,False,1.513,0
right,80,100,100,100,-90,100,60,0,0.1,False,0.865,0
right,100,100,80,0,-30,60,0,80,0.1,False,1.333,0
left,20,20,60,80,30,40,100,80,0.8,False,1.938,0
left,80,20,60,80,-90,20,20,80,0.8,False,1.606,0
left,0,0,0,20,30,60,60,80,0.6,False,1.457,0
left,100,0,100,80,-30,20,100,20,0.4,False,1.382,0
right,20,0,40,100,-90,80,0,40,0.2,False,0.789,0
right,80,60,0,0,-60,60,80,0,0.6,False,0.872,0
left,80,20,20,20,-90,20,80,20,0.4,False,1.46,0
left,60,40,60,80,-30,60,0,20,1.0,False,1.368,0
right,100,100,80,20,0,40,60,100,0.6,False,0.909,0
left,20,0,20,20,-30,60,20,0,0.4,False,1.352,0
right,80,40,0,40,30,60,40,60,1.0,False,1.011,0
left,0,60,40,80,-60,60,20,60,0.4,False,1.732,0
right,20,60,0,40,60,0,40,20,0.2,False,2.27,0
left,0,20,40,80,90,20,80,60,0.6,False,1.443,0
left,20,40,40,20,60,60,60,100,0.8,False,1.567,0
left,40,60,80,20,-60,60,100,20,1.0,False,1.396,0
right,80,60,80,40,30,20,60,80,0.8,False,0.807,0
left,20,0,100,80,-90,80,40,100,0.6,False,0.859,0
left,100,100,80,20,-30,0,60,100,0.1,False,1.406,0
left,20,40,20,100,-90,0,80,40,0.8,False,1.411,0
right,20,0,100,40,-90,20,40,20,1.0,False,0.944,0
right,40,40,60,60,90,100,100,20,0.4,False,1.573,0
left,0,40,100,100,60,40,60,0,1.0,False,1.449,0
right,20,60,40,100,-90,20,40,0,0.4,False,1.903,0
left,100,100,0,60,-90,80,20,60,0.2,False,0.878,0
right,20,60,100,0,30,40,100,100,0.2,False,0.601,0
left,80,60,100,80,-30,60,100,100,0.8,False,1.462,0
right,0,0,100,40,-90,80,80,100,0.1,False,1.931,0
left,100,0,0,40,-60,40,100,0,0.6,False,1.391,0
right,100,80,20,40,30,0,40,60,0.6,False,0.949,0
right,100,80,100,100,90,100,100,60,0.8,False,2.248,0
left,100,100,20,60,60,80,20,60,0.2,False,1.328,0
left,100,80,40,20,30,20,100,20,0.8,False,1.332,0
right,20,0,20,40,-30,60,0,20,1.0,False,0.864,0
right,20,20,100,100,0,100,60,20,1.0,False,0.797,0
left,0,80,100,60,-60,100,40,100,0.4,False,0.616,0
left,100,20,80,80,-60,40,100,0,0.8,False,1.395,0
right,20,100,100,20,30,60,60,20,0.1,False,0.801,0
right,0,40,60,20,-90,0,40,40,0.2,False,1.459,0
left,100,40,60,0,-60,40,60,60,0.8,False,1.498,0
right,40,20,80,0,-90,0,60,60,0.1,False,1.179,0
right,100,80,40,0,60,60,60,60,0.2,False,0.78,0
right,0,40,0,100,-30,100,80,100,1.0,False,1.377,0
right,100,20,0,20,60,0,0,60,0.2,False,0.68,0
right,40,20,100,80,90,100,20,0,1.0,False,0.842,0
right,100,80,40,60,-60,100,40,40,0.2,False,2.592,0
right,20,80,40,40,-60,0,0,0,0.8,False,0.849,0
right,0,20,60,60,0,100,20,40,0.8,False,0.963,0
left,20,100,20,20,-60,60,100,60,0.1,False,1.391,0
left,60,60,20,20,60,40,0,0,0.8,False,1.343,0
right,20,40,0,100,-90,80,100,60,0.4,False,0.771,0
left,60,0,100,20,60,20,60,40,0.1,False,1.404,0
right,80,100,40,80,-60,60,0,80,0.4,False,0.862,0
right,60,80,100,20,0,80,80,0,0.1,False,0.864,0
right,80,100,40,80,30,60,40,60,1.0,False,1.128,0
left,40,40,80,100,-90,20,20,100,1.0,False,1.376,0
right,100,0,20,100,30,40,80,80,0.6,False,2.933,0
right,80,20,80,60,0,40,0,20,0.2,False,2.117,0
left,80,100,0,20,90,40,100,0,0.2,False,1.383,0
right,100,60,20,80,0,20,80,80,1.0,False,1.808,0
left,100,80,80,80,-90,60,100,0,0.6,False,1.531,0
left,80,80,80,100,90,0,100,100,0.8,False,1.52,0
left,60,100,60,80,-60,20,80,60,0.1,False,1.555,0
left,40,80,0,60,-60,0,40,0,0.1,False,1.376,0
left,60,40,0,100,-60,60,0,80,0.2,False,0.787,0
left,100,40,20,40,60,40,100,100,0.1,False,2.033,0
right,0,20,40,80,60,80,40,100,0.6,False,2.432,0
left,80,40,0,40,30,40,80,0,0.1,False,1.384,0
left,40,40,20,100,0,0,80,60,0.1,False,1.795,0
left,60,0,0,40,-60,20,80,40,1.0,False,0.94,0
right,20,80,40,80,60,40,60,0,0.1,False,1.686,0
right,20,60,80,60,90,0,0,0,0.2,False,0.953,0
right,60,20,100,60,0,20,80,80,0.1,False,1.265,0
right,40,80,20,40,-60,80,80,0,0.2,False,0.779,0
left,40,100,60,40,30,60,60,40,0.4,False,1.359,0
left,40,80,60,40,-60,0,20,60,0.8,False,1.574,0
left,100,20,100,100,-60,40,60,40,0.1,False,1.368,0
right,40,80,80,80,30,20,100,0,0.8,False,0.686,0
left,20,60,100,80,60,0,40,40,0.2,False,1.339,0
left,100,0,40,40,60,40,80,100,0.2,False,1.417,0
right,80,100,60,40,-90,100,40,100,0.4,False,0.861,0
right,80,40,20,20,-30,20,20,20,0.1,False,1.075,0
right,60,60,60,80,90,40,20,80,0.1,False,1.76,0
left,40,100,40,40,60,80,80,100,0.4,False,1.408,0
left,20,80,0,80,-60,40,80,40,0.6,False,0.962,0
right,100,60,100,0,90,60,40,20,0.4,False,1.05,0
right,80,0,20,100,-30,20,100,0,0.2,False,1.784,0
left,60,60,20,80,-30,80,100,0,0.2,False,1.369,0
left,100,0,20,80,-90,0,0,80,0.4,False,1.579,0
left,0,20,40,80,60,0,100,40,0.1,False,1.342,0
left,40,40,100,0,60,60,60,80,1.0,False,1.395,0
right,20,0,60,0,-90,100,80,40,0.6,False,1.994,0
right,40,60,0,0,-30,80,100,40,0.1,False,0.848,0
right,80,100,100,40,-60,0,0,20,0.2,False,0.764,0
left,80,0,40,40,0,40,80,100,0.8,False,1.471,0
left,100,80,80,40,-60,100,80,40,1.0,False,1.38,0
right,0,100,40,100,90,80,100,60,0.8,False,1.746,0
right,40,80,80,40,-60,40,0,80,0.6,False,0.925,0
left,100,40,20,100,-60,60,0,0,0.8,False,1.346,0
left,0,0,80,80,-60,80,20,40,0.8,False,1.216,0
right,100,20,20,100,90,20,80,0,0.4,False,2.218,0
left,60,60,20,100,-30,60,60,20,0.4,False,1.451,0
left,0,100,100,0,-90,100,60,100,0.4,False,0.913,0
left,20,80,60,60,0,100,100,20,0.1,False,1.317,0
right,0,40,100,60,-60,20,40,20,0.4,False,0.871,0
right,100,40,40,60,-60,80,20,60,0.4,False,0.811,0
left,40,40,0,40,-90,60,20,20,0.4,False,1.691,0
right,20,80,0,20,90,100,40,0,0.6,False,0.817,0
left,60,20,40,100,-90,0,20,0,0.2,False,1.445,0
right,20,80,100,40,-90,20,60,100,0.6,False,1.684,0
left,60,40,100,100,60,60,40,0,0.8,False,1.311,0
left,20,100,100,0,-90,20,80,80,0.2,False,1.429,0
right,100,0,100,0,-90,40,0,0,0.1,False,1.43,0
right,20,80,60,0,-60,20,100,80,0.2,False,1.436,0
