feature_TimeofDay,feature_Cloudiness,feature_WindIntensity,feature_Precipitation,feature_PrecipitationDeposits,feature_Wetness,feature_RoadFriction,feature_FogDensity,feature_FogDistance,feature_Direction,Visibility,RoadSurface,VehicleStability,probability,collision,min_ttc,run_duration,algo_safety
90,40,40,0,100,100,0.1,80,20,right,80,100,80,1e-05,0,0.9711926543705648,110.356196641922,0
90,60,80,40,0,0,0.8,100,0,left,80,100,100,1e-05,0,1.3233172715287622,84.01180076599121,0
0,0,80,0,100,40,0.6,0,100,right,100,0,0,1e-05,0,1.090781199439396,174.79797911643982,0
30,60,80,60,0,0,0.8,0,100,right,100,0,20,1e-05,0,1.5539367301461795,169.78188514709473,0
30,80,100,40,0,80,0.4,40,60,right,100,0,40,1e-05,0,3.403211945667869,173.3980987071991,0
0,60,20,40,20,40,0.8,100,0,right,100,0,60,1e-05,0,1.993738667300004,171.15577149391174,0
60,60,20,0,0,0,0.4,80,20,left,100,0,80,1e-05,0,1.305933102331258,81.00926160812378,0
30,60,40,40,0,100,0.4,100,0,left,100,0,100,1e-05,0,1.3619499206391643,81.63022232055664,0
-30,20,20,20,100,0,0.6,40,60,right,100,20,0,1e-05,0,0.8290836113446619,163.65369057655334,0
60,60,100,60,100,60,0.6,100,0,right,100,20,20,1e-05,0,2.2438523471323384,112.36208724975586,0
-60,40,40,100,100,40,0.6,80,20,left,100,20,40,1e-05,0,0.8241306085545533,101.93006777763368,0
-60,40,40,100,0,100,0.6,20,80,left,100,20,60,1e-05,0,1.691925615207863,84.42441153526306,0
-60,60,20,0,100,60,0.6,0,100,left,100,20,80,1e-05,0,1.4173040575038651,82.09748125076294,0
60,20,20,0,100,40,0.4,0,100,left,100,20,100,1e-05,0,1.348636239539769,79.91301393508911,0
90,20,40,0,60,0,0.6,0,100,right,100,40,0,1e-05,0,1.7585288522239255,168.91910123825073,0
90,20,40,40,0,0,0.8,0,100,right,100,40,20,1e-05,0,1.5873845946448484,169.87648940086365,0
-60,0,100,0,20,40,0.8,80,20,left,100,40,40,1e-05,0,0.969401865597366,107.58731389045715,0
30,40,20,60,100,40,0.6,100,0,left,100,40,60,1e-05,0,1.3774088680065073,80.358815908432,0
90,40,80,20,40,40,0.6,40,60,left,100,40,80,1e-05,0,1.4580667969567618,78.4527838230133,0
90,40,60,20,40,0,0.6,40,60,right,100,40,100,1e-05,0,1.6484757337755993,159.9071502685547,0
30,40,60,60,100,40,0.6,0,100,left,100,60,0,1e-05,0,1.0547567664534296,86.496022939682,0
30,60,20,0,100,60,0.6,0,100,right,100,60,20,1e-05,0,0.9554633836035116,110.86209416389464,0
-90,20,40,20,80,40,0.6,100,100,left,100,60,40,1e-05,0,1.40004602523262,83.51487636566162,0
30,20,100,0,0,100,0.1,80,20,right,100,60,60,1e-05,0,2.4198663965461984,114.93585348129272,0
-90,60,40,0,0,80,0.8,80,20,right,100,60,80,1e-05,0,0.6109932159286542,98.34581756591795,0
30,60,80,0,0,40,0.8,0,100,right,100,60,100,1e-05,0,1.5628874024203252,157.61333560943604,0
-90,40,100,0,100,0,0.6,100,0,left,100,80,0,1e-05,0,1.3483773881468468,81.99895358085632,0
60,60,60,100,0,0,0.8,40,60,left,100,80,20,1e-05,0,1.4467442579792829,78.71892833709717,0
-60,0,20,0,60,40,0.6,0,100,left,100,80,40,1e-05,0,1.4675271595146742,82.72113037109375,0
-60,40,100,80,0,80,0.4,40,60,left,100,80,60,1e-05,0,0.8880096634756854,104.51030802726746,0
0,20,100,0,0,80,0.1,0,100,right,100,80,80,1e-05,0,1.3232962003024826,170.6556634902954,0
0,20,20,0,60,0,0.6,0,100,left,100,80,100,1e-05,0,1.5531200545665165,80.83438730239868,0
-30,0,60,0,60,40,0.6,80,20,right,100,100,0,1e-05,0,1.300080519364689,173.87803411483765,0
0,80,20,0,0,0,0.0,0,100,right,100,100,20,1e-05,0,0.765967190091983,92.66942071914671,0
-30,40,20,60,0,80,0.4,100,0,left,100,100,40,1e-05,0,0.5169811212040376,192.5280077457428,0
-90,80,100,0,0,0,0.8,80,20,left,100,100,60,1e-05,0,1.7087478652533477,81.64287638664246,0
30,40,40,80,40,40,0.8,40,60,right,100,100,80,1e-05,0,0.9816252068085586,96.81453609466551,0
-60,60,20,20,100,0,0.6,100,0,right,100,100,100,1e-05,0,0.8678694387631494,112.31659626960754,0
