feature_Direction,feature_Cloudiness,feature_Precipitation,feature_PrecipitationDeposits,feature_WindIntensity,feature_TimeOfDay,feature_FogDensity,feature_FogDistance,feature_Wetness,feature_RoadFriction,Collision,MinTTC,algo_safety
left,20,60,80,80,-90,80,0,40,0.4,False,0.828,0
right,0,20,0,100,-60,20,0,40,1.0,False,0.951,0
right,80,100,40,40,60,20,0,20,0.4,False,0.846,0
right,100,20,60,20,30,60,80,0,1.0,False,0.891,0
left,20,100,20,40,-30,40,80,20,0.8,False,1.374,0
right,0,0,0,100,-60,0,0,20,0.6,False,0.709,0
right,100,100,40,60,30,0,100,40,1.0,False,1.079,0
right,0,0,0,100,-60,0,0,20,0.6,False,0.823,0
right,20,0,0,100,-60,20,0,20,0.8,False,0.927,0
right,100,0,0,80,-30,0,20,40,0.8,False,1.404,0
right,0,0,100,40,-30,20,20,0,0.8,False,1.958,0
right,0,0,20,100,0,0,0,40,0.6,False,1.864,0
right,0,0,0,100,-60,20,0,0,0.4,False,0.961,0
left,0,0,0,0,-60,0,20,20,0.6,False,1.389,0
left,20,40,0,80,-30,0,40,40,0.8,False,1.387,0
right,0,0,60,100,-60,0,20,40,0.4,False,0.87,0
left,0,0,0,100,-30,20,0,0,0.6,False,1.379,0
right,0,20,0,0,-60,0,20,20,0.6,False,0.74,0
right,0,0,0,80,-60,0,0,40,0.6,False,0.756,0
right,0,20,0,0,-60,0,20,20,0.6,False,0.85,0
right,0,0,0,0,60,100,40,0,0.6,False,1.828,0
right,0,0,80,40,-30,40,20,0,0.6,False,1.915,0
right,0,40,20,100,0,60,0,40,1.0,False,2.11,0
right,20,40,60,20,30,0,20,20,0.4,False,0.675,0
right,20,20,0,80,-30,40,100,0,0.6,False,0.864,0
right,20,40,0,80,-30,0,20,40,0.8,False,0.838,0
left,20,40,20,0,-30,0,20,40,0.8,False,1.385,0
right,0,0,40,100,-60,0,0,40,0.4,False,0.812,0
left,0,20,20,80,60,40,0,0,0.4,False,1.407,0
left,20,80,0,80,0,20,20,40,0.6,False,1.523,0
right,100,40,20,60,-30,40,0,40,1.0,False,0.94,0
right,20,40,60,20,30,0,20,20,0.4,False,0.768,0
left,0,40,0,80,-60,0,0,100,0.6,False,1.413,0
right,80,20,60,100,-90,0,100,60,0.4,False,0.688,0
left,80,40,0,0,-30,0,0,0,0.8,False,1.453,0
right,0,80,0,80,-30,20,20,40,0.6,False,1.914,0
right,0,20,40,40,-30,80,60,0,0.8,False,0.793,0
right,0,0,0,0,-30,0,20,40,0.4,False,1.772,0
left,0,20,0,80,60,40,20,20,0.2,False,1.482,0
left,20,80,20,80,0,40,40,20,0.6,False,1.353,0
left,0,0,100,80,-60,0,0,40,0.4,False,1.402,0
left,0,0,0,0,90,0,40,20,0.4,False,1.382,0
right,100,100,40,80,-60,40,0,20,1.0,False,0.89,0
right,80,20,60,100,-90,0,100,60,0.4,False,0.862,0
left,60,40,40,100,-90,0,100,60,0.2,False,1.488,0
right,80,20,60,100,-90,0,100,60,0.8,False,0.76,0
left,20,40,20,80,-30,60,20,80,0.6,False,0.86,0
left,60,40,0,20,-60,0,0,0,0.6,False,1.443,0
right,100,20,20,0,-60,0,80,20,0.4,False,0.871,0
left,0,40,0,80,30,20,20,20,0.2,False,1.529,0
left,20,100,80,80,0,20,40,20,0.1,False,1.468,0
left,0,20,0,40,-60,80,20,100,0.4,False,0.943,0
right,0,40,20,100,30,60,40,20,0.2,False,1.571,0
right,0,0,40,40,0,80,80,0,0.8,False,1.419,0
right,40,60,100,20,30,0,40,40,0.4,False,0.599,0
right,40,60,100,20,30,0,40,40,0.4,False,0.603,0
right,0,0,100,40,-30,60,80,0,0.4,False,0.892,0
left,60,40,40,80,-90,0,80,0,0.2,False,1.369,0
left,0,60,40,100,-60,40,20,40,0.2,False,1.394,0
right,0,0,60,20,0,60,80,20,0.8,False,0.629,0
right,40,60,40,80,-30,60,80,100,0.6,False,0.89,0
left,80,40,0,100,-90,0,100,40,0.6,False,1.395,0
right,80,40,100,100,-60,0,80,60,1.0,False,0.751,0
left,0,60,0,60,60,0,40,0,0.6,False,1.379,0
right,20,20,40,100,30,60,60,20,0.1,False,1.941,0
right,20,0,0,40,-30,80,60,0,0.4,False,1.458,0
left,0,60,0,100,0,60,40,0,0.4,False,1.416,0
right,0,0,0,100,-60,20,0,40,0.6,False,0.965,0
left,20,80,80,80,-90,100,0,0,0.4,False,0.695,0
right,20,100,40,40,90,20,0,40,0.4,False,1.009,0
right,0,20,0,100,-60,0,0,40,1.0,False,0.736,0
right,0,0,0,100,-90,20,0,40,0.6,False,0.955,0
right,0,0,0,100,90,40,100,40,0.6,False,0.884,0
left,100,100,40,60,30,0,100,40,0.8,False,1.351,0
left,0,40,80,80,-90,80,0,20,0.4,False,0.817,0
left,20,80,80,20,-90,80,0,40,0.4,False,0.798,0
right,40,40,100,0,30,0,60,40,0.4,False,0.669,0
left,40,100,20,40,-30,40,80,20,0.4,False,1.416,0
right,80,0,0,40,30,0,60,40,0.4,False,1.068,0
right,40,40,100,0,30,0,60,40,0.4,False,0.644,0
left,40,20,100,0,-90,0,60,20,0.2,False,1.395,0
right,40,40,100,20,60,0,40,20,0.2,False,1.517,0
left,40,100,100,0,0,20,80,60,0.4,False,1.38,0
left,20,0,60,0,30,0,40,40,0.4,False,2.035,0
right,60,40,100,0,30,0,100,40,0.6,False,0.631,0
right,60,40,100,0,30,60,60,40,0.6,False,1.385,0
right,60,20,80,0,60,0,40,20,0.6,False,1.848,0
right,60,20,100,0,0,0,80,20,0.2,False,1.825,0
right,40,20,100,60,30,20,80,60,0.4,False,0.835,0
right,40,40,100,0,30,0,80,40,0.8,False,0.598,0
right,40,40,100,0,60,20,60,60,0.2,False,0.777,0
right,40,40,100,0,30,0,80,40,0.8,False,0.665,0
right,80,40,80,0,60,0,40,60,0.4,False,1.777,0
left,40,60,60,0,60,0,80,80,0.6,False,1.406,0
left,40,20,0,0,-90,0,80,20,1.0,False,1.374,0
right,80,0,60,0,30,0,40,80,0.2,False,0.764,0
left,20,20,80,20,30,60,20,20,0.2,False,1.35,0
left,100,40,100,40,30,0,100,20,0.6,False,0.908,0
left,40,0,100,0,60,0,60,20,0.4,False,1.373,0
right,60,60,100,20,60,60,80,40,0.4,False,1.032,0
right,80,20,80,0,0,0,80,100,0.1,False,2.051,0
right,40,60,80,0,0,80,60,40,1.0,False,1.909,0
left,20,20,80,0,0,20,20,40,0.2,False,1.464,0
right,40,40,100,0,30,0,80,40,0.8,False,0.676,0
left,0,20,80,20,30,80,40,40,0.1,False,1.339,0
left,20,40,60,0,0,80,20,20,0.1,False,1.517,0
right,60,40,100,20,30,20,60,20,0.6,False,0.708,0
left,40,40,80,40,60,80,100,40,0.2,False,1.352,0
right,60,0,60,20,0,80,20,20,0.4,False,0.992,0
left,0,20,80,0,-30,0,0,60,0.1,False,1.694,0
left,40,80,20,0,90,0,60,60,0.4,False,1.366,0
right,20,100,80,0,0,60,60,60,1.0,False,0.879,0
left,20,40,40,0,90,20,80,100,0.6,False,1.351,0
right,80,20,0,40,60,0,100,100,0.4,False,0.74,0
