feature_Direction,feature_Cloudiness,feature_Precipitation,feature_PrecipitationDeposits,feature_WindIntensity,feature_TimeOfDay,feature_FogDensity,feature_FogDistance,feature_Wetness,feature_RoadFriction,Collision,MinTTC,algo_safety
right,40,20,0,60,-60,60,0,60,0.1,False,0.878,0
left,60,20,40,60,90,0,20,40,0.1,False,1.161,0
left,80,0,0,80,90,40,40,60,0.2,False,1.165,0
right,80,20,20,60,90,60,20,100,0.1,False,0.906,0
right,60,40,0,40,90,20,20,40,0.1,False,0.914,0
right,60,0,40,40,90,0,20,40,0.1,False,0.814,0
right,80,20,20,60,60,0,40,20,0.1,False,0.798,0
right,80,20,0,20,90,20,20,60,0.2,False,0.773,0
left,100,0,20,60,60,0,20,60,0.1,False,1.096,0
right,60,20,40,40,60,0,20,20,0.8,False,0.81,0
right,60,0,60,40,60,0,20,40,0.1,False,0.938,0
right,80,20,0,20,90,20,20,60,0.2,False,0.888,0
right,60,40,20,20,30,0,20,0,0.2,False,0.95,0
right,60,20,0,40,-60,40,0,60,0.2,False,0.994,0
right,60,0,0,40,60,60,0,40,1.0,False,0.966,0
left,100,0,0,80,90,60,40,80,0.4,False,1.172,0
left,60,20,20,80,-90,60,0,80,0.1,False,1.042,0
left,60,0,20,60,90,20,20,20,0.1,False,1.198,0
right,60,40,20,60,60,80,20,100,0.8,False,0.873,0
right,100,0,20,60,90,0,40,80,0.1,False,0.765,0
right,60,20,20,20,90,20,40,60,0.4,False,0.914,0
right,40,40,60,40,30,0,20,0,0.6,False,0.861,0
right,60,60,0,20,-90,40,40,60,0.1,False,0.908,0
right,100,0,20,60,90,0,40,80,0.1,False,0.968,0
right,60,0,0,60,90,0,0,40,0.1,False,0.841,0
left,100,0,40,60,-60,0,60,60,0.2,False,1.011,0
left,60,40,0,60,60,80,20,100,1.0,False,1.202,0
left,100,40,20,0,-60,40,20,40,0.2,False,1.065,0
left,100,40,20,0,-90,20,20,60,0.1,False,1.05,0
right,60,0,0,40,90,0,20,20,0.1,False,0.955,0
left,60,20,40,80,-90,60,0,100,0.1,False,1.018,0
right,60,0,20,20,90,0,100,40,0.4,False,0.959,0
right,0,20,40,20,-90,20,40,40,0.2,False,0.867,0
right,80,40,20,20,-90,80,60,80,0.1,False,0.933,0
right,80,40,20,80,-90,40,0,40,0.4,False,0.861,0
right,60,0,0,60,90,0,0,40,0.1,False,0.888,0
left,80,40,80,0,-60,20,20,40,0.2,False,1.093,0
right,60,20,0,60,60,0,20,0,0.1,False,0.79,0
right,100,100,0,60,90,0,20,80,0.1,False,0.945,0
right,60,20,40,40,-60,100,40,60,0.1,False,0.877,0
right,100,60,40,60,90,60,20,60,0.1,False,0.849,0
right,80,0,0,20,90,0,80,40,0.6,False,0.744,0
right,40,40,20,20,60,0,40,40,0.4,False,0.882,0
right,80,60,20,0,-60,80,60,40,0.1,False,0.939,0
right,20,40,20,20,-90,40,40,0,0.2,False,0.863,0
left,60,0,0,60,90,0,60,60,0.1,False,2.538,0
left,100,0,0,40,90,0,60,60,0.2,False,1.181,0
right,80,0,0,20,90,0,80,40,0.6,False,0.898,0
right,100,100,0,60,90,80,20,60,0.1,False,0.843,0
right,80,40,0,20,-30,100,80,40,0.4,False,0.785,0
right,100,0,0,20,90,20,80,20,0.6,False,0.847,0
right,80,20,40,20,-90,80,20,60,0.1,False,0.844,0
right,60,40,40,20,-90,80,20,0,0.1,False,0.838,0
right,20,40,0,80,-90,40,20,0,0.4,False,0.768,0
right,100,80,20,20,-60,80,40,60,0.2,False,0.775,0
right,40,20,0,40,30,0,40,60,0.4,False,0.757,0
left,100,0,60,20,90,0,60,40,0.6,False,1.144,0
