feature_Direction,feature_Cloudiness,feature_Precipitation,feature_PrecipitationDeposits,feature_WindIntensity,feature_TimeOfDay,feature_FogDensity,feature_FogDistance,feature_Wetness,feature_RoadFriction,Collision,MinTTC,algo_safety
left,20,100,20,80,-60,80,0,20,0.2,False,0.45,1
left,0,60,20,0,-30,40,40,100,0.8,False,0.85,0
right,60,20,80,60,-90,20,80,60,0.1,False,0.71,0
right,0,60,20,80,90,40,80,0,0.6,False,2.144,0
left,20,20,20,40,-90,60,60,60,0.1,False,1.109,0
left,0,20,100,60,0,20,0,20,0.8,False,1.369,0
right,60,20,0,0,-60,100,100,60,0.6,False,0.825,0
left,100,40,20,100,-60,0,40,0,0.1,False,1.396,0
right,60,0,80,40,-30,60,40,20,0.8,False,1.419,0
right,80,100,40,100,30,40,80,0,0.1,False,1.31,0
left,80,60,60,0,30,60,60,80,0.8,False,1.587,0
left,100,60,0,80,-90,0,20,60,0.2,False,0.988,0
right,0,40,20,100,-90,60,0,40,0.4,False,0.953,0
right,20,80,100,0,90,80,60,40,0.6,False,1.764,0
right,60,40,40,20,-90,20,100,0,0.1,False,1.145,0
left,0,100,100,20,30,0,100,20,0.6,False,1.165,0
left,100,40,60,100,-30,60,20,0,1.0,False,1.42,0
right,80,100,60,0,60,100,60,100,0.2,False,0.802,0
left,20,0,0,0,-90,40,80,20,1.0,False,1.382,0
left,100,60,20,100,60,0,0,20,0.8,False,1.359,0
right,60,60,40,40,0,0,20,80,0.1,False,0.811,0
right,40,0,80,40,-30,20,20,60,1.0,False,1.855,0
right,60,0,100,40,0,100,20,60,0.2,False,2.205,0
right,40,100,40,60,-30,100,80,80,0.8,False,0.8,0
left,20,60,100,80,60,100,100,40,0.4,False,1.425,0
left,80,40,60,80,90,100,80,80,0.2,False,1.417,0
right,20,20,0,0,60,40,20,0,0.6,False,0.848,0
left,60,40,0,100,0,100,100,80,0.8,False,1.466,0
left,80,60,0,60,60,20,60,20,0.6,False,1.252,0
left,0,100,80,20,90,20,40,100,0.6,False,1.525,0
right,40,20,60,60,-60,60,0,0,0.8,False,0.87,0
left,20,80,80,80,-90,20,60,20,0.4,False,1.402,0
right,20,20,60,60,-30,80,20,40,0.1,False,0.961,0
left,60,40,80,40,30,100,60,60,0.6,False,1.365,0
right,80,100,40,100,90,60,20,0,0.4,False,1.091,0
right,80,0,80,60,30,100,0,40,0.2,False,2.478,0
right,40,20,0,0,60,0,80,100,0.1,False,1.796,0
left,40,60,40,100,-90,100,60,100,0.1,False,1.413,0
right,60,20,60,40,-30,40,60,60,0.6,False,2.323,0
left,100,40,20,40,-90,20,100,60,0.8,False,1.943,0
left,40,40,0,80,-30,60,40,80,0.6,False,1.125,0
left,60,0,20,40,-60,0,0,40,0.6,False,1.381,0
right,80,80,60,80,0,80,0,0,1.0,False,0.966,0
right,0,80,80,100,-30,20,40,60,1.0,False,0.814,0
left,20,60,100,0,-90,100,20,40,0.8,False,0.931,0
right,0,20,0,80,-90,60,20,0,0.4,False,0.964,0
right,100,0,60,60,-30,0,80,20,0.6,False,0.686,0
left,20,100,80,40,-30,0,20,100,0.1,False,1.438,0
