feature_TimeofDay,feature_Direction,feature_RoadFriction,feature_FogDensity,feature_Precipitation,feature_PrecipitationDeposits,feature_Cloudiness,feature_WindIntensity,feature_Wetness,feature_FogDistance,collision,min_ttc,run_duration,algo_safety
90,left,0.1,100,0,0,80,80,60,0,0,1.3251487104047008,79.92966175079346,0
0,left,0.8,40,40,40,0,80,80,100,0,1.904200428390012,79.48115730285645,0
-90,left,0.8,80,40,100,40,80,40,20,0,0.6260730471163298,88.37674403190613,0
30,left,0.2,40,80,80,40,0,40,40,0,1.0783238748681268,81.50485062599182,0
60,right,0.6,40,0,0,0,60,40,60,0,1.6463692927583533,159.91688537597656,0
-90,right,1.0,60,20,20,100,20,100,100,0,0.7921811494786231,114.06764030456544,0
-90,left,0.4,20,80,0,60,100,40,60,0,0.9507236756374304,106.90713763237,0
-90,left,0.6,0,60,40,20,80,100,40,0,1.44861684634514,81.99194097518921,0
-90,right,0.4,60,20,40,20,0,40,20,0,0.7568154623905993,162.0275354385376,0
-60,left,0.1,20,0,40,0,60,0,40,0,1.3821676068110151,82.01857781410217,0
30,right,0.1,20,40,20,40,40,80,20,0,1.8228534063162036,107.748126745224,0
-60,left,1.0,0,100,0,0,100,60,60,0,1.422227415471124,82.27530431747437,0
90,left,0.1,0,100,20,0,0,0,20,0,1.3609285365562416,79.09658360481262,0
-60,right,0.4,80,0,40,0,100,20,0,0,0.7985654606493683,162.04885172843933,0
-90,left,1.0,60,60,100,20,100,0,80,0,1.371838991444427,83.51471829414368,0
-60,left,0.1,60,80,60,60,60,20,0,0,0.9422641397454588,101.46736335754396,0
-60,left,0.2,40,20,40,80,20,20,100,0,1.4504261390987585,82.28979420661926,0
-30,right,0.8,0,0,60,60,20,60,100,0,0.8580749594270777,93.41603446006776,0
60,left,1.0,0,80,20,100,80,80,0,0,1.4103655869070475,79.611337184906,0
-90,left,0.4,100,20,60,100,40,60,40,0,1.381969437473443,82.80949854850769,0
-30,left,0.4,0,0,20,40,100,40,40,0,1.7454563516969548,83.03997349739075,0
-30,left,0.2,100,0,20,20,0,100,80,0,0.943090980215698,106.71398520469666,0
-90,left,0.4,60,20,100,40,40,60,0,0,0.6138698582937421,92.68445491790771,0
0,left,0.6,40,60,80,20,80,20,0,0,1.4266197937210447,82.1315085887909,0
0,right,1.0,60,40,80,80,20,0,40,0,1.83537280897317,172.89458918571472,0
0,left,0.1,80,100,60,20,60,80,60,0,1.7190530872832834,79.96200609207153,0
30,left,0.1,80,100,40,100,20,60,100,0,1.556711895052847,79.23378205299377,0
-90,right,0.8,0,40,80,20,100,20,20,0,0.7088417433956384,162.51812505722046,0
-60,right,1.0,40,80,80,60,40,20,20,0,0.7317454360738019,106.347238779068,0
-60,right,0.6,100,0,100,40,0,20,80,0,0.9413046807961704,114.58831429481506,0
90,left,0.8,40,0,40,20,40,20,80,0,1.374947814445188,78.73905992507935,0
-30,left,0.4,100,40,100,80,40,80,0,0,0.8876190376762653,105.58973336219788,0
30,left,0.2,0,100,80,100,60,0,20,0,1.197482852494838,79.89313340187073,0
-90,left,0.8,20,80,0,80,0,20,0,0,1.3985825888494403,82.09643721580505,0
-60,right,0.2,100,20,80,80,40,0,20,0,0.9252697525214152,114.7426826953888,0
-30,right,0.4,40,20,40,60,80,100,60,0,0.8827121147090355,99.2187113761902,0
90,left,1.0,60,20,100,0,0,60,60,0,1.415541018433075,79.56320762634277,0
90,right,0.8,20,0,0,100,100,80,40,0,2.0266770315048164,159.63676524162292,0
0,right,0.8,80,20,60,40,100,60,80,0,1.7906051980001385,164.62567520141602,0
-90,right,0.1,60,0,80,40,100,0,100,0,0.7995138194181205,163.01245880126953,0
30,right,1.0,20,60,100,0,80,80,100,0,0.6120419367449765,86.94768404960632,0
-60,right,0.6,100,100,60,60,100,40,20,0,0.6212656912281522,99.21127915382384,0
90,right,1.0,20,40,40,40,100,100,80,0,1.1068997666095504,148.98979020118713,0
90,right,1.0,0,60,0,20,60,40,100,0,2.47373676773128,117.32262969017027,0
60,left,0.2,0,40,60,20,0,60,60,0,1.4288726569518797,80.7303364276886,0
60,right,0.2,20,100,20,60,80,40,100,0,1.7210136494656605,170.12113547325134,0
