feature_Direction,feature_Cloudiness,feature_Precipitation,feature_PrecipitationDeposits,feature_WindIntensity,feature_TimeOfDay,feature_FogDensity,feature_FogDistance,feature_Wetness,feature_RoadFriction,Collision,MinTTC,algo_safety
left,80,0,40,80,90,40,80,0,1.0,False,1.16,0
right,80,20,60,0,60,100,20,40,0.1,False,0.73,0
right,40,40,0,60,90,0,20,20,1.0,False,0.875,0
right,100,80,100,60,-60,80,20,20,0.2,False,0.795,0
left,80,40,80,40,30,80,20,40,1.0,False,1.214,0
right,40,80,40,80,60,0,20,60,0.1,False,0.776,0
right,100,20,100,20,-60,20,100,40,0.2,False,0.684,0
right,60,20,80,100,-30,100,60,60,0.6,False,0.817,0
left,100,0,60,80,60,40,100,40,0.6,False,1.051,0
right,40,80,0,100,-90,100,60,100,1.0,False,0.916,0
right,0,80,60,20,0,20,60,40,0.4,False,0.868,0
right,40,80,80,20,30,60,40,100,0.1,False,0.786,0
left,0,100,60,0,-90,20,60,60,0.1,False,1.153,0
right,20,100,20,100,-30,20,40,0,1.0,False,5.233,0
right,40,0,40,100,60,20,0,60,1.0,False,0.749,0
right,100,100,20,60,60,0,100,0,0.1,False,0.796,0
left,60,0,20,80,-60,80,100,60,0.1,False,1.11,0
left,100,40,0,60,60,20,60,0,0.2,False,1.179,0
right,0,100,0,0,-30,40,40,20,0.6,False,0.922,0
left,100,100,20,0,30,80,0,80,1.0,False,1.132,0
left,60,40,100,20,60,100,20,60,0.8,False,1.212,0
right,20,0,0,20,90,0,80,100,0.6,False,1.005,0
right,60,40,20,20,-30,100,0,20,0.8,False,0.898,0
right,100,0,100,40,-60,80,80,80,0.2,False,0.897,0
right,40,100,0,20,0,60,0,20,0.6,False,0.926,0
left,80,0,40,40,-60,60,80,60,0.4,False,1.128,0
left,60,0,0,80,-90,0,40,20,0.1,False,1.024,0
left,60,80,40,100,60,80,60,60,1.0,False,1.271,0
right,0,100,80,80,30,20,40,0,0.4,False,0.806,0
left,80,20,20,80,-30,60,80,100,1.0,False,1.135,0
left,40,100,60,100,90,20,0,20,0.1,False,1.171,0
right,0,60,80,80,-90,40,100,100,1.0,False,0.858,0
left,0,0,100,20,60,0,20,60,0.4,False,1.089,0
right,20,40,20,100,90,40,100,0,0.1,False,0.84,0
right,60,40,80,0,-30,100,80,100,0.1,False,0.734,0
right,60,80,40,0,0,80,20,40,0.2,False,0.892,0
right,0,80,100,100,-90,20,100,80,0.1,False,0.907,0
left,0,20,0,60,-30,60,20,20,0.1,False,1.135,0
right,20,40,20,60,60,40,40,0,0.8,False,0.915,0
right,0,80,100,0,-60,20,80,0,0.6,False,0.986,0
left,60,40,40,40,-90,80,60,0,0.4,False,1.051,0
left,40,80,40,100,30,20,60,40,0.8,False,1.04,0
right,20,100,80,20,-60,0,60,0,0.2,False,0.868,0
right,100,100,0,40,-90,100,60,100,1.0,False,0.825,0
right,0,20,80,20,0,60,0,20,1.0,False,0.952,0
right,0,0,20,80,0,100,40,60,1.0,False,0.931,0
left,80,0,80,20,60,60,0,80,0.8,False,1.154,0
left,60,100,20,20,-30,40,40,60,1.0,False,1.102,0
right,40,60,40,20,-90,20,20,80,0.1,False,0.793,0
left,0,20,60,60,-30,60,0,80,0.4,False,1.233,0
left,60,40,60,40,90,0,0,20,1.0,False,1.124,0
right,100,100,80,0,-60,40,20,0,1.0,False,0.95,0
left,40,60,80,0,60,40,40,20,0.1,False,1.181,0
right,60,80,100,80,-60,0,60,0,0.2,False,0.87,0
left,0,0,20,20,-60,60,40,100,1.0,False,1.239,0
left,80,80,40,0,-90,0,20,100,0.6,False,2.699,0
left,0,40,0,0,0,0,20,80,0.6,False,1.092,0
right,60,0,60,100,0,20,40,20,0.2,False,0.736,0
right,40,60,20,0,30,80,80,20,1.0,False,0.849,0
right,60,60,80,60,-90,0,40,60,0.2,False,0.867,0
right,20,100,80,20,60,80,0,60,1.0,False,0.788,0
right,60,80,60,40,30,80,40,60,0.4,False,0.752,0
left,0,40,80,20,-90,40,0,60,0.8,False,1.263,0
right,80,20,20,0,-60,100,20,40,0.8,False,0.749,0
left,20,80,60,40,90,20,20,20,0.8,False,1.166,0
right,100,100,40,80,-90,100,100,40,0.8,False,0.836,0
left,80,20,60,80,-30,20,60,0,0.1,False,0.974,0
left,20,80,20,0,30,60,0,40,0.8,False,1.215,0
left,20,40,100,20,90,40,0,0,0.2,False,1.22,0
left,0,80,40,0,-30,100,100,60,0.8,False,1.119,0
left,40,40,40,20,-60,100,60,100,0.6,False,1.158,0
right,20,100,80,100,30,40,20,100,0.8,False,0.886,0
left,60,40,100,100,-30,20,20,100,0.1,False,1.113,0
right,80,0,20,80,-30,80,20,100,0.8,False,0.798,0
left,60,20,40,100,-90,20,40,40,0.2,False,1.034,0
left,100,100,100,100,-30,60,0,40,0.2,False,0.631,0
left,100,0,40,40,90,0,100,0,0.1,False,1.216,0
right,60,100,60,20,0,60,60,40,0.8,False,0.996,0
right,0,60,80,100,90,100,20,20,0.6,False,0.799,0
left,0,40,0,40,-30,0,0,40,0.2,False,1.213,0
right,20,100,0,80,-90,40,80,80,0.6,False,0.859,0
left,60,100,20,80,0,20,0,0,0.4,False,1.043,0
left,20,60,100,80,60,100,80,40,1.0,False,1.174,0
