feature_Direction,feature_Cloudiness,feature_Precipitation,feature_PrecipitationDeposits,feature_WindIntensity,feature_TimeOfDay,feature_FogDensity,feature_FogDistance,feature_Wetness,feature_RoadFriction,Collision,MinTTC,algo_safety
right,40,0,0,100,-90,60,20,40,1.0,False,0.736,0
right,0,20,20,40,0,20,100,0,0.2,False,1.03,0
left,40,40,0,60,-90,100,40,0,0.4,False,1.143,0
right,20,100,60,100,0,100,0,0,0.6,False,0.889,0
right,60,20,80,0,-60,100,60,60,0.1,False,0.865,0
left,40,0,40,100,-60,20,60,60,0.6,False,1.047,0
left,80,40,40,20,30,100,80,80,0.4,False,1.182,0
left,100,60,80,60,90,0,0,40,0.4,False,1.192,0
left,60,100,40,100,30,0,0,20,0.4,False,1.091,0
right,80,0,100,0,-30,100,100,60,0.8,False,0.923,0
right,100,0,60,40,0,100,0,100,0.2,False,0.792,0
left,100,20,60,20,0,80,20,100,1.0,False,1.15,0
left,100,80,60,60,60,0,0,60,0.1,False,1.092,0
right,60,60,80,80,-60,60,20,0,0.4,False,0.87,0
left,40,40,60,40,-30,60,60,20,0.6,False,3.134,0
right,60,20,100,60,90,100,100,0,0.2,False,0.788,0
right,0,20,60,40,30,20,100,40,0.6,False,0.856,0
left,40,100,100,60,60,100,40,100,0.8,False,1.105,0
left,0,60,100,100,-60,60,20,0,0.4,False,1.017,0
right,80,0,0,40,90,40,0,60,0.4,False,0.783,0
left,0,0,20,80,30,100,100,40,0.1,False,1.12,0
right,0,100,40,40,-60,80,80,100,0.2,False,0.922,0
right,100,0,100,60,-30,0,80,80,0.1,False,0.916,0
right,80,40,80,20,60,40,100,40,0.6,False,0.855,0
left,40,100,60,80,30,100,60,100,1.0,False,1.215,0
right,20,60,80,40,0,0,0,80,0.1,False,0.812,0
right,80,80,100,80,-60,0,40,0,0.6,False,0.926,0
left,20,80,0,20,-90,0,20,0,0.4,False,1.005,0
left,60,100,40,60,90,0,40,40,0.2,False,1.144,0
left,20,80,80,40,90,80,60,20,0.2,False,1.108,0
right,100,40,40,40,-60,60,40,100,1.0,False,0.939,0
left,20,80,20,20,0,100,80,100,0.1,False,1.182,0
right,40,80,0,20,-30,40,20,80,1.0,False,0.846,0
right,20,40,0,0,0,0,60,60,0.1,False,0.858,0
right,40,40,60,40,90,60,100,100,0.8,False,0.961,0
left,80,20,40,60,-90,0,40,60,0.6,False,1.055,0
left,40,80,80,40,-60,40,80,40,0.6,False,1.048,0
left,60,80,0,0,0,0,0,20,1.0,False,1.102,0
right,100,40,80,40,0,80,20,100,0.1,False,0.844,0
right,0,0,40,0,-30,80,60,60,1.0,False,0.764,0
left,40,80,20,80,90,20,100,100,0.4,False,1.221,0
left,60,80,80,100,30,40,60,60,0.6,False,1.162,0
left,0,40,40,60,-30,60,20,20,0.8,False,1.108,0
right,80,100,0,0,90,60,80,20,0.1,False,0.828,0
