Row,startego,goalego,startother,goalother,cloudiness,precipitation,precipitationdeposits,windintensity,fogdensity,fogdistance,wetness,roadfriction
scenario304,2,0,1,0,0,60,100,40,40,0,100,0.8
scenario305,0,1,2,0,40,20,60,20,100,80,80,0.4
scenario306,1,0,2,0,0,40,60,60,40,40,100,0.4
scenario307,2,0,1,0,20,100,20,80,20,80,60,0.6
scenario308,0,2,1,2,0,20,100,0,20,20,0,0.8
scenario309,2,0,1,0,40,100,40,100,60,80,80,0.8
scenario310,0,1,2,0,20,0,100,40,100,80,80,0.4
scenario311,2,1,0,1,40,100,40,60,40,0,0,1
scenario312,1,2,0,2,0,80,0,100,60,60,100,0.2
scenario313,0,1,1,2,0,80,80,0,80,100,40,1
scenario314,0,2,1,2,0,20,60,0,60,60,40,0.4
scenario315,2,0,1,0,0,40,100,20,40,0,100,0.2
scenario316,1,2,2,0,0,100,40,40,40,0,0,1
scenario317,2,0,1,2,0,60,0,20,40,20,100,0.6
scenario318,2,0,1,2,0,60,100,80,60,100,80,1
scenario319,2,0,1,0,60,0,20,80,100,20,20,0.8
scenario320,2,0,1,2,0,100,80,100,80,20,100,0.4
scenario321,0,1,2,0,0,100,80,60,80,0,80,0.1
scenario322,2,0,1,2,0,0,20,80,80,0,0,0.8
scenario323,2,0,1,2,20,100,100,0,100,0,100,0.1
scenario324,1,2,2,0,0,100,80,20,80,0,100,0.6
scenario325,2,0,1,2,40,100,80,100,80,0,100,0.2
scenario326,0,1,1,2,0,100,80,20,80,20,100,0.1
scenario327,2,0,1,2,0,60,100,80,60,100,80,1
scenario328,2,0,1,2,20,80,100,0,60,80,60,0.4
scenario329,0,1,1,2,0,100,80,40,80,0,100,0.1
scenario330,2,0,1,2,0,60,100,80,60,100,80,1
scenario331,2,0,1,2,0,80,80,60,40,100,60,0.8
scenario332,0,1,1,2,0,60,100,80,80,100,80,1
scenario333,2,0,1,2,20,80,80,60,40,80,100,0.8
scenario334,0,1,1,2,0,80,20,80,80,100,100,0.2
scenario335,2,0,1,2,0,80,100,100,40,100,60,0.8
scenario336,1,2,2,0,0,80,100,80,60,100,80,1
scenario337,2,0,1,2,40,80,100,100,60,100,60,1
scenario338,2,0,1,2,0,40,20,80,40,100,80,1
scenario339,2,0,1,2,0,0,100,60,80,80,80,0.8
scenario340,1,2,2,0,20,40,100,60,60,100,60,1
scenario341,0,1,1,2,20,60,20,80,80,100,60,1
scenario342,2,0,1,2,0,60,100,80,60,100,80,1
scenario343,0,1,1,2,20,60,40,100,60,100,60,0.2
scenario344,2,0,0,1,0,0,60,40,60,80,100,0.6
scenario345,0,1,1,2,20,100,0,40,60,20,100,0.8
scenario346,2,0,1,0,20,80,100,100,60,60,60,1
scenario347,1,0,2,0,0,20,20,80,20,100,40,1
scenario348,2,0,1,2,40,40,0,60,80,100,40,1
scenario349,2,0,1,2,0,60,40,60,60,100,100,0.4
scenario350,1,0,2,0,0,100,80,80,60,80,100,0.8
scenario351,2,0,1,2,0,60,100,60,60,100,80,1
scenario352,0,1,1,2,0,80,40,80,40,100,100,0.2
scenario353,1,0,2,0,40,60,100,60,60,100,80,1
scenario354,1,0,2,0,0,100,80,80,60,80,100,0.8
scenario355,0,1,1,2,0,40,0,80,60,100,80,0.8
scenario356,1,0,2,0,0,100,100,20,60,80,100,1
scenario357,0,1,1,2,20,60,40,100,40,100,100,0.2
scenario358,2,0,1,2,20,80,40,100,60,100,60,1
scenario359,0,1,2,1,60,20,40,20,80,80,0,0.8
scenario360,2,0,1,2,0,60,40,80,40,20,60,1
scenario361,1,2,0,1,0,100,20,80,40,100,100,0.1
scenario362,0,1,2,0,0,100,80,100,20,80,100,1
scenario363,2,1,0,1,40,80,100,100,40,40,60,1
scenario364,2,0,1,2,20,80,100,80,60,20,60,1
scenario365,2,0,1,2,0,80,60,80,40,100,100,0.1
scenario366,1,0,2,0,0,100,100,20,60,80,100,1
scenario367,1,0,2,0,20,60,40,100,60,80,80,0.4
scenario368,1,2,0,2,0,80,80,20,20,100,100,1
scenario369,0,1,1,2,0,100,20,80,20,0,100,0.1
scenario370,2,0,1,2,40,80,80,80,60,20,80,1
scenario371,1,0,2,0,0,0,80,80,20,100,80,0.2
scenario372,0,2,1,2,0,100,20,80,40,80,100,0.1
scenario373,2,1,0,1,20,60,100,80,20,40,60,1
scenario374,0,1,2,0,20,100,100,100,20,80,100,1
scenario375,2,0,1,2,20,80,40,100,0,40,40,1
scenario376,0,1,1,2,0,40,80,20,60,100,80,0.6
scenario377,0,1,2,1,0,100,80,100,20,80,100,1
scenario378,1,0,2,0,0,100,100,20,60,80,100,1
scenario379,2,0,1,2,0,100,0,100,20,20,80,0.1
scenario380,1,2,2,0,40,100,100,100,20,100,100,0.1
scenario381,2,0,0,1,100,60,60,80,60,80,80,0.8
scenario382,1,2,0,2,20,80,100,40,40,100,80,1
scenario383,0,2,1,2,0,100,40,80,40,60,0,0.4
scenario384,2,0,0,1,20,60,20,60,40,60,80,1
scenario385,0,1,1,2,0,0,60,40,60,80,60,0.8
scenario386,0,1,2,1,0,60,60,20,60,100,60,0.8
scenario387,1,2,2,0,0,80,100,80,40,40,60,1
scenario388,1,0,2,0,0,20,100,40,40,80,60,0.2
scenario389,0,1,2,1,0,0,100,80,20,80,100,1
scenario390,1,2,0,1,100,100,20,100,0,60,0,0.2
scenario391,1,2,0,2,80,0,0,100,60,100,60,0.1
scenario392,1,2,0,2,100,60,0,100,100,80,100,0.4
scenario393,1,2,0,2,100,60,0,0,0,0,40,0.8
