Visibility,VehicleStability,RoadSurface,PathInteraction,PrecipitationDeposits,RoadFriction,WindIntensity,StartEgo,GoalEgo,GoalOther,Wetness,Precipitation,FogDistance,StartOther,FogDensity,Cloudiness,Min_TTC,Collision_Occurred
40,80,40,1,20,0.2,60,left,right,base,40,20,60,right,20,20,2.796638300655098,False
40,80,40,2,20,0.4,80,right,left,base,20,20,60,left,40,60,3.1796740533267958,False
40,80,40,4,80,0.1,80,left,right,left,20,60,100,base,0,40,9.282640670814217,False
40,80,60,1,20,0.8,20,right,base,right,20,40,20,left,20,80,0.8669447324701453,False
40,80,60,2,80,0.2,100,left,base,left,20,60,100,base,20,80,3.6508572210744763,False
40,80,60,4,20,0.4,0,right,base,base,20,20,20,left,80,0,2.6979600955581113,False
40,80,80,1,40,0.4,40,base,right,right,20,40,100,left,0,80,4.348950766277761,False
40,80,80,2,20,1.0,40,right,left,right,0,20,100,base,20,80,0.8240994275743311,False
40,80,80,4,0,0.8,60,right,left,right,20,0,0,base,100,0,0.0,True
40,80,100,1,60,0.2,40,right,left,base,40,40,80,left,0,80,3.5950088297093905,False
40,80,100,2,60,0.2,0,base,right,base,60,40,20,left,60,80,3.4582302027188314,False
40,80,100,4,40,0.8,20,left,base,right,20,40,80,base,40,40,4.482527068748955,False
40,100,0,1,0,1.0,40,left,base,right,0,20,20,base,60,80,5.1727168980952225,False
40,100,0,2,80,0.2,0,right,base,base,40,80,40,left,40,100,2.8337143830088585,False
40,100,0,4,60,0.6,60,base,left,base,20,40,80,left,40,20,2.5472171132249564,False
40,100,20,1,20,0.4,80,base,left,base,20,20,40,left,60,60,2.450203757131952,False
40,100,20,2,20,0.4,20,base,left,base,40,20,40,right,60,40,2.298280246831582,False
40,100,20,4,40,0.2,60,base,left,base,40,40,20,right,40,60,1.855360482256958,False
40,100,40,1,20,0.6,20,base,left,base,40,40,60,left,40,60,1.9523822039995022,False
40,100,40,2,20,0.6,0,right,left,base,20,20,80,left,20,100,3.5859392459185795,False
40,100,40,4,20,1.0,60,base,right,right,40,20,60,left,80,20,0.0,True
40,100,60,1,80,0.4,80,left,base,left,20,60,100,right,20,100,1.3782022087990211,False
40,100,60,2,40,0.6,80,right,left,left,40,20,60,base,20,40,3.381862134377994,False
40,100,60,4,40,0.6,80,left,right,base,20,60,80,right,20,100,4.396099354081268,False
40,100,80,1,80,0.4,0,base,right,right,20,60,20,left,60,100,3.008312853695744,False
40,100,80,2,20,0.8,0,base,left,left,20,20,0,right,40,20,3.4178489929515607,False
40,100,80,4,60,0.2,40,base,left,left,60,60,100,right,0,100,6.413460953837596,False
40,100,100,1,80,0.1,40,left,base,right,80,100,60,base,20,80,5.3964734595441115,False
40,100,100,2,60,0.1,40,base,left,left,40,40,40,right,80,60,2.912205887418413,False
40,100,100,4,60,0.1,100,left,right,base,80,60,100,right,40,80,4.611147183462636,False
60,0,0,1,40,0.6,40,right,base,base,40,40,40,left,60,40,2.788274782155774,False
60,0,0,2,20,0.2,20,right,left,right,60,40,0,left,80,60,3.160959108733526,False
60,0,0,4,20,0.6,100,base,right,base,40,20,40,right,60,60,2.1432999878013907,False
60,0,20,1,20,0.6,20,right,base,left,20,20,0,base,60,80,2.3280413759091427,False
60,0,20,2,20,1.0,20,right,left,base,0,40,20,left,20,20,3.751514720521674,False
60,0,20,4,60,0.4,40,right,base,left,20,40,60,base,40,40,2.8586086881212704,False
60,0,40,1,40,0.6,20,base,left,left,20,40,60,right,60,60,3.531043438170488,False
60,0,40,2,20,0.1,100,right,base,right,60,40,100,left,0,80,0.9148881937826361,False
60,0,40,4,60,0.1,40,right,left,right,60,40,80,base,20,60,0.0,True
60,0,60,1,60,0.4,80,base,left,base,40,60,60,right,40,100,2.019398972408661,False
60,0,60,2,40,0.1,60,base,right,base,60,40,60,left,20,40,3.2809594822337798,False
60,0,60,4,0,1.0,20,right,left,base,0,20,40,left,40,100,6.435750349093061,False
60,0,80,1,60,0.1,40,base,left,base,80,80,40,left,60,100,1.8432006923027726,False
60,0,80,2,60,0.2,80,left,right,right,60,60,100,base,20,40,4.78950294454663,False
60,0,80,4,60,0.1,0,base,left,left,60,40,20,right,60,100,2.9522619724930004,False
60,0,100,1,60,0.1,20,base,left,base,60,80,40,left,20,80,2.5546145763759753,False
60,0,100,2,0,0.6,80,left,base,right,40,20,80,base,20,60,5.689514448030364,False
60,0,100,4,20,0.8,80,left,right,right,0,0,60,base,20,60,9.938507622913946,False
60,20,0,1,60,0.6,20,right,left,right,40,60,40,left,40,100,0.7982684759792237,False
60,20,0,2,20,0.8,0,right,left,right,20,40,60,base,60,60,0.0,True
60,20,0,4,20,1.0,0,right,left,left,0,20,0,base,100,0,2.9041377220197537,False
60,20,20,1,40,0.6,60,right,left,right,40,40,40,base,40,20,0.7467611667431509,False
60,20,20,2,100,0.1,0,base,left,right,40,100,80,left,0,80,3.3524983591923085,False
60,20,20,4,40,0.1,100,base,left,right,40,60,100,left,0,80,2.1407300863646554,False
60,20,40,1,60,0.1,60,right,base,base,60,80,60,left,40,80,2.5891298613705698,False
60,20,40,2,60,0.1,40,right,base,right,60,80,100,left,20,80,3.7734856782069057,False
