Visibility,VehicleStability,RoadSurface,PathInteraction,StartEgo,RoadFriction,StartOther,Cloudiness,WindIntensity,Wetness,FogDistance,GoalEgo,FogDensity,PrecipitationDeposits,GoalOther,Precipitation,Collision_Occurred,Min_TTC
40,20,60,1,left,0.2,base,40,80,40,20,right,60,20,left,40,False,4.578044539092433
40,20,60,2,right,0.2,base,40,80,40,20,left,60,20,left,40,False,2.611717742617078
40,20,60,4,left,0.2,right,40,80,40,20,right,60,20,base,40,False,3.4136332933677167
40,20,80,1,left,0.4,base,0,20,20,20,right,40,20,left,0,False,6.130685257611018
40,20,80,2,right,0.4,base,0,20,20,20,left,40,20,left,0,False,2.55531644035799
40,20,80,4,left,0.4,right,0,20,20,20,right,40,20,base,0,False,4.262081037663703
40,20,100,1,left,0.6,base,20,0,20,40,right,20,0,left,20,False,7.582431892992868
40,20,100,2,right,0.6,base,20,0,20,40,left,20,0,left,20,False,4.038206490624274
40,20,100,4,left,0.6,right,20,0,20,40,right,20,0,base,20,False,4.459171837802138
40,40,0,1,left,0.1,base,20,20,60,40,right,0,20,left,40,False,6.156081076317362
40,40,0,2,right,0.1,base,20,20,60,40,left,0,20,left,40,False,3.3539586584563215
40,40,0,4,left,0.1,right,20,20,60,40,right,0,20,base,40,False,4.446110554708934
40,40,20,1,left,0.1,base,40,20,40,20,right,20,40,left,20,False,6.952187007531265
40,40,20,2,right,0.1,base,40,20,40,20,left,20,40,left,20,False,3.180714776648594
40,40,20,4,left,0.1,right,40,20,40,20,right,20,40,base,20,False,4.442347656811413
40,40,40,1,left,0.1,base,20,0,60,60,right,60,20,left,40,False,4.864079461850182
40,40,40,2,right,0.1,base,20,0,60,60,left,60,20,left,40,False,3.3840521689554772
40,40,40,4,left,0.1,right,20,0,60,60,right,60,20,base,40,False,2.8245919883930566
40,40,60,1,left,0.8,base,40,0,40,60,right,0,40,left,60,False,6.274752732931318
40,40,60,2,right,0.8,base,40,0,40,60,left,0,40,left,60,False,3.6785329335798584
40,40,60,4,left,0.8,right,40,0,40,60,right,0,40,base,60,False,3.6276144524178306
40,40,80,1,left,0.4,base,0,20,20,20,right,40,20,left,0,False,6.4229265508343225
40,40,80,2,right,0.4,base,0,20,20,20,left,40,20,left,0,False,2.597566744871275
40,40,80,4,left,0.4,right,0,20,20,20,right,40,20,base,0,False,4.4126020667463965
40,40,100,1,left,0.6,base,0,20,20,20,right,60,0,left,20,False,5.0980959034926165
40,40,100,2,right,0.6,base,0,20,20,20,left,60,0,left,20,False,3.165706601698169
40,40,100,4,left,0.6,right,0,20,20,20,right,60,0,base,20,True,9999.0
40,60,0,1,left,0.4,base,60,20,20,40,right,60,100,left,80,False,4.91693869455306
40,60,0,2,right,0.4,base,60,20,20,40,left,60,100,left,80,True,4.73651179672899
40,60,0,4,left,0.4,right,60,20,20,40,right,60,100,base,80,False,4.729604339745584
40,60,20,1,left,0.4,base,0,60,20,40,right,100,20,left,0,False,6.190907040929037
40,60,20,2,right,0.4,base,0,60,20,40,left,100,20,left,0,False,2.962649923706773
40,60,20,4,left,0.4,right,0,60,20,40,right,100,20,base,0,False,3.4252172111342047
40,60,40,1,left,0.8,base,40,0,40,40,right,80,40,left,60,False,6.080580888712071
40,60,40,2,right,0.8,base,40,0,40,40,left,80,40,left,60,False,2.4807396943492868
40,60,40,4,left,0.8,right,40,0,40,40,right,80,40,base,60,False,5.120760312113044
40,60,60,1,left,0.2,base,20,20,60,40,right,60,20,left,40,False,5.3421321871007486
40,60,60,2,right,0.2,base,20,20,60,40,left,60,20,left,40,False,2.380853577831247
40,60,60,4,left,0.2,right,20,20,60,40,right,60,20,base,40,False,3.1547561757787475
40,60,80,1,left,0.4,base,60,20,20,100,right,20,80,left,80,False,5.984018366333018
40,60,80,2,right,0.4,base,60,20,20,100,left,20,80,left,80,False,3.715121472038858
40,60,80,4,left,0.4,right,60,20,20,100,right,20,80,base,80,False,4.868077612395691
40,60,100,1,left,0.6,base,60,60,20,80,right,60,0,left,20,False,6.0035821752596314
40,60,100,2,right,0.6,base,60,60,20,80,left,60,0,left,20,False,3.1508410149763324
40,60,100,4,left,0.6,right,60,60,20,80,right,60,0,base,20,False,4.379284680262896
40,80,0,1,left,0.4,base,60,0,20,40,right,80,100,left,80,False,5.75156726385234
40,80,0,2,right,0.4,base,60,0,20,40,left,80,100,left,80,False,3.0780959518224287
40,80,0,4,left,0.4,right,60,0,20,40,right,80,100,base,80,False,4.759531756677981
40,80,20,1,left,0.4,base,80,0,20,60,right,60,20,left,0,False,5.54027250585915
40,80,20,2,right,0.4,base,80,0,20,60,left,60,20,left,0,False,3.2012449324552024
40,80,20,4,left,0.4,right,80,0,20,60,right,60,20,base,0,False,3.412485337447073
40,80,40,1,left,0.6,base,80,40,0,40,right,100,20,left,0,False,4.517120600604821
40,80,40,2,right,0.6,base,80,40,0,40,left,100,20,left,0,False,2.605402849446706
40,80,40,4,left,0.6,right,80,40,0,40,right,100,20,base,0,False,4.743920038085391
40,80,60,1,left,0.4,base,0,0,20,20,right,60,20,left,0,False,6.168510621057423
40,80,60,2,right,0.4,base,0,0,20,20,left,60,20,left,0,False,2.4534999774893484
40,80,60,4,left,0.4,right,0,0,20,20,right,60,20,base,0,False,3.7776774560082576
40,80,80,1,left,0.6,base,60,40,40,100,right,20,60,left,80,False,5.919242620215702
40,80,80,2,right,0.6,base,60,40,40,100,left,20,60,left,80,False,3.3416822607130143
