Instances,PathInteraction,feature_StartEgo,feature_GoalEgo,feature_StartOther,feature_GoalOther,feature_Cloudiness,feature_Precipitation,feature_PrecipitationDeposits,feature_WindIntensity,feature_FogDensity,feature_FogDistance,feature_Wetness,feature_RoadFriction,Collision,MinTTC,algo_safety
scenario255,c2,base,left,right,left,80,0,40,20,20,0,0,0.6,False,723.762,0
scenario256,c4,right,base,left,right,60,60,60,60,80,20,60,0.8,True,0.0,1
scenario257,c1,left,right,base,left,80,40,40,20,40,40,0,0.8,False,6.183,0
scenario258,c2,base,left,right,base,60,20,40,80,20,80,100,1.0,False,1.774,0
scenario259,c2,right,left,base,left,100,0,40,40,20,0,20,0.4,False,3.298,0
scenario260,c4,left,base,right,base,100,80,40,60,40,20,0,0.8,False,3.254,0
scenario261,c4,left,base,right,base,80,20,80,20,40,40,20,0.8,False,6.708,0
scenario262,c4,left,base,right,base,20,0,0,40,100,0,0,0.6,False,1.734,0
scenario263,c1,left,right,base,left,60,0,0,60,20,80,20,1.0,False,13.774,0
scenario264,c1,base,left,left,right,60,0,40,60,20,0,60,0.8,False,3.885,0
scenario265,c4,right,base,left,right,60,60,60,60,80,20,60,0.8,False,1.342,0
scenario266,c1,base,left,left,right,80,0,0,60,20,80,40,1.0,False,2.513,0
scenario267,c1,left,right,base,right,60,0,60,60,0,100,80,1.0,False,8.757,0
scenario268,c4,right,base,left,base,100,80,20,60,40,80,0,0.6,False,83.249,0
scenario269,c4,left,base,right,base,0,0,0,20,80,0,0,0.8,False,2.533,0
scenario270,c4,left,base,right,base,100,20,100,40,40,40,40,0.8,False,2.742,0
scenario271,c1,base,left,left,right,80,40,40,40,0,40,0,0.8,False,4.539,0
scenario272,c4,right,base,left,right,0,20,80,20,60,60,60,0.8,False,4523.505,0
scenario273,c4,right,base,left,right,60,40,80,40,40,40,20,1.0,False,1.378,0
scenario274,c4,right,base,left,right,60,80,40,80,80,40,40,0.8,False,1.289,0
scenario275,c4,left,right,right,base,100,20,80,20,40,60,20,0.1,False,3.949,0
scenario276,c2,base,left,right,left,100,20,80,40,60,40,60,0.8,False,3.661,0
scenario277,c4,right,base,left,right,60,80,40,80,80,40,40,0.8,True,0.0,1
scenario278,c1,left,right,base,right,20,0,80,80,20,100,60,1.0,False,7.616,0
scenario279,c1,base,right,left,right,60,40,60,40,0,20,0,0.4,False,3.31,0
scenario280,c2,right,base,base,left,20,20,20,0,80,80,80,0.8,False,2.806,0
scenario281,c1,base,left,left,right,80,0,60,40,60,40,0,0.2,False,2.369,0
scenario282,c2,base,left,right,left,100,40,60,20,40,80,0,0.2,False,97.442,0
scenario283,c4,left,right,right,base,0,40,80,20,80,60,60,0.8,False,4.823,0
scenario284,c4,left,base,right,base,100,40,100,40,60,20,20,0.8,False,3.812,0
scenario285,c2,base,left,right,left,100,0,100,80,60,40,60,0.8,False,2.991,0
scenario286,c4,right,base,left,base,40,80,60,60,80,20,60,0.8,False,20.789,0
scenario287,c1,left,right,base,right,80,20,0,40,20,80,80,0.1,False,9.237,0
scenario288,c4,right,base,left,right,60,40,40,40,0,40,60,1.0,False,2.552,0
scenario289,c4,right,base,left,right,0,60,100,80,60,100,80,1.0,False,4587.013,0
scenario290,c1,base,right,left,right,40,0,0,20,20,20,20,0.6,False,5.085,0
scenario291,c4,left,base,right,base,80,20,60,60,40,20,60,0.6,False,4.031,0
scenario292,c4,left,base,right,base,0,0,40,60,40,20,0,0.8,False,2.154,0
scenario293,c4,left,base,right,base,80,0,40,60,40,20,0,1.0,False,1.907,0
scenario294,c4,right,base,left,right,60,20,20,0,100,0,20,0.2,False,1.227,0
scenario295,c1,left,right,base,right,80,0,40,60,40,20,0,1.0,False,26.267,0
scenario296,c1,left,right,base,right,80,0,20,0,40,40,20,0.2,False,8.531,0
scenario297,c2,right,base,base,left,60,20,40,60,40,100,0,0.8,False,3.337,0
scenario298,c2,base,left,right,left,100,0,40,60,60,20,0,0.6,False,2.799,0
scenario299,c4,left,base,right,base,60,0,100,60,40,40,0,0.8,False,3.672,0
scenario300,c4,left,base,right,base,40,0,20,0,80,0,20,0.2,False,2.795,0
scenario301,c4,right,base,left,right,60,20,20,0,100,0,20,0.2,True,0.0,1
scenario302,c4,right,base,left,right,60,0,20,0,100,0,80,0.1,True,0.0,1
scenario303,c4,right,base,left,right,60,40,40,0,100,80,20,0.4,True,0.0,1
scenario304,c4,left,base,right,base,60,20,0,0,100,0,20,1.0,False,2.915,0
scenario305,c4,left,base,right,base,80,40,20,0,80,0,0,0.2,False,5.833,0
scenario306,c4,left,right,right,base,100,40,40,0,100,0,60,0.4,False,3.632,0
scenario307,c4,right,base,left,right,0,20,0,40,80,80,20,0.2,False,4534.635,0
scenario308,c4,right,base,left,base,40,20,20,0,100,0,40,0.4,False,4617.877,0
scenario309,c1,base,left,left,right,80,40,40,0,100,0,20,0.2,False,2.248,0
scenario310,c1,base,left,left,right,60,20,20,20,100,60,20,0.8,False,2.712,0
scenario311,c2,base,left,right,left,60,0,20,0,100,0,40,0.4,False,7.16,0
scenario312,c4,left,right,right,base,40,20,20,0,20,20,40,0.2,False,4.736,0
scenario313,c4,right,base,left,right,60,20,20,0,100,0,20,0.2,False,1.22,0
scenario314,c1,base,left,left,right,40,20,40,20,80,60,0,0.8,False,2.71,0
scenario315,c1,base,left,left,right,80,20,40,20,100,20,0,1.0,False,2.271,0
