Instances,PathInteraction,feature_StartEgo,feature_GoalEgo,feature_StartOther,feature_GoalOther,feature_RoadFriction,feature_FogDensity,feature_Precipitation,feature_PrecipitationDeposits,feature_Cloudiness,feature_WindIntensity,feature_Wetness,feature_FogDistance,collision,min_ttc,algo_safety
scenario211,c1,left,right,base,right,0.1,0,0,20,100,100,20,80,0,5.745230706682423,0
scenario212,c1,base,right,left,right,0.6,20,100,20,0,100,80,0,0,2.8094658552552563,0
scenario213,c4,left,right,right,base,0.1,80,100,0,80,0,80,40,0,3.37684676169034,0
scenario214,c4,left,base,right,base,0.6,40,40,80,0,0,40,100,0,1.781741880339568,0
scenario215,c2,base,left,right,left,1.0,80,20,20,0,60,20,60,0,3.1731329214144584,0
scenario216,c1,base,left,left,right,0.8,40,40,0,60,80,100,100,0,3.6627230384755856,0
scenario217,c2,base,left,right,left,1.0,20,100,0,20,40,0,100,0,3.335505221868482,0
scenario218,c2,base,left,right,base,0.4,60,0,40,40,20,100,60,1,0.0,1
scenario219,c2,base,left,right,left,0.6,40,0,40,80,100,40,80,0,3.4925494263092007,0
scenario220,c1,left,right,base,right,0.4,100,0,80,100,60,60,40,0,6.032002399495462,0
scenario221,c4,right,base,left,base,0.8,0,100,60,0,100,40,40,0,9.488080922161682,0
scenario222,c1,left,right,base,left,1.0,40,20,20,60,20,0,20,0,6.614438831324295,0
scenario223,c1,base,right,left,right,0.6,60,100,40,0,40,100,20,1,0.0,1
scenario224,c4,right,base,left,base,0.2,20,100,60,100,20,20,0,0,3.150664376984388,0
scenario225,c1,left,right,base,right,0.8,20,40,20,60,0,80,20,0,6.092348556657455,0
scenario226,c4,right,base,left,right,0.8,100,40,40,80,60,60,60,0,1.252328336884486,0
scenario227,c2,right,left,base,left,0.4,60,60,80,40,40,20,60,0,2.83242023454948,0
scenario228,c1,left,right,base,left,0.8,80,0,60,0,60,100,80,0,4.442304418159834,0
scenario229,c4,left,base,right,base,0.6,20,100,40,100,80,40,40,1,0.0,1
scenario230,c4,right,base,left,base,1.0,60,40,0,60,40,60,40,0,2.7009784578609057,0
scenario231,c4,right,base,left,base,0.6,40,60,0,60,100,20,0,0,2.863872635838344,0
scenario232,c4,left,base,right,base,0.8,80,60,40,80,60,20,100,0,3.340156578129218,0
scenario233,c1,left,right,base,left,0.4,40,40,80,40,100,0,80,0,6.863744600482733,0
scenario234,c1,base,right,left,right,0.1,20,100,100,60,60,80,100,0,2.847924032761892,0
scenario235,c1,base,right,left,right,1.0,60,60,20,80,40,100,80,0,2.7611599743270365,0
scenario236,c4,right,base,left,right,0.4,0,60,80,100,60,80,80,0,1.31639311693385,0
scenario237,c1,left,right,base,right,0.1,100,100,60,40,80,0,60,0,4.917782059577392,0
scenario238,c2,base,left,right,left,0.2,60,0,100,60,40,40,0,0,2.874586394436003,0
scenario239,c4,right,base,left,right,0.4,0,100,20,20,20,40,0,0,1.2579669660977584,0
scenario240,c4,right,base,left,base,0.2,60,40,80,80,80,80,0,0,5.124250241709119,0
scenario241,c1,left,right,base,right,0.4,0,100,20,40,0,0,60,0,5.985058188953252,0
scenario242,c2,base,left,right,left,0.2,60,20,100,20,80,60,60,0,3.8053308336678495,0
scenario243,c2,base,left,right,left,0.6,20,0,20,80,20,20,100,0,4.157880230182291,0
scenario244,c4,left,base,right,base,0.6,40,20,60,0,60,80,100,0,3.9658422642958495,0
scenario245,c1,left,right,base,left,0.2,40,40,100,80,80,100,40,0,5.428073538124858,0
scenario246,c1,left,right,base,right,0.8,0,20,80,100,0,60,0,0,6.258628107633868,0
