Row,startego,goalego,startother,goalother,cloudiness,precipitation,precipitationdeposits,windintensity,fogdensity,fogdistance,wetness,roadfriction
scenario226,0,1,1,2,100,100,60,20,20,40,60,1
scenario227,1,2,0,1,100,100,40,100,60,60,60,0.8
scenario228,2,0,1,2,80,100,40,20,80,80,40,1
scenario229,2,0,1,2,80,100,60,0,40,60,40,1
scenario230,1,2,2,0,100,100,0,0,40,0,0,1
scenario231,2,0,1,2,40,0,40,100,60,60,80,0.1
scenario232,0,1,2,0,100,100,60,0,100,80,80,0.2
scenario233,2,0,1,0,100,100,40,20,40,100,0,0.8
scenario234,1,2,0,1,40,80,60,20,60,80,20,1
scenario235,2,0,1,2,40,100,40,0,40,60,20,1
scenario236,2,1,0,1,80,100,40,20,20,40,60,1
scenario237,0,1,2,1,60,80,100,0,20,40,60,0.8
scenario238,0,1,1,2,80,40,80,40,40,40,40,0.8
scenario239,1,2,0,1,80,100,20,100,60,60,60,1
scenario240,0,1,1,2,100,20,0,20,20,20,60,0.6
scenario241,2,0,1,2,80,100,60,0,40,60,40,1
scenario242,1,2,0,1,20,60,40,40,80,100,40,1
scenario243,1,2,2,0,60,100,20,40,20,40,80,1
scenario244,0,1,2,0,100,80,40,20,100,60,80,0.2
scenario245,2,0,1,2,60,40,60,20,20,40,40,0.8
scenario246,0,1,2,0,20,0,60,60,60,60,100,0.1
scenario247,2,0,1,0,100,100,20,20,20,80,0,1
scenario248,0,1,1,2,40,100,40,0,60,60,40,1
scenario249,2,1,0,1,80,80,40,40,20,40,60,0.8
scenario250,0,2,1,2,60,80,100,0,20,20,60,0.8
scenario251,2,0,1,2,80,40,80,40,40,40,60,0.8
scenario252,1,2,2,0,20,0,80,100,60,80,60,0.2
scenario253,2,0,1,2,80,100,60,0,40,60,40,1
scenario254,0,1,2,0,20,0,60,80,60,40,60,0.6
scenario255,0,1,1,2,0,100,60,60,100,100,60,1
scenario256,0,1,2,0,40,100,0,60,20,40,100,1
scenario257,1,0,2,0,80,40,80,60,20,20,60,0.4
scenario258,0,1,2,1,80,80,60,100,20,60,40,0.8
scenario259,1,2,0,2,40,100,100,20,0,40,40,0.8
scenario260,2,0,1,0,80,100,40,40,20,60,0,1
scenario261,1,2,0,2,40,60,100,0,20,20,60,1
scenario262,1,2,2,0,80,80,40,0,100,60,60,0.2
scenario263,2,0,1,0,60,60,100,0,20,0,60,0.8
scenario264,0,1,2,0,100,20,60,20,100,60,80,0.4
scenario265,1,0,2,0,80,40,80,60,20,20,60,0.4
scenario266,2,0,1,0,100,100,40,40,0,80,60,0.8
scenario267,0,2,1,2,40,20,100,0,0,20,0,1
scenario268,2,0,1,0,40,100,60,100,60,80,40,1
scenario269,0,1,2,0,80,0,100,40,100,60,80,0.4
scenario270,2,1,0,1,100,100,40,20,40,0,20,1
scenario271,1,2,0,2,40,80,0,60,40,40,100,0.2
scenario272,0,1,1,2,0,80,80,0,80,100,40,1
scenario273,0,2,1,2,0,20,60,0,60,40,40,0.4
scenario274,2,0,1,0,40,40,100,0,20,0,60,0.2
scenario275,2,0,1,2,60,100,40,0,40,60,20,1
scenario276,2,0,1,2,40,60,0,0,20,20,80,0.8
scenario277,1,2,2,0,60,100,40,20,40,60,60,0.8
scenario278,2,0,1,0,60,0,0,80,80,20,0,0.6
scenario279,0,1,2,0,20,0,0,100,60,20,20,0.6
scenario280,0,1,2,0,0,0,80,60,40,0,0,0.6
scenario281,2,0,0,1,20,0,0,40,60,0,0,0.6
scenario282,0,1,2,0,20,0,100,20,60,20,0,0.1
scenario283,1,2,2,0,80,80,40,20,20,40,20,0.6
scenario284,0,1,2,0,20,0,80,100,40,20,20,0.2
scenario285,0,1,1,2,80,80,40,20,20,60,0,0.1
scenario286,2,0,1,2,40,100,40,20,40,60,60,0.8
scenario287,2,0,1,2,20,100,60,0,40,80,40,0.4
scenario288,1,2,0,2,20,0,80,40,40,0,20,0.6
scenario289,2,0,1,2,20,100,60,0,40,80,40,0.4
scenario290,2,0,1,2,20,100,40,0,20,80,20,0.2
scenario291,0,1,1,2,20,100,80,0,60,80,80,0.4
scenario292,2,0,1,2,40,100,40,0,20,60,60,0.2
scenario293,0,1,1,2,20,100,20,0,80,100,60,0.2
scenario294,2,0,1,2,20,80,60,20,40,80,20,0.2
scenario295,1,2,2,0,20,100,60,0,40,80,40,0.6
scenario296,2,0,1,2,40,100,60,20,40,80,20,0.4
scenario297,2,0,1,2,20,40,20,0,20,100,40,0.4
scenario298,2,0,1,2,20,0,60,0,60,60,40,0.2
scenario299,1,2,2,0,40,40,60,0,40,80,20,0.6
scenario300,0,1,1,2,40,100,20,0,60,80,20,0.4
scenario301,2,0,1,2,40,100,40,0,20,60,60,0.2
scenario302,0,1,1,2,40,100,40,20,40,80,20,0.2
scenario303,2,0,0,1,20,0,60,0,40,60,60,0.6
scenario304,0,1,1,2,40,100,0,0,40,20,80,0.2
scenario305,2,0,1,0,20,100,80,20,40,60,20,0.4
scenario306,1,0,2,0,0,20,20,0,0,100,40,0.6
scenario307,2,0,1,2,60,80,0,0,60,80,0,0.4
scenario308,2,0,1,2,20,100,40,0,40,80,60,0.4
scenario309,1,0,2,0,20,100,40,20,60,60,80,0.2
scenario310,2,0,1,2,20,100,80,0,40,80,80,0.4
scenario311,0,1,1,2,20,100,40,0,40,100,80,0.2
scenario312,1,0,2,0,60,60,80,0,40,100,40,0.6
scenario313,1,0,2,0,60,60,80,0,40,100,40,0.6
scenario314,0,1,1,2,0,80,0,0,20,60,60,0.1
scenario315,1,0,2,0,20,100,60,20,60,60,80,0.4
scenario316,0,1,1,2,40,80,40,20,40,100,100,0.2
scenario317,2,0,1,2,40,100,40,40,40,100,20,1
scenario318,0,1,2,1,80,60,40,20,60,60,0,0.2
scenario319,2,0,1,2,0,60,40,0,20,20,60,0.6
scenario320,1,2,0,1,20,100,20,0,40,100,80,0.1
scenario321,0,1,2,0,0,100,40,40,20,60,80,1
scenario322,2,1,0,1,40,100,80,20,20,40,20,0.4
scenario323,2,0,1,2,60,80,40,0,20,20,40,0.2
scenario324,2,0,1,2,20,100,60,0,40,100,100,0.1
scenario325,2,0,1,2,20,100,60,0,40,100,100,0.1
scenario326,1,0,2,0,40,80,40,20,60,80,80,0.4
scenario327,1,2,0,2,0,80,40,20,20,80,80,0.6
scenario328,0,1,1,2,0,100,20,0,20,0,100,0.1
scenario329,2,0,1,2,80,80,20,0,20,20,60,1
scenario330,1,0,2,0,20,0,80,0,20,100,80,0.2
scenario331,0,2,1,2,20,100,20,0,40,80,80,0.1
scenario332,2,1,0,1,20,80,80,0,0,40,20,0.6
scenario333,0,1,2,0,20,100,60,60,20,60,100,1
scenario334,2,0,1,2,40,100,40,60,0,40,0,1
scenario335,0,1,1,2,0,80,80,20,20,80,60,0.1
scenario336,0,1,2,1,0,100,40,60,20,60,80,1
scenario337,0,1,2,0,20,100,60,60,20,60,100,1
scenario338,2,0,1,2,0,100,0,20,20,20,80,0.1
scenario339,1,2,2,0,40,100,60,60,20,80,100,0.1
scenario340,2,0,0,1,100,80,60,0,60,80,80,0.8
scenario341,1,2,0,2,20,80,60,40,40,100,60,0.6
