instances,pathinteraction,feature_goalego,feature_windintensity,feature_roadfriction,feature_fogdistance,feature_startother,feature_precipitationdeposits,feature_cloudiness,feature_fogdensity,feature_goalother,feature_precipitation,feature_wetness,feature_timeofday,feature_startego,collision,min_ttc,algo_safety
scenario211,c4,2,100,1.0,60,3,20,60,20,0,60,80,30,1,0,1.752142372091413,0
scenario212,c1,2,20,0.2,80,0,60,0,40,2,60,40,-90,1,0,2.456154915761891,0
scenario213,c4,0,40,0.1,40,3,60,20,80,0,20,40,-90,1,0,3.1157926764022177,0
scenario214,c1,2,20,0.6,40,1,100,20,80,1,80,40,-90,1,0,1.1294100968401832,0
scenario215,c2,1,40,0.2,20,1,20,20,80,1,100,100,-60,2,0,2.937386565543789,0
scenario216,c2,0,80,0.1,0,1,60,100,60,1,60,0,-90,2,0,1.7529714217405772,0
scenario217,c2,1,40,0.2,60,1,60,100,80,1,100,40,0,2,0,3.6805040940638767,0
scenario218,c4,0,80,0.2,80,3,60,20,80,0,20,0,60,1,0,2.382167124049396,0
scenario219,c2,1,60,0.4,0,1,60,0,0,1,40,20,-60,2,0,9999.0,0
scenario220,c4,0,60,0.8,100,3,20,0,100,0,40,100,-30,1,0,1.9811386466096408,0
scenario221,c2,1,100,0.1,0,3,40,0,0,0,60,80,-30,0,0,3.841024917039964,0
scenario222,c2,1,60,1.0,100,1,0,20,40,1,0,0,30,2,0,2.819672656666507,0
scenario223,c4,2,100,0.8,60,3,0,40,0,0,40,0,0,1,0,9999.0,0
scenario224,c4,0,0,0.6,100,2,80,80,0,0,0,0,-90,2,0,3.1344342132546643,0
scenario225,c1,1,0,0.1,0,2,80,60,80,2,60,40,30,0,1,3.127622379575396,1
scenario226,c4,0,80,0.4,40,3,60,100,60,0,0,0,60,1,0,1.960344504610439,0
scenario227,c2,1,100,1.0,20,3,40,80,60,1,20,40,0,0,0,3.8240695178939306,0
scenario228,c4,0,80,0.4,20,3,20,20,20,0,60,20,-30,1,0,2.238222882910531,0
scenario229,c4,0,60,1.0,20,2,0,40,40,0,20,60,0,2,0,3.153010958489662,0
scenario230,c4,0,40,0.4,0,2,0,40,80,2,0,100,90,2,0,1.1903787732308238,0
scenario231,c2,1,60,0.1,40,1,60,100,0,1,20,20,-60,2,0,4.31265713632832,0
scenario232,c4,2,80,0.2,40,3,100,60,100,0,0,0,60,1,0,1.8093322177125133,0
scenario233,c2,1,60,0.4,0,3,0,20,100,1,100,20,30,0,0,4.739921614449839,0
scenario234,c1,2,60,0.1,60,2,100,0,60,2,60,20,-60,0,0,3.003652287363888,0
scenario235,c4,0,100,0.2,100,3,100,40,20,0,40,20,90,1,0,9999.0,0
scenario236,c2,1,20,1.0,0,1,80,20,40,1,0,60,60,2,0,1.64802536992168,0
scenario237,c2,1,40,0.4,100,3,0,40,60,0,20,60,90,0,0,4.158072733495128,0
scenario238,c1,2,100,1.0,0,2,60,100,100,2,40,40,-30,0,0,3.074744479015327,0
scenario239,c1,1,20,0.2,100,2,100,80,100,2,80,60,0,0,0,2.76831691683624,0
scenario240,c2,0,40,0.2,80,1,40,80,40,1,40,40,0,2,0,3.399377693715955,0
scenario241,c1,2,100,1.0,0,2,20,80,20,2,20,60,-30,0,0,3.022875624736851,0
scenario242,c2,1,0,1.0,60,3,60,0,20,0,100,100,-60,0,0,3.717256230480943,0
scenario243,c2,1,100,1.0,100,1,100,40,80,1,20,100,-30,2,0,1.2419678385812485,0
scenario244,c2,0,80,0.4,100,1,20,100,80,1,60,80,-90,2,0,1.997623415342264,0
scenario245,c2,1,100,0.6,20,1,20,40,0,1,20,20,30,2,0,2.951013480062665,0
scenario246,c1,2,0,0.6,20,2,100,60,0,2,40,40,30,0,0,3.2539670386553534,0
scenario247,c2,1,0,0.4,40,3,100,80,80,0,80,0,0,0,0,3.8224145420473015,0
scenario248,c2,1,40,0.2,60,1,20,20,0,1,100,80,90,2,0,2.9556510013258546,0
scenario249,c4,0,20,0.2,80,2,100,40,60,2,60,20,-30,2,0,2.626053237632316,0
scenario250,c2,1,0,0.1,60,1,60,100,60,1,40,0,-30,2,0,3.707221361629832,0
scenario251,c2,0,60,0.4,60,1,20,100,80,1,40,40,0,2,0,1.908015752374192,0
scenario252,c1,2,40,0.8,20,2,0,20,20,2,0,40,90,0,0,2.735174488799394,0
scenario253,c4,2,0,0.6,60,3,20,0,60,0,40,80,-30,1,0,2.027573304212788,0
scenario254,c4,0,20,1.0,20,3,40,20,100,0,0,0,30,1,0,3.065300253628249,0
scenario255,c1,2,40,1.0,0,1,0,60,20,1,40,100,-30,1,0,0.6399855469172078,0
scenario256,c1,2,0,0.8,20,2,80,80,80,2,0,80,-90,0,0,2.735714691981848,0
scenario257,c4,0,40,1.0,0,3,40,20,40,0,80,0,-90,1,0,2.335587723654085,0
scenario258,c2,0,0,1.0,60,1,40,80,100,1,100,20,-30,2,0,1.1254972408653905,0
scenario259,c1,2,60,0.2,60,2,40,0,60,2,0,40,0,0,0,2.5766779368798884,0
scenario260,c2,1,80,0.4,40,3,0,0,40,0,80,20,-30,0,0,4.477580035792675,0
scenario261,c4,0,80,0.6,20,3,60,40,60,0,20,60,30,1,0,2.7545169471043773,0
scenario262,c2,1,80,0.2,0,3,60,80,20,1,0,0,-60,0,0,3.888108953446945,0
scenario263,c1,2,100,1.0,0,0,100,20,60,2,100,80,60,1,0,2.674567060623835,0
scenario264,c2,1,40,0.2,0,3,60,100,60,0,80,80,-60,0,0,4.203950732577041,0
scenario265,c4,0,0,1.0,60,3,80,100,100,0,20,20,30,1,0,2.3933762065059754,0
scenario266,c2,0,40,0.2,100,1,60,40,20,1,20,40,90,2,0,1.8598446810959617,0
scenario267,c2,1,20,0.8,80,1,20,40,20,1,100,0,60,2,0,2.781491949090684,0
scenario268,c2,1,100,0.4,40,1,100,0,20,1,80,100,30,2,0,3.471756097283984,0
scenario269,c1,2,60,0.2,60,2,40,100,60,2,60,0,60,0,0,4.20885871222404,0
scenario270,c1,1,100,1.0,20,2,100,40,20,2,40,80,30,0,0,2.1397483621046702,0
scenario271,c1,2,80,0.6,0,2,0,100,0,2,0,40,-30,0,0,3.159880194888425,0
scenario272,c4,0,100,0.4,80,3,100,80,80,0,0,100,-90,1,0,4.169238443746183,0
scenario273,c1,2,100,0.6,60,2,80,100,40,2,60,80,-60,0,0,2.612487080513445,0
scenario274,c4,0,40,0.6,0,3,0,0,0,0,0,20,-30,1,0,9999.0,0
